date,total_trades,0DTE_count,0DTE_volume,1-7d_count,1-7d_volume,8-30d_count,8-30d_volume,31-90d_count,31-90d_volume,91-180d_count,91-180d_volume,181-365d_count,181-365d_volume,365d+_count,365d+_volume
2018-01-02,840,0,0,104,813,503,2702,140,1856,70,723,23,140,0,0
2018-01-03,830,0,0,25,795,558,10382,160,1190,71,359,16,133,0,0
2018-01-04,467,0,0,49,724,267,2066,92,1029,38,348,21,229,0,0
2018-01-05,772,28,174,257,7845,313,2502,115,1637,46,388,13,68,0,0
2018-01-08,1424,0,0,245,2979,831,6166,173,1255,116,1876,59,692,0,0
2018-01-09,1431,0,0,236,5400,779,4968,304,1650,84,766,28,326,0,0
2018-01-10,2665,0,0,255,3751,2144,24123,185,1726,72,511,9,54,0,0
2018-01-11,2147,0,0,221,1347,1481,19616,287,2539,122,944,36,375,0,0
2018-01-12,2775,449,6043,998,17408,311,1935,506,4271,306,2570,205,2935,0,0
2018-01-16,1483,0,0,627,7750,177,2159,309,2204,269,9967,101,1892,0,0
2018-01-17,1130,0,0,633,3155,242,1285,34,170,202,584,19,145,0,0
2018-01-18,664,0,0,338,5070,166,1524,23,170,100,2259,37,415,0,0
2018-01-19,1012,558,9667,100,1195,180,3373,32,257,120,644,22,1814,0,0
2018-01-22,618,0,0,130,1585,247,8010,241,2875,0,0,0,0,0,0
2018-01-23,556,0,0,121,1496,151,1901,284,4646,0,0,0,0,0,0
2018-01-24,2206,0,0,218,4258,392,4488,1596,11368,0,0,0,0,0,0
2018-01-25,805,0,0,62,540,218,1978,525,2911,0,0,0,0,0,0
2018-01-26,1051,90,1420,79,1352,137,928,745,6631,0,0,0,0,0,0
2018-01-29,686,0,0,81,1764,145,844,460,2919,0,0,0,0,0,0
2018-01-30,349,0,0,52,642,76,699,221,1754,0,0,0,0,0,0
2018-01-31,443,0,0,127,530,111,648,205,1354,0,0,0,0,0,0
2018-02-01,308,0,0,48,481,95,1160,165,1372,0,0,0,0,0,0
2018-02-02,702,53,563,48,1040,199,1374,402,3026,0,0,0,0,0,0
2018-02-05,929,0,0,51,767,198,2690,680,5688,0,0,0,0,0,0
2018-02-06,1260,0,0,56,894,316,3031,888,4502,0,0,0,0,0,0
2018-02-07,561,0,0,63,1906,129,4275,369,1622,0,0,0,0,0,0
2018-02-08,605,0,0,140,476,134,1326,331,1998,0,0,0,0,0,0
2018-02-09,754,76,1128,220,2095,77,664,381,6257,0,0,0,0,0,0
2018-02-12,518,0,0,123,1294,48,570,347,3055,0,0,0,0,0,0
2018-02-13,424,0,0,215,1669,74,405,135,1900,0,0,0,0,0,0
2018-02-14,362,0,0,153,2415,116,1505,93,492,0,0,0,0,0,0
2018-02-15,499,0,0,174,6018,262,7014,63,371,0,0,0,0,0,0
2018-02-16,525,119,2730,54,507,148,4385,204,3128,0,0,0,0,0,0
2018-02-20,481,0,0,89,751,211,1650,181,1913,0,0,0,0,0,0
2018-02-21,256,0,0,69,354,99,564,83,620,0,0,5,56,0,0
2018-02-22,323,0,0,56,713,150,1737,116,822,0,0,1,3,0,0
2018-02-23,439,61,522,88,897,156,783,129,1580,0,0,5,17,0,0
2018-02-26,464,0,0,87,1043,129,806,244,1929,0,0,4,7,0,0
2018-02-27,933,0,0,536,8174,273,3498,114,1259,0,0,10,45,0,0
2018-02-28,418,0,0,112,3330,191,2367,102,391,0,0,13,466,0,0
2018-03-01,732,0,0,170,3919,299,3377,260,1616,0,0,3,4,0,0
2018-03-02,748,138,1003,175,1498,195,1636,238,1969,0,0,2,6,0,0
2018-03-05,557,0,0,191,1831,154,2539,180,1907,22,267,10,130,0,0
2018-03-06,370,0,0,84,1042,104,1076,153,1367,26,452,3,8,0,0
2018-03-07,432,0,0,37,941,95,1103,279,1031,18,98,3,6,0,0
2018-03-08,376,0,0,85,740,155,1395,108,497,19,183,9,66,0,0
2018-03-09,405,53,326,69,823,74,460,156,763,48,514,5,40,0,0
2018-03-12,837,0,0,146,1897,239,1387,407,1316,30,302,15,143,0,0
2018-03-13,503,0,0,87,1305,248,1791,91,629,45,261,32,878,0,0
2018-03-14,365,0,0,84,508,104,1066,108,516,30,147,39,1275,0,0
2018-03-15,458,0,0,116,1645,196,725,107,994,19,69,20,62,0,0
2018-03-16,2309,821,9065,638,2392,151,1126,672,8067,14,128,13,25,0,0
2018-03-19,1213,0,0,494,3560,316,3174,332,2554,56,464,15,113,0,0
2018-03-20,857,0,0,169,1611,192,1268,365,2589,86,395,45,861,0,0
2018-03-21,3004,0,0,615,2317,2217,21535,86,508,44,578,42,390,0,0
2018-03-22,1370,0,0,583,4748,690,4580,37,268,39,353,21,558,0,0
2018-03-23,2759,93,812,229,1909,2321,13654,62,600,48,577,6,34,0,0
2018-03-26,1373,0,0,412,3572,743,4521,94,1369,100,1011,24,604,0,0
2018-03-27,1528,0,0,799,6124,553,3164,124,3068,37,218,15,86,0,0
2018-03-28,2326,0,0,1351,14185,764,7962,132,1943,51,266,28,126,0,0
2018-03-29,7146,1497,18641,0,0,2321,26091,2834,24782,368,14996,126,1796,0,0
2018-04-02,4562,0,0,3257,24713,725,5210,361,3342,103,721,116,3385,0,0
2018-04-03,1151,0,0,544,4481,258,2304,261,2034,72,418,16,70,0,0
2018-04-04,1596,0,0,721,5376,452,4292,316,2413,75,778,32,121,0,0
2018-04-05,2715,0,0,1070,6043,486,3460,1064,8429,71,441,24,556,0,0
2018-04-06,2236,1654,10138,149,1215,148,1507,178,1238,92,542,15,190,0,0
2018-04-09,866,0,0,121,1111,282,1885,261,2757,145,1088,57,839,0,0
2018-04-10,1053,0,0,124,1350,375,3333,221,3016,272,7148,61,881,0,0
2018-04-11,841,0,0,123,2238,296,1974,129,993,175,3991,118,8616,0,0
2018-04-12,790,0,0,67,511,349,2163,128,952,110,1035,136,875,0,0
2018-04-13,804,88,1226,331,2443,42,634,105,678,153,866,85,1060,0,0
2018-04-16,641,0,0,227,2357,64,485,231,1412,48,164,71,1396,0,0
2018-04-17,534,0,0,222,2278,61,484,155,1485,66,1017,30,77,0,0
