date,quantity
2009-07-01,32975
2009-07-02,7094
2009-07-06,451
2009-07-07,1
2009-07-08,915
2009-07-09,546
2009-07-10,64
2009-07-13,735
2009-07-14,604
2009-07-15,148
2009-07-16,306
2009-07-17,144723
2009-07-20,576
2009-07-22,17292
2009-07-23,1795
2009-07-24,1023
2009-07-27,2827
2009-07-28,1096
2009-07-29,11206
2009-07-31,18751
2009-08-03,33889
2009-08-04,81098
2009-08-05,17552
2009-08-06,166
2009-08-10,3594
2009-08-11,362
2009-08-12,14243
2009-08-13,427
2009-08-14,556
2009-08-17,620
2009-08-18,12004
2009-08-19,564
2009-08-20,1007
2009-08-21,461
2009-08-24,1062
2009-08-25,1900
2009-08-26,936
2009-08-27,628
2009-08-28,423
2009-08-31,327
2009-09-02,461
2009-09-04,16694
2009-09-08,229
2009-09-09,2477
2009-09-10,1502
2009-09-11,1689
2009-09-14,6577
2009-09-15,1882
2009-09-17,197
2009-09-18,100
2009-09-22,2715
2009-09-23,63034
2009-09-25,28045
2009-09-28,2044
2009-09-29,50
2009-10-01,1135
2009-10-02,4491
2009-10-05,1116
2009-10-06,717139
2009-10-07,715128
2009-10-08,8372
2009-10-09,1422
2009-10-13,24687
2009-10-14,378
2009-10-15,151
2009-10-16,125
2009-10-19,27588
2009-10-20,26989
2009-10-21,31302
2009-10-22,26600
2009-10-23,5046
2009-10-26,1007
2009-10-28,240
2009-10-29,42
2009-10-30,1924
2009-11-02,2055
2009-11-03,2594
2009-11-04,474
2009-11-05,5
2009-11-06,216
2009-11-09,795
2009-11-10,458
2009-11-13,204
2009-11-16,430026
2009-11-17,565
2009-11-18,467
2009-11-19,5514
2009-11-20,151
2009-11-23,1153
2009-11-24,192
2009-11-25,2861
2009-11-27,212
2009-11-30,1115
2009-12-01,382
2009-12-02,7220
2009-12-03,370
2009-12-04,7050
2009-12-07,381
2009-12-08,175
2009-12-10,107
2009-12-11,263
2009-12-14,495
2009-12-15,640
2009-12-16,68
2009-12-17,205
2009-12-18,346
2009-12-23,151
2009-12-24,147997
2009-12-28,8025
2009-12-29,8157
2009-12-30,1264
2010-01-05,2357
2010-01-07,52
2010-01-08,11
2010-01-11,224
2010-01-12,28
2010-01-13,2172
2010-01-15,58
2010-01-19,1249187
2010-01-20,17450
2010-01-21,109
2010-01-22,210
2010-01-25,1196
2010-01-26,643
2010-01-27,4460
2010-01-28,575
2010-01-29,744
2010-02-01,292280
2010-02-02,24633
2010-02-03,1436
2010-02-04,96
2010-02-05,52884
2010-02-08,13567
2010-02-09,318
2010-02-10,969
2010-02-11,27
2010-02-12,34545
2010-02-16,516
2010-02-17,1180
2010-02-18,5132
2010-02-19,37903
2010-02-22,50
2010-02-24,2092
2010-02-25,32215
2010-02-26,63527
2010-03-02,21339
2010-03-03,6548
2010-03-04,4884
2010-03-05,1924
2010-03-08,578
2010-03-10,2388
2010-03-11,411
2010-03-12,5920
2010-03-15,13362
2010-03-16,210
2010-03-17,456
2010-03-18,416
2010-03-19,620
2010-03-22,10
2010-03-23,60
2010-03-24,1189
2010-03-26,1070
2010-03-29,100
2010-03-30,8578
2010-03-31,2670
2010-04-01,4180
2010-04-05,7172
2010-04-06,2542
2010-04-07,48
2010-04-08,10155
2010-04-09,76
2010-04-12,56
2010-04-13,7634
2010-04-14,222
2010-04-15,107
2010-04-19,2
2010-04-20,788
2010-04-22,80
2010-04-23,3950
2010-04-26,1347
2010-04-27,519
2010-04-28,2608
2010-04-29,1357
2010-04-30,22848
2010-05-03,3353
2010-05-04,14269
2010-05-05,976
2010-05-11,6171
2010-05-12,20023
2010-05-13,41576
2010-05-14,4931
2010-05-17,256
2010-05-19,9694
2010-05-20,8373
2010-05-21,544
2010-05-24,6490
2010-05-25,1252
2010-05-26,4452
2010-05-27,7082
2010-05-28,9251
2010-06-01,2901
2010-06-02,38617
2010-06-04,803
2010-06-07,2418
2010-06-09,150
2010-06-10,500
2010-06-11,261
2010-06-14,1250
2010-06-16,7975
2010-06-17,2897
2010-06-18,700
2010-06-21,345
2010-06-22,3874
2010-06-23,3914
2010-06-24,12454
2010-06-25,147
2010-06-28,73
2010-06-29,127
2010-06-30,3370
2010-07-01,203
2010-07-02,9257
2010-07-06,75
2010-07-07,327
2010-07-08,300
2010-07-09,630
2010-07-12,2979
2010-07-15,1431
2010-07-16,1946
2010-07-19,1090
2010-07-20,1696
2010-07-21,2211
2010-07-22,838
2010-07-23,1028
2010-07-26,3739
2010-07-27,12831
2010-07-28,2144
2010-07-29,670
2010-07-30,212
2010-08-02,17186
2010-08-03,1000
2010-08-04,15729
2010-08-05,6254
2010-08-06,9942
2010-08-09,2307
2010-08-10,3798
2010-08-11,4188
2010-08-12,2422
2010-08-13,43829
2010-08-16,3693
2010-08-17,1800
2010-08-18,2130
2010-08-19,1805
2010-08-20,1802
2010-08-23,1898
2010-08-24,1971
2010-08-25,1853
2010-08-26,5676
2010-08-27,7893
2010-08-30,4245
2010-08-31,6408
2010-09-01,4662
2010-09-02,20485
2010-09-03,1800
2010-09-07,19759
2010-09-08,40226
2010-09-09,30849
2010-09-10,9849
2010-09-13,4256
2010-09-14,21204
2010-09-15,6679
2010-09-16,4719
2010-09-17,3744
2010-09-20,8363
2010-09-21,18470
2010-09-22,3760
2010-09-23,2021
2010-09-24,1843
2010-09-27,1810
2010-09-28,2366
2010-09-29,1800
2010-09-30,52584
2010-10-01,4241
2010-10-04,3720
2010-10-05,2488
2010-10-06,1900
2010-10-07,2000
2010-10-08,2285
2010-10-12,539
2010-10-13,37
2010-10-14,225
2010-10-15,4
2010-10-18,841
2010-10-20,3965
2010-10-22,719
2010-10-25,4944
2010-10-26,2103
2010-10-27,42458
2010-10-28,6162
2010-10-29,537
2010-11-01,717
2010-11-02,975
2010-11-03,5300
2010-11-04,15570
2010-11-05,4022
2010-11-08,1481
2010-11-09,2212
2010-11-10,2564
2010-11-12,472
2010-11-15,1511
2010-11-16,1354
2010-11-17,114
2010-11-18,475
2010-11-19,11060
2010-11-22,53
2010-11-23,8200
2010-11-24,249
2010-11-26,591
2010-11-29,3154
2010-11-30,100
2010-12-01,366
2010-12-03,6218
2010-12-09,619
2010-12-10,1000
2010-12-13,822
2010-12-14,822
2010-12-15,827
2010-12-16,842
2010-12-17,676
2010-12-20,60
2010-12-21,1586
2010-12-22,4444
2010-12-23,4640
2010-12-27,5428
2010-12-28,75
2010-12-29,25
2010-12-30,36
2010-12-31,25
2011-01-03,20
2011-01-04,50
2011-01-05,5545
2011-01-06,367
2011-01-07,24659
2011-01-10,40
2011-01-12,1472
2011-01-13,195
2011-01-14,46348
2011-01-18,1487
2011-01-19,100
2011-01-21,4472
2011-01-24,339
2011-01-25,7793
2011-01-27,16641
2011-01-28,50
2011-01-31,20194
2011-02-01,1117
2011-02-04,19
2011-02-07,50
2011-02-08,1535
2011-02-09,205
2011-02-10,549
2011-02-11,87
2011-02-14,22180
2011-02-15,1604
2011-02-16,73
2011-02-17,2576
2011-02-18,752
2011-02-23,33465
2011-02-24,1846
2011-02-25,2431
2011-02-28,25
2011-03-01,8310
2011-03-02,6
2011-03-03,3500
2011-03-04,10083
2011-03-07,630
2011-03-08,150
2011-03-09,4684
2011-03-10,50
2011-03-11,65
2011-03-14,100
2011-03-16,200
2011-03-18,778
2011-03-21,2153
2011-03-22,400
2011-03-23,624
2011-03-24,201
2011-03-29,473
2011-03-30,305
