date,symbol,quantity,price,cusip
2020-12-01,AMC,345244,4.27,00165C104
2020-12-02,AMC,67606,4.15,00165C104
2020-12-03,AMC,166717,4.32,00165C104
2020-12-04,AMC,210098,3.63,00165C104
2020-12-07,AMC,4698986,3.51,00165C104
2020-12-08,AMC,3662517,3.56,00165C104
2020-12-09,AMC,2707506,3.98,00165C104
2020-12-10,AMC,467070,3.86,00165C104
2020-12-11,AMC,1106222,4.09,00165C104
2020-12-14,AMC,1899282,3.92,00165C104
2020-12-15,AMC,1087046,3.19,00165C104
2020-12-16,AMC,2032579,2.86,00165C104
2020-12-17,AMC,2957930,2.78,00165C104
2020-12-18,AMC,4333865,2.85,00165C104
2020-12-21,AMC,3208259,2.8,00165C104
2020-12-22,AMC,222569,2.68,00165C104
2020-12-23,AMC,210768,2.59,00165C104
2020-12-24,AMC,34950,2.56,00165C104
2020-12-30,AMC,1321922,2.29,00165C104
2020-12-31,AMC,80241,2.16,00165C104
2021-01-04,AMC,111844,2.12,00165C104
2021-01-05,AMC,1631091,2.01,00165C104
2021-01-07,AMC,4241943,2.01,00165C104
2021-01-08,AMC,11547981,2.05,00165C104
2021-01-12,AMC,5900,2.2,00165C104
2021-01-15,AMC,102589,2.18,00165C104
2021-01-19,AMC,8842791,2.33,00165C104
2021-01-20,AMC,13399807,3.06,00165C104
2021-01-21,AMC,3167557,2.97,00165C104
2021-01-22,AMC,200,2.98,00165C104
2021-01-25,AMC,15521,3.51,00165C104
2021-01-26,AMC,385273,4.42,00165C104
2021-01-27,AMC,27693649,4.96,00165C104
2021-01-28,AMC,584097,19.9,00165C104
2021-01-29,AMC,15902,8.63,00165C104
2021-02-01,AMC,56769,13.26,00165C104
2021-02-02,AMC,1914426,13.3,00165C104
2021-02-03,AMC,1872148,7.82,00165C104
2021-02-04,AMC,202204,8.97,00165C104
2021-02-05,AMC,451078,7.09,00165C104
2021-02-08,AMC,512677,6.83,00165C104
2021-02-09,AMC,302591,6.18,00165C104
2021-02-10,AMC,345652,5.5,00165C104
2021-02-11,AMC,189887,5.8,00165C104
2021-02-12,AMC,447556,5.61,00165C104
2021-02-16,AMC,99707,5.59,00165C104
2021-02-17,AMC,289519,5.65,00165C104
2021-02-18,AMC,7178,5.55,00165C104
2021-02-19,AMC,22773,5.51,00165C104
2021-02-22,AMC,13900,5.7,00165C104
2021-02-23,AMC,104070,6.55,00165C104
2021-02-24,AMC,364072,7.7,00165C104
2021-02-26,AMC,644732,8.29,00165C104
2021-03-01,AMC,1280013,8.01,00165C104
2021-03-02,AMC,1276752,9.18,00165C104
2021-03-03,AMC,969996,8.93,00165C104
2021-03-04,AMC,2076714,8.58,00165C104
2021-03-05,AMC,2853150,8.03,00165C104
2021-03-08,AMC,2392366,8.05,00165C104
2021-03-09,AMC,483175,9.29,00165C104
2021-03-10,AMC,105933,10.5,00165C104
2021-03-11,AMC,37404,9.85,00165C104
2021-03-12,AMC,31276,10.28,00165C104
2021-03-16,AMC,79759,14.04,00165C104
2021-03-17,AMC,150618,13.02,00165C104
2021-03-18,AMC,322406,13.56,00165C104
2021-03-19,AMC,112204,14.0,00165C104
2021-03-22,AMC,147606,13.93,00165C104
2021-03-23,AMC,581642,12.49,00165C104
2021-03-24,AMC,170276,10.66,00165C104
2021-03-26,AMC,1885,10.94,00165C104
2021-03-29,AMC,288229,10.24,00165C104
2021-03-30,AMC,16113,10.35,00165C104
2021-03-31,AMC,54086,10.35,00165C104
2021-04-01,AMC,19790,10.21,00165C104
2021-04-05,AMC,1117734,9.36,00165C104
2021-04-06,AMC,2223655,10.61,00165C104
2021-04-07,AMC,793933,10.2,00165C104
2021-04-08,AMC,197902,9.85,00165C104
2021-04-09,AMC,48198,9.79,00165C104
2021-04-12,AMC,13599,9.42,00165C104
2021-04-13,AMC,453643,8.62,00165C104
2021-04-14,AMC,2709393,8.84,00165C104
2021-04-15,AMC,703166,9.35,00165C104
2021-04-16,AMC,3382090,9.9,00165C104
2021-04-19,AMC,749943,9.33,00165C104
2021-04-20,AMC,1065042,9.66,00165C104
2021-04-21,AMC,286778,9.28,00165C104
2021-04-22,AMC,1685492,9.78,00165C104
2021-04-23,AMC,1144738,9.99,00165C104
2021-04-26,AMC,1946935,10.16,00165C104
2021-04-27,AMC,2308269,11.5,00165C104
2021-04-28,AMC,356665,11.46,00165C104
2021-04-29,AMC,456221,10.85,00165C104
2021-04-30,AMC,198447,10.2,00165C104
2021-05-03,AMC,2820375,10.03,00165C104
2021-05-04,AMC,2968978,9.71,00165C104
2021-05-05,AMC,2563087,9.39,00165C104
2021-05-06,AMC,149948,9.17,00165C104
2021-05-07,AMC,3229445,9.0,00165C104
2021-05-10,AMC,2475108,9.51,00165C104
2021-05-11,AMC,3694338,9.74,00165C104
2021-05-12,AMC,582979,10.05,00165C104
2021-05-13,AMC,74156,10.32,00165C104
2021-05-14,AMC,126435,12.77,00165C104
2021-05-17,AMC,11697,12.98,00165C104
2021-05-18,AMC,1450815,13.95,00165C104
2021-05-19,AMC,498248,14.03,00165C104
2021-05-20,AMC,43159,12.64,00165C104
2021-05-21,AMC,193855,12.55,00165C104
2021-05-24,AMC,264551,12.08,00165C104
2021-05-25,AMC,667285,13.68,00165C104
2021-05-26,AMC,235275,16.41,00165C104
2021-05-27,AMC,84737,19.56,00165C104
2021-05-28,AMC,174345,26.52,00165C104
2021-06-01,AMC,1799143,26.12,00165C104
2021-06-02,AMC,1259609,32.04,00165C104
2021-06-03,AMC,5448460,62.55,00165C104
2021-06-04,AMC,1402677,51.34,00165C104
2021-06-07,AMC,49700,47.91,00165C104
2021-06-08,AMC,1124458,55.0,00165C104
2021-06-09,AMC,307976,55.05,00165C104
2021-06-10,AMC,529156,49.34,00165C104
2021-06-11,AMC,335371,42.81,00165C104
2021-06-14,AMC,343390,49.4,00165C104
2021-06-15,AMC,41705,57.0,00165C104
2021-06-16,AMC,21351,59.04,00165C104
2021-06-17,AMC,15325,55.18,00165C104
2021-06-18,AMC,2333859,60.73,00165C104
2021-06-21,AMC,4053113,59.26,00165C104
2021-06-22,AMC,3632546,55.69,00165C104
2021-06-23,AMC,3711756,58.27,00165C104
2021-06-24,AMC,3883531,58.3,00165C104
2021-06-25,AMC,4419417,56.7,00165C104
2021-06-28,AMC,4023371,54.06,00165C104
2021-06-29,AMC,3561263,58.11,00165C104
2021-06-30,AMC,4207210,56.43,00165C104
2021-07-01,AMC,3519354,56.68,00165C104
2021-07-02,AMC,2248513,54.22,00165C104
2021-07-06,AMC,41296,51.96,00165C104
2021-07-07,AMC,9058,49.96,00165C104
2021-07-08,AMC,9212,45.07,00165C104
2021-07-09,AMC,14089,47.94,00165C104
2021-07-12,AMC,98006,46.19,00165C104
2021-07-13,AMC,41285,42.61,00165C104
2021-07-14,AMC,63943,39.35,00165C104
2021-07-15,AMC,38026,33.43,00165C104
