date,symbol,quantity,price,cusip
2020-12-01,AMZN,12,3168.04,
2020-12-02,AMZN,5,3220.08,
2020-12-08,AMZN,5,3158.00,
2020-12-15,AMZN,5234,3156.97,
2020-12-18,AMZN,998,3236.08,
2020-12-21,AMZN,11425,3201.65,
2020-12-22,AMZN,54,3206.18,
2020-12-23,AMZN,33,3206.52,
2020-12-28,AMZN,1912,3172.69,
2020-12-29,AMZN,272,3283.96,
2020-12-30,AMZN,1010,3322.00,
2021-01-12,AMZN,102,3114.21,
2021-01-20,AMZN,16594,3120.76,
2021-01-21,AMZN,917,3263.38,
2021-01-22,AMZN,91,3306.99,
2021-01-25,AMZN,393,3292.23,
2021-01-26,AMZN,1020,3294.00,
2021-01-27,AMZN,140,3326.13,
2021-01-28,AMZN,9,3232.58,
2021-01-29,AMZN,485,3237.62,
2021-02-04,AMZN,138,3312.53,
2021-02-09,AMZN,900,3322.94,
2021-02-12,AMZN,9706,3262.13,
2021-02-17,AMZN,1850,3268.95,
2021-02-25,AMZN,4,3159.53,
2021-02-26,AMZN,1805,3057.16,
2021-03-02,AMZN,200,3146.14,
2021-03-03,AMZN,848,3094.53,
2021-03-04,AMZN,382,3005.00,
2021-03-05,AMZN,3523,2977.57,
2021-03-17,AMZN,2875,3091.86,
2021-03-22,AMZN,500,3074.96,
2021-03-23,AMZN,28458,3110.87,
2021-03-26,AMZN,140,3046.26,
2021-03-29,AMZN,9,3052.03,
2021-03-31,AMZN,40,3055.29,
2021-04-01,AMZN,50,3094.08,
2021-04-05,AMZN,100,3161.00,
2021-04-06,AMZN,2074,3226.73,
2021-04-07,AMZN,234,3223.82,
2021-04-13,AMZN,4025,3379.39,
2021-04-15,AMZN,88,3333.00,
2021-04-19,AMZN,269,3399.44,
2021-04-20,AMZN,5100,3372.01,
2021-04-22,AMZN,106,3362.02,
2021-04-28,AMZN,62,3417.43,
2021-04-29,AMZN,1313,3458.50,
2021-05-03,AMZN,4274,3467.42,
2021-05-04,AMZN,903,3386.49,
2021-05-10,AMZN,684,3291.61,
2021-05-11,AMZN,1976,3190.49,
2021-05-18,AMZN,9483,3270.39,
2021-05-21,AMZN,5,3247.68,
2021-05-28,AMZN,1,3230.11,
2021-06-01,AMZN,613,3223.07,
2021-06-02,AMZN,1035,3218.65,
2021-06-04,AMZN,1399,3187.01,
2021-06-07,AMZN,3054,3206.22,
2021-06-08,AMZN,2411,3198.01,
2021-06-10,AMZN,3133,3281.15,
2021-06-11,AMZN,3316,3349.65,
2021-06-14,AMZN,37,3346.83,
2021-06-15,AMZN,7386,3383.87,
2021-06-16,AMZN,70348,3383.13,
2021-06-17,AMZN,46921,3415.25,
2021-06-21,AMZN,18451,3486.90,
2021-06-22,AMZN,8298,3453.96,
2021-06-25,AMZN,1701,3449.08,
2021-06-29,AMZN,2174,3443.89,
2021-06-30,AMZN,5,3448.14,
2021-07-01,AMZN,100,3440.16,
2021-07-06,AMZN,11,3510.98,
2021-07-07,AMZN,4156,3675.74,
2021-07-08,AMZN,459,3696.58,
2021-07-09,AMZN,4241,3731.41,
2021-07-12,AMZN,270,3719.34,
2021-07-13,AMZN,1475,3718.55,
2021-07-14,AMZN,1,3677.36,
2021-07-19,AMZN,10,3573.63,
2021-07-21,AMZN,21,3573.19,
2021-07-23,AMZN,1639,3638.03,
2021-07-27,AMZN,800,3699.82,
2021-07-28,AMZN,277,3626.39,
2021-07-29,AMZN,671,3630.32,
2021-08-03,AMZN,6511,3331.48,
2021-08-04,AMZN,20,3366.24,
2021-08-06,AMZN,7240,3375.99,
2021-08-16,AMZN,212,3293.97,
2021-08-17,AMZN,1553,3298.99,
2021-08-25,AMZN,23584,3305.78,
2021-08-26,AMZN,722,3299.18,
2021-08-27,AMZN,932,3316.00,
2021-08-31,AMZN,6929,3421.57,
2021-09-02,AMZN,26421,3479.00,
2021-09-08,AMZN,3086,3509.29,
2021-09-10,AMZN,26957,3484.16,
2021-09-13,AMZN,699,3469.15,
2021-09-14,AMZN,3,3457.17,
2021-09-20,AMZN,671,3462.52,
2021-09-21,AMZN,50664,3355.73,
2021-09-22,AMZN,217,3343.63,
2021-09-27,AMZN,364,3425.52,
2021-09-28,AMZN,614,3405.80,
2021-09-29,AMZN,3866,3315.96,
2021-10-04,AMZN,1426,3283.26,
2021-10-12,AMZN,245,3246.30,
2021-10-13,AMZN,100,3247.33,
2021-10-19,AMZN,6776,3446.74,
2021-10-20,AMZN,1011,3444.15,
2021-10-22,AMZN,1719,3435.01,
2021-10-25,AMZN,246,3335.55,
2021-10-26,AMZN,926,3320.37,
2021-10-27,AMZN,991,3376.07,
2021-10-28,AMZN,583,3392.49,
2021-10-29,AMZN,30,3446.57,
2021-11-01,AMZN,563,3372.43,
2021-11-02,AMZN,2604,3318.11,
2021-11-03,AMZN,44,3312.75,
2021-11-08,AMZN,3,3518.99,
2021-11-09,AMZN,3341,3488.98,
2021-11-10,AMZN,1512,3576.23,
2021-11-12,AMZN,366,3472.50,
2021-11-16,AMZN,1400,3545.68,
2021-11-23,AMZN,16083,3572.57,
2021-11-26,AMZN,379,3580.41,
2021-11-29,AMZN,112,3504.56,
2021-12-01,AMZN,225,3507.07,
2021-12-08,AMZN,1391,3523.29,
2021-12-09,AMZN,134,3523.16,
2021-12-14,AMZN,43,3391.35,
2021-12-16,AMZN,488,3466.30,
2021-12-20,AMZN,3179,3400.35,
2021-12-21,AMZN,1978,3341.58,
2021-12-23,AMZN,316,3420.74,
2021-12-27,AMZN,1082,3421.37,
2021-12-28,AMZN,120,3393.39,
2021-12-30,AMZN,440,3384.02,
2021-12-31,AMZN,57,3372.89,
2022-01-04,AMZN,1336,3408.09,
2022-01-07,AMZN,883,3265.08,
2022-01-10,AMZN,5,3251.08,
2022-01-14,AMZN,1430,3224.28,
2022-01-18,AMZN,2915,3242.76,
2022-01-19,AMZN,2866,3178.35,
2022-01-20,AMZN,1314,3125.98,
2022-01-24,AMZN,37,2852.86,
2022-01-25,AMZN,3015,2890.88,
2022-01-27,AMZN,1628,2777.45,
2022-01-28,AMZN,1705,2792.75,
2022-02-01,AMZN,348,2991.47,
2022-02-02,AMZN,4,3023.87,
2022-02-03,AMZN,1663,3012.25,
2022-02-04,AMZN,1913,2776.91,
2022-02-07,AMZN,2809,3152.79,
2022-02-08,AMZN,700,3158.71,
2022-02-09,AMZN,1,3228.27,
