date,quantity,price,ticker,cusip
2020-12-01,1414,20.96,BBBY,075896100
2020-12-02,102343,20.38,BBBY,075896100
2020-12-03,63302,20.32,BBBY,075896100
2020-12-04,5469,19.57,BBBY,075896100
2020-12-10,7539,18.51,BBBY,075896100
2020-12-11,72279,18.96,BBBY,075896100
2020-12-14,45977,19.17,BBBY,075896100
2020-12-15,23846,18.87,BBBY,075896100
2020-12-16,106876,19.53,BBBY,075896100
2020-12-21,201662,18.72,BBBY,075896100
2020-12-22,514104,19.26,BBBY,075896100
2020-12-24,12038,18.88,BBBY,075896100
2020-12-30,25828,18.83,BBBY,075896100
2021-01-04,39396,17.76,BBBY,075896100
2021-01-05,50113,18.03,BBBY,075896100
2021-01-06,43610,19.76,BBBY,075896100
2021-01-07,2591,21.03,BBBY,075896100
2021-01-11,19387,18.94,BBBY,075896100
2021-01-12,409544,20.49,BBBY,075896100
2021-01-13,899486,21.53,BBBY,075896100
2021-01-14,44290,23.02,BBBY,075896100
2021-01-15,12872,27.34,BBBY,075896100
2021-01-19,267016,25.60,BBBY,075896100
2021-01-20,54016,25.03,BBBY,075896100
2021-01-21,17825,24.97,BBBY,075896100
2021-01-22,1634,26.87,BBBY,075896100
2021-01-25,3424,30.21,BBBY,075896100
2021-01-26,50032,30.68,BBBY,075896100
2021-01-27,129699,36.87,BBBY,075896100
2021-01-28,123439,52.89,BBBY,075896100
2021-01-29,410324,33.64,BBBY,075896100
2021-02-01,313372,35.33,BBBY,075896100
2021-02-02,37375,30.26,BBBY,075896100
2021-02-08,3206,26.54,BBBY,075896100
2021-02-09,38500,26.27,BBBY,075896100
2021-02-10,42,27.12,BBBY,075896100
2021-02-11,46,29.02,BBBY,075896100
2021-02-12,731,27.59,BBBY,075896100
2021-02-17,500,27.78,BBBY,075896100
2021-02-18,1159,26.38,BBBY,075896100
2021-02-19,822,26.29,BBBY,075896100
2021-02-22,1253,26.47,BBBY,075896100
2021-02-23,269,26.27,BBBY,075896100
2021-02-24,283,25.99,BBBY,075896100
2021-02-25,51938,27.38,BBBY,075896100
2021-02-26,68666,26.29,BBBY,075896100
2021-03-01,1740,26.86,BBBY,075896100
2021-03-02,465,27.86,BBBY,075896100
2021-03-05,3912,28.66,BBBY,075896100
2021-03-08,3791,28.09,BBBY,075896100
2021-03-09,62011,30.97,BBBY,075896100
2021-03-10,136,29.79,BBBY,075896100
2021-03-11,20774,28.21,BBBY,075896100
2021-03-12,36510,28.71,BBBY,075896100
2021-03-15,186,30.16,BBBY,075896100
2021-03-16,11246,32.60,BBBY,075896100
2021-03-17,839,31.11,BBBY,075896100
2021-03-19,443,30.59,BBBY,075896100
2021-03-22,1184,31.58,BBBY,075896100
2021-03-23,1876,31.74,BBBY,075896100
2021-03-24,622,30.02,BBBY,075896100
2021-03-26,131,28.81,BBBY,075896100
2021-03-29,50,29.26,BBBY,075896100
2021-03-30,204,28.40,BBBY,075896100
2021-04-01,100200,29.15,BBBY,075896100
2021-04-05,75,28.92,BBBY,075896100
2021-04-08,520,28.31,BBBY,075896100
2021-04-12,2609,30.03,BBBY,075896100
2021-04-13,2870,29.50,BBBY,075896100
2021-04-14,370,27.93,BBBY,075896100
2021-04-15,645,24.52,BBBY,075896100
2021-04-20,4794,25.09,BBBY,075896100
2021-04-28,2754,26.40,BBBY,075896100
2021-05-12,1230,25.01,BBBY,075896100
2021-05-18,3100,25.20,BBBY,075896100
2021-05-20,9,24.65,BBBY,075896100
2021-06-02,18879,27.26,BBBY,075896100
2021-06-03,3172,44.19,BBBY,075896100
2021-06-04,491139,31.90,BBBY,075896100
2021-06-08,1329,33.98,BBBY,075896100
2021-06-09,18468,36.83,BBBY,075896100
2021-06-10,48994,34.29,BBBY,075896100
2021-06-11,7584,31.53,BBBY,075896100
2021-06-14,10587,31.91,BBBY,075896100
2021-06-15,1508,30.16,BBBY,075896100
2021-06-16,8082,29.46,BBBY,075896100
2021-06-17,124416,29.10,BBBY,075896100
2021-06-18,128147,29.35,BBBY,075896100
2021-06-24,6020,29.31,BBBY,075896100
2021-06-25,1601,30.25,BBBY,075896100
2021-06-29,11621,30.66,BBBY,075896100
2021-07-01,3571,33.29,BBBY,075896100
2021-07-07,300,30.28,BBBY,075896100
2021-07-19,1400,27.16,BBBY,075896100
2021-07-20,1300,27.14,BBBY,075896100
2021-08-05,9902,27.13,BBBY,075896100
2021-08-06,180,27.62,BBBY,075896100
2021-08-09,175,27.24,BBBY,075896100
2021-08-10,16685,27.99,BBBY,075896100
2021-08-11,18150,29.56,BBBY,075896100
2021-08-12,5702,29.54,BBBY,075896100
2021-08-17,1986,27.52,BBBY,075896100
2021-08-20,127,25.89,BBBY,075896100
2021-08-23,346,26.58,BBBY,075896100
2021-08-24,15274,27.38,BBBY,075896100
2021-08-25,24960,28.61,BBBY,075896100
2021-08-26,69513,28.75,BBBY,075896100
2021-08-27,26937,28.01,BBBY,075896100
2021-08-30,5500,28.33,BBBY,075896100
2021-09-01,12054,27.54,BBBY,075896100
2021-09-02,38296,27.74,BBBY,075896100
2021-09-03,51985,27.70,BBBY,075896100
2021-09-08,1553,25.19,BBBY,075896100
2021-09-09,10,24.27,BBBY,075896100
2021-09-16,181,24.01,BBBY,075896100
2021-09-17,803,23.46,BBBY,075896100
2021-09-21,230,23.62,BBBY,075896100
2021-09-22,798,23.12,BBBY,075896100
2021-09-23,651,23.47,BBBY,075896100
2021-09-24,3229,23.46,BBBY,075896100
2021-09-29,36211,22.87,BBBY,075896100
2021-10-05,604,15.70,BBBY,075896100
