date,quantity,price
2020-01-02,4925,17.3
2020-01-03,1109,16.33
2020-01-06,3153,16.08
2020-01-07,91061,16.56
2020-01-08,3184,16.84
2020-01-09,31841,16.65
2020-01-10,262342,13.45
2020-01-14,8266,15.0
2020-01-16,5851,15.57
2020-01-17,8225,15.36
2020-01-21,1103,15.39
2020-01-22,7055,15.98
2020-01-24,9242,16.07
2020-01-27,93287,16.35
2020-01-28,98008,15.92
2020-01-29,6484,16.12
2020-01-30,1789,16.21
2020-05-01,382355,6.19
2020-05-04,1204549,5.64
2020-05-05,18038,5.91
2020-05-06,56278,5.58
2020-05-07,185228,5.64
2020-05-08,196842,5.78
2020-05-11,118474,6.46
2020-05-12,64824,6.2
2020-05-13,22640,5.86
2020-05-14,5516,5.45
2020-05-15,23457,5.35
2020-05-18,285906,5.79
2020-05-19,1171263,6.28
2020-05-20,261660,5.95
2020-05-21,72523,5.95
2020-05-22,187823,6.8
2020-05-26,156747,6.7
2020-05-27,131516,7.49
2020-05-28,108961,7.69
2020-05-29,57785,7.47
2020-06-01,427156,7.27
2020-06-02,120934,7.5
2020-06-03,147371,7.55
2020-06-04,224023,8.08
2020-06-05,344728,8.73
2020-06-08,98476,9.32
2020-06-09,519104,9.86
2020-06-10,367591,9.09
2020-06-11,124232,8.26
2020-06-12,8249,7.46
2020-06-15,105458,8.1
2020-06-16,104397,8.37
2020-06-17,828389,9.64
2020-06-18,651824,9.72
2020-06-19,400689,10.1
2020-06-22,411915,9.84
2020-06-23,2112882,9.97
2020-06-24,662781,10.24
2020-06-25,86629,9.35
2020-06-26,2505,9.48
2020-06-29,189358,10.05
2020-06-30,320245,10.82
2020-07-01,231509,10.6
2020-07-02,10107,10.64
2020-07-06,4150,10.81
2020-07-07,145604,10.76
2020-07-08,81859,10.24
2020-07-10,23098,7.86
2020-07-13,1702627,8.2
2020-07-14,839106,7.73
2020-07-15,656645,8.39
2020-07-16,426748,8.88
2020-07-17,172802,9.47
2020-07-20,80416,9.22
2020-07-21,60761,8.89
2020-07-22,171,9.43
2020-07-23,75230,10.0
2020-07-24,787,10.17
2020-07-27,1110,10.14
2020-07-28,44745,10.53
2020-07-29,8977,10.35
2020-07-30,72458,10.85
2020-07-31,20953,10.96
2020-08-03,8468,10.82
2020-08-04,500,11.05
2020-08-05,53509,11.43
2020-08-07,160,12.0
2020-08-10,8488,12.11
2020-08-11,4500,12.66
2020-08-13,749,12.12
2020-08-14,300,12.34
2020-08-17,475,12.35
2020-08-18,4700,12.87
2020-08-19,1465,12.2
2020-08-20,1286,12.2
2020-08-21,3597,11.47
2020-08-24,2919,11.67
2020-08-26,32,12.32
2020-08-27,6967,12.18
2020-08-28,3738,11.91
2020-08-31,43957,12.09
2020-09-01,320,12.18
2020-09-03,32375,12.44
2020-09-04,25148,11.83
2020-09-08,11829,11.75
2020-09-09,5,11.32
2020-09-11,160,11.98
2020-09-14,116,12.04
2020-09-16,409507,12.55
2020-09-18,104556,12.73
2020-09-21,117544,12.56
2020-09-22,1521,12.38
