date,symbol,quantity,price,cusip
2020-12-01,BB,66206,5.87,
2020-12-03,BB,103598,7.45,
2020-12-04,BB,8470,7.46,
2020-12-07,BB,38462,8.52,
2020-12-08,BB,3728,8.25,
2020-12-09,BB,29164,8.52,
2020-12-10,BB,259435,8.31,
2020-12-11,BB,190828,8.37,
2020-12-14,BB,1047,8.16,
2020-12-16,BB,35,8.30,
2020-12-17,BB,72692,8.24,
2020-12-18,BB,97096,8.26,
2020-12-21,BB,546436,6.95,
2020-12-22,BB,295927,7.11,
2020-12-23,BB,645744,7.19,
2020-12-24,BB,328566,7.09,
2020-12-28,BB,297689,7.06,
2020-12-29,BB,61678,6.88,
2020-12-30,BB,51804,6.77,
2020-12-31,BB,738,6.67,
2021-01-04,BB,506392,6.63,
2021-01-05,BB,84745,6.58,
2021-01-06,BB,335512,6.77,
2021-01-07,BB,422050,6.71,
2021-01-08,BB,16140,7.06,
2021-01-11,BB,22466,7.56,
2021-01-12,BB,39071,7.65,
2021-01-13,BB,177524,7.63,
2021-01-14,BB,56179,7.44,
2021-01-15,BB,339836,9.11,
2021-01-19,BB,202701,9.84,
2021-01-20,BB,463762,12.35,
2021-01-21,BB,267435,12.79,
2021-01-22,BB,365979,12.85,
2021-01-25,BB,680680,14.04,
2021-01-26,BB,786594,18.03,
2021-01-27,BB,991710,18.92,
2021-01-28,BB,299479,25.10,
2021-01-29,BB,431567,14.65,
2021-02-02,BB,21048,14.63,
2021-02-03,BB,37796,11.55,
2021-02-04,BB,151931,12.00,
2021-02-05,BB,159942,12.15,
2021-02-08,BB,245711,13.23,
2021-02-09,BB,17081,13.76,
2021-02-10,BB,100,13.43,
2021-02-11,BB,37,13.10,
2021-02-12,BB,132467,12.46,
2021-02-16,BB,131901,13.04,
2021-02-17,BB,49989,12.21,
2021-02-18,BB,54024,11.32,
2021-02-19,BB,7071,10.94,
2021-02-22,BB,91531,10.90,
2021-02-23,BB,134797,10.68,
2021-02-24,BB,2870,10.40,
2021-02-25,BB,97008,11.32,
2021-02-26,BB,250235,10.58,
2021-03-01,BB,591009,10.05,
2021-03-02,BB,53441,10.91,
2021-03-03,BB,290480,10.50,
2021-03-04,BB,268312,10.15,
2021-03-05,BB,25810,9.84,
2021-03-08,BB,14084,9.45,
2021-03-09,BB,43087,9.75,
2021-03-10,BB,129868,10.45,
2021-03-11,BB,581657,10.34,
2021-03-12,BB,498689,10.70,
2021-03-15,BB,103863,11.85,
2021-03-16,BB,102754,11.68,
2021-03-17,BB,61040,11.46,
2021-03-18,BB,33545,11.60,
2021-03-19,BB,34164,10.76,
2021-03-22,BB,71115,10.95,
2021-03-23,BB,35939,10.71,
2021-03-24,BB,139150,10.07,
2021-03-26,BB,17918,9.88,
2021-03-29,BB,41164,9.63,
2021-03-30,BB,90357,9.20,
2021-03-31,BB,1102309,9.34,
2021-04-01,BB,20681,8.43,
2021-04-05,BB,18993,8.60,
2021-04-06,BB,140584,9.30,
2021-04-07,BB,141710,8.99,
2021-04-08,BB,6486,8.91,
2021-04-09,BB,48457,9.44,
2021-04-12,BB,112741,9.13,
2021-04-13,BB,166244,9.03,
2021-04-14,BB,150505,9.10,
2021-04-15,BB,9300,9.00,
2021-04-16,BB,53105,8.77,
2021-04-19,BB,21104,8.70,
2021-04-20,BB,410849,8.62,
2021-04-21,BB,35089,8.21,
2021-04-22,BB,199883,8.66,
2021-04-23,BB,258284,8.64,
2021-04-26,BB,14682,8.85,
2021-04-27,BB,26007,9.09,
