date,quantity,price,ticker,cusip
2020-12-01,1500,67.49,OSTK,690370101
2020-12-03,1261,62.25,OSTK,690370101
2020-12-04,60,62.86,OSTK,690370101
2020-12-10,1085,57.92,OSTK,690370101
2020-12-11,2901,56.69,OSTK,690370101
2020-12-16,7081,61.67,OSTK,690370101
2020-12-21,22602,62.57,OSTK,690370101
2020-12-22,9516,62.05,OSTK,690370101
2020-12-23,344,59.09,OSTK,690370101
2020-12-24,142685,58.22,OSTK,690370101
2020-12-28,59725,56.76,OSTK,690370101
2020-12-31,2054,52.44,OSTK,690370101
2021-01-04,221,47.97,OSTK,690370101
2021-01-05,135655,49.46,OSTK,690370101
2021-01-06,13029,53.73,OSTK,690370101
2021-01-11,22008,53.64,OSTK,690370101
2021-01-12,60859,51.99,OSTK,690370101
2021-01-13,34824,60.68,OSTK,690370101
2021-01-15,4442,64.07,OSTK,690370101
2021-01-19,55,59.52,OSTK,690370101
2021-01-20,11919,62.94,OSTK,690370101
2021-01-21,9136,60.93,OSTK,690370101
2021-01-22,13759,63.77,OSTK,690370101
2021-01-25,2787,67.91,OSTK,690370101
2021-01-26,48190,67.40,OSTK,690370101
2021-01-27,9789,86.44,OSTK,690370101
2021-01-28,170,86.79,OSTK,690370101
2021-01-29,9946,80.36,OSTK,690370101
2021-02-01,7655,77.60,OSTK,690370101
2021-02-05,87286,88.54,OSTK,690370101
2021-02-08,100,92.60,OSTK,690370101
2021-02-09,16600,99.35,OSTK,690370101
2021-02-10,100,103.60,OSTK,690370101
2021-02-11,633,100.90,OSTK,690370101
2021-02-12,15,107.73,OSTK,690370101
2021-02-16,6471,106.88,OSTK,690370101
2021-02-17,6623,104.47,OSTK,690370101
2021-02-18,3272,102.51,OSTK,690370101
2021-02-19,779,97.28,OSTK,690370101
2021-02-22,3700,101.20,OSTK,690370101
2021-02-23,13300,94.87,OSTK,690370101
2021-02-24,10762,88.14,OSTK,690370101
2021-02-25,17296,72.93,OSTK,690370101
2021-03-02,1600,73.03,OSTK,690370101
2021-03-08,691,62.51,OSTK,690370101
2021-03-09,4554,61.83,OSTK,690370101
2021-03-10,863,67.90,OSTK,690370101
2021-03-17,690,74.78,OSTK,690370101
2021-03-18,108,74.93,OSTK,690370101
2021-03-22,2601,76.83,OSTK,690370101
2021-03-23,12417,73.55,OSTK,690370101
2021-03-24,218,68.68,OSTK,690370101
2021-04-06,30439,66.11,OSTK,690370101
2021-04-09,3017,65.78,OSTK,690370101
2021-04-13,1756,72.29,OSTK,690370101
2021-04-15,89,77.38,OSTK,690370101
2021-04-16,1500,75.39,OSTK,690370101
2021-04-19,6914,74.45,OSTK,690370101
2021-04-20,294,68.11,OSTK,690370101
2021-04-22,7534,68.34,OSTK,690370101
2021-04-23,20,67.43,OSTK,690370101
2021-04-27,2660,69.52,OSTK,690370101
2021-04-28,325,70.56,OSTK,690370101
2021-04-29,7160,70.81,OSTK,690370101
2021-05-03,6217,81.50,OSTK,690370101
2021-05-04,852,82.50,OSTK,690370101
2021-05-05,71,78.26,OSTK,690370101
2021-05-06,64,75.23,OSTK,690370101
2021-05-10,12,80.47,OSTK,690370101
2021-05-12,1595,77.02,OSTK,690370101
2021-05-13,199,69.16,OSTK,690370101
2021-05-17,1656,71.14,OSTK,690370101
2021-05-18,9918,73.72,OSTK,690370101
2021-05-19,6831,76.97,OSTK,690370101
2021-05-20,220,75.17,OSTK,690370101
2021-05-25,283,80.93,OSTK,690370101
2021-05-26,2970,78.53,OSTK,690370101
2021-06-01,1064,85.43,OSTK,690370101
2021-06-02,17746,85.66,OSTK,690370101
2021-06-04,21,90.93,OSTK,690370101
2021-06-08,6374,93.75,OSTK,690370101
2021-06-10,122,91.27,OSTK,690370101
2021-06-18,1910,89.14,OSTK,690370101
2021-06-22,1400,84.90,OSTK,690370101
2021-06-24,1243,91.30,OSTK,690370101
2021-06-25,1443,93.16,OSTK,690370101
2021-06-29,779,96.66,OSTK,690370101
2021-07-02,189,90.28,OSTK,690370101
2021-07-08,283,85.99,OSTK,690370101
2021-07-14,1,96.70,OSTK,690370101
2021-07-23,437,83.11,OSTK,690370101
2021-07-28,1252,78.15,OSTK,690370101
2021-08-02,78580,69.64,OSTK,690370101
2021-08-03,279,67.75,OSTK,690370101
2021-08-04,2723,68.06,OSTK,690370101
2021-08-05,4603,66.00,OSTK,690370101
2021-08-09,4984,68.05,OSTK,690370101
2021-08-10,7366,70.82,OSTK,690370101
2021-08-11,3147,69.24,OSTK,690370101
2021-08-13,7788,73.13,OSTK,690370101
2021-08-16,53,72.66,OSTK,690370101
2021-08-18,155,69.46,OSTK,690370101
2021-08-19,2076,68.91,OSTK,690370101
2021-08-20,609,67.36,OSTK,690370101
2021-08-23,96,69.58,OSTK,690370101
2021-08-24,7911,70.90,OSTK,690370101
2021-08-25,442,72.65,OSTK,690370101
2021-08-26,376,73.26,OSTK,690370101
2021-08-27,356,71.82,OSTK,690370101
2021-08-30,219,73.48,OSTK,690370101
2021-08-31,500,72.85,OSTK,690370101
2021-09-01,288,72.15,OSTK,690370101
2021-09-03,1173,70.67,OSTK,690370101
2021-09-07,9043,69.51,OSTK,690370101
2021-09-08,630,70.31,OSTK,690370101
2021-09-09,3764,68.64,OSTK,690370101
2021-09-10,4513,69.92,OSTK,690370101
2021-09-13,3584,68.86,OSTK,690370101
2021-09-20,126008,73.75,OSTK,690370101
2021-09-21,567,71.94,OSTK,690370101
2021-09-22,53180,72.26,OSTK,690370101
2021-09-23,49690,75.71,OSTK,690370101
2021-09-28,443,84.03,OSTK,690370101
2021-09-29,48,82.32,OSTK,690370101
2021-09-30,1307,81.78,OSTK,690370101
2021-10-04,102520,78.97,OSTK,690370101
2021-10-05,2179,73.80,OSTK,690370101
2021-10-06,8924,74.57,OSTK,690370101
2021-10-07,13222,74.33,OSTK,690370101
2021-10-08,961,76.41,OSTK,690370101
2021-10-13,2732,76.92,OSTK,690370101
2021-10-18,31960,77.67,OSTK,690370101
2021-10-19,200,80.18,OSTK,690370101
2021-10-22,232,80.96,OSTK,690370101
2021-10-25,642,80.94,OSTK,690370101
2021-10-26,100,83.69,OSTK,690370101
2021-10-27,27308,82.10,OSTK,690370101
2021-10-29,4579,93.00,OSTK,690370101
2021-11-01,5321,95.23,OSTK,690370101
2021-11-02,1200,94.67,OSTK,690370101
2021-11-03,2624,101.36,OSTK,690370101
2021-11-04,950,104.80,OSTK,690370101
2021-11-05,1075,104.89,OSTK,690370101
2021-11-08,994,104.46,OSTK,690370101
2021-11-10,1859,101.98,OSTK,690370101
2021-11-12,319,98.47,OSTK,690370101
2021-11-23,1777,101.66,OSTK,690370101
2021-11-24,2412,92.75,OSTK,690370101
2021-11-29,4,92.18,OSTK,690370101
2021-11-30,6073,90.06,OSTK,690370101
2021-12-13,1236,73.22,OSTK,690370101
2021-12-14,293,68.16,OSTK,690370101
2021-12-16,4009,67.93,OSTK,690370101
2021-12-17,1812,64.40,OSTK,690370101
2021-12-28,93800,61.05,OSTK,690370101
2021-12-29,111767,60.12,OSTK,690370101
2021-12-30,6418,59.72,OSTK,690370101
2021-12-31,5468,60.64,OSTK,690370101
2022-01-03,570,59.01,OSTK,690370101
2022-01-13,13049,53.76,OSTK,690370101
2022-01-14,324,51.41,OSTK,690370101
2022-01-20,98,46.45,OSTK,690370101
2022-01-24,1149,40.86,OSTK,690370101
2022-01-25,5915,43.12,OSTK,690370101
2022-01-28,27200,39.26,OSTK,690370101
2022-01-31,739,43.09,OSTK,690370101
2022-02-03,154,47.16,OSTK,690370101
2022-02-04,807,45.94,OSTK,690370101
2022-02-08,207,49.72,OSTK,690370101
2022-02-09,9083,52.86,OSTK,690370101
2022-02-10,14870,52.88,OSTK,690370101
2022-02-11,1197,49.89,OSTK,690370101
2022-02-14,25,47.76,OSTK,690370101
2022-02-15,84101,47.31,OSTK,690370101
2022-02-16,2547,49.96,OSTK,690370101
2022-02-23,26956,36.45,OSTK,690370101
2022-02-24,48417,44.77,OSTK,690370101
2022-02-25,12825,53.01,OSTK,690370101
2022-02-28,977,53.98,OSTK,690370101
2022-03-01,18103,56.90,OSTK,690370101
2022-03-02,64076,55.15,OSTK,690370101
2022-03-03,1462,55.97,OSTK,690370101
2022-03-04,4,52.31,OSTK,690370101
2022-03-14,403,44.78,OSTK,690370101
2022-03-17,17,48.49,OSTK,690370101
2022-03-21,101,52.32,OSTK,690370101
2022-03-22,1800,48.78,OSTK,690370101
2022-03-23,13700,50.60,OSTK,690370101
2022-03-24,24,49.00,OSTK,690370101
2022-03-29,194,47.43,OSTK,690370101
2022-03-31,1126,46.72,OSTK,690370101
2022-04-05,59916,43.90,OSTK,690370101
2022-04-06,31,42.88,OSTK,690370101
2022-04-07,391,40.66,OSTK,690370101
2022-04-08,315,40.81,OSTK,690370101
2022-04-14,60,40.43,OSTK,690370101
2022-04-18,1609,38.41,OSTK,690370101
2022-04-19,70,37.59,OSTK,690370101
2022-04-20,5869,39.04,OSTK,690370101
2022-04-21,38191,37.25,OSTK,690370101
2022-04-22,387,35.79,OSTK,690370101
2022-04-26,65689,33.33,OSTK,690370101
2022-04-27,16544,31.43,OSTK,690370101
2022-05-02,2592,33.56,OSTK,690370101
