date,quantity,price
2022-01-21,114097,2.54
2022-01-24,29004,2.2
2022-01-25,396326,2.16
2022-01-26,558860,2.1
2022-01-27,141696,1.92
2022-01-28,803889,1.7
2022-01-31,796643,1.58
2022-02-01,1721926,1.72
2022-02-02,2007341,1.7
2022-02-03,502633,1.58
2022-02-04,503067,1.51
2022-02-11,518,1.48
2022-02-14,141704,1.42
2022-02-15,1272,1.37
2022-02-16,570,1.45
2022-02-17,170,1.39
2022-02-25,194221,1.32
2022-03-02,206497,1.3
2022-03-03,225170,1.31
2022-03-04,41949,1.24
2022-03-07,34362,1.2
2022-03-10,26405,1.35
2022-03-11,135528,1.31
2022-03-15,13356,1.22
2022-03-16,265662,1.29
2022-03-17,71753,1.42
2022-03-18,46687,1.53
2022-03-21,21392,1.8
2022-03-22,75488,2.28
2022-03-23,47770,2.3
2022-03-24,196542,2.66
2022-03-25,222328,2.61
2022-03-28,80135,2.32
2022-03-29,369708,2.35
2022-03-30,601818,2.32
2022-03-31,93041,2.37
2022-04-01,177446,2.19
2022-04-04,658830,2.11
2022-04-05,237347,2.14
2022-04-06,111240,2.08
2022-04-07,381470,2.02
2022-04-08,62066,1.97
2022-04-11,294726,1.91
2022-04-12,321891,1.83
2022-04-13,19426,1.77
2022-04-14,154538,1.77
2022-04-18,12904,1.74
2022-04-19,70064,1.6
2022-04-20,158411,1.66
2022-04-21,140186,1.59
2022-04-22,126658,1.59
2022-04-25,793292,1.7
2022-04-26,458518,1.88
2022-04-27,1650789,1.6
2022-04-28,707127,1.43
2022-04-29,1053263,1.46
2022-05-02,757043,1.41
2022-05-03,530198,1.48
2022-05-04,367482,1.68
2022-05-05,220318,1.72
2022-05-06,216432,1.72
2022-05-09,404217,1.77
2022-05-10,543039,1.48
2022-05-11,223153,1.6
2022-05-12,32726,1.47
2022-05-13,192329,1.52
2022-05-16,94622,1.62
2022-05-17,44290,1.77
2022-05-18,90718,1.85
2022-05-19,285404,1.77
2022-05-20,247700,1.77
2022-05-23,98630,1.71
2022-05-24,1686,1.68
2022-05-25,1461,1.58
2022-05-27,880,1.77
2022-05-31,157472,1.81
2022-06-01,288231,1.92
2022-06-02,19019,1.86
2022-06-03,26629,1.8
2022-06-06,78090,1.72
2022-06-07,155123,2.11
2022-06-08,276868,2.15
2022-06-09,224159,2.14
2022-06-10,388924,1.92
2022-06-13,168514,1.83
2022-06-14,168514,1.64
2022-06-15,290788,1.73
2022-06-16,223944,1.87
2022-06-17,217983,1.85
2022-06-21,170160,1.97
2022-06-22,208039,1.99
2022-06-23,330900,1.99
2022-06-24,305166,1.99
2022-06-27,235956,1.82
2022-06-28,2413011,1.69
2022-06-29,1438420,1.6
2022-06-30,1150941,1.56
2022-07-01,1447252,1.51
2022-07-05,1398841,1.55
2022-07-06,392271,1.61
2022-07-07,106412,1.61
2022-07-08,128020,1.7
2022-07-11,12276,1.78
2022-07-12,206463,1.66
2022-07-13,325019,1.65
2022-07-14,66180,1.62
2022-07-15,13528,1.61
2022-07-18,19558,1.62
2022-07-19,289525,1.64
2022-07-20,62293,1.7
2022-07-21,6291,1.74
2022-07-22,93216,1.7
2022-07-25,43618,1.6
2022-07-26,95764,1.58
2022-07-27,4260,1.46
2022-07-29,271532,1.49
2022-08-02,7374,1.49
2022-08-03,5382,1.51
2022-08-04,24346,1.56
2022-08-05,17052,1.59
2022-08-08,19846,1.52
2022-08-09,97399,1.58
2022-08-10,19779,1.52
2022-08-11,341137,1.52
2022-08-12,479,1.52
2022-08-15,17821,1.53
2022-08-17,9526,1.71
2022-08-18,3675,1.59
2022-08-19,3795,1.54
2022-08-22,32278,1.46
2022-08-24,63086,1.41
2022-08-25,35637,1.47
2022-08-26,11636,1.51
2022-08-29,35715,1.4
2022-08-30,59234,1.41
2022-08-31,65414,1.32
2022-09-01,50222,1.32
2022-09-02,109580,1.31
2022-09-06,25633,1.26
2022-09-07,25633,1.26
2022-09-12,1529,1.33
2022-09-15,1853,1.29
2022-09-21,462,1.05
2022-09-22,3174,1.07
2022-09-23,515,1.01
2022-09-27,5397,1.03
2022-09-30,105,0.98
2022-10-03,72164,1.03
2022-10-04,13476,0.96
2022-10-05,12197,1.02
2022-10-11,162485,0.93
2022-10-12,162362,0.96
2022-10-13,162362,0.93
2022-10-14,162362,0.98
2022-10-17,164039,0.97
2022-10-18,162584,1.01
2022-10-19,163656,0.99
2022-10-20,172328,1.0
2022-10-21,198219,0.97
2022-10-24,246401,1.01
2022-10-25,489940,0.95
2022-10-26,636,1.0
2022-10-27,2018,1.01
2022-10-28,190392,0.97
2022-10-31,173209,1.0
2022-11-01,54849,1.02
2022-11-04,9585,1.07
2022-11-07,4912,1.03
2022-11-09,561,0.93
2022-11-14,84428,0.93
2022-11-15,618071,0.9
2022-11-16,335465,0.91
2022-11-17,492397,0.83
2022-11-22,14498,0.81
2022-11-23,463468,0.77
2022-11-28,421621,0.74
2022-11-29,2624,0.68
2022-11-30,817268,0.62
2022-12-01,973149,0.62
2022-12-05,683202,0.65
2022-12-06,568074,0.59
2022-12-07,1360628,0.53
2022-12-08,426,0.5
2022-12-15,2375902,0.36
2022-12-16,8683,0.35
2022-12-19,2867876,0.36
2022-12-20,2334,0.31
2022-12-21,3091080,0.27
2022-12-23,10082,0.34
2022-12-27,1912795,0.32
2022-12-28,95,0.39
2022-12-29,439385,0.43
2023-01-03,115851,0.44
2023-01-04,48712,0.4
2023-01-05,265035,0.42
2023-01-06,103500,0.41
2023-01-10,216,0.44
2023-01-11,2857,0.45
2023-01-13,142561,0.53
2023-01-17,50496,0.53
2023-01-18,19132,0.55
2023-01-19,1095,0.56
2023-01-20,50134,0.51
2023-01-23,215910,0.53
2023-01-24,10409,0.56
2023-01-25,2103,0.58
2023-01-26,292691,0.56
2023-01-27,272862,0.63
2023-01-30,519326,0.67
2023-02-01,2238,0.76
2023-02-02,696490,0.79
2023-02-03,570888,0.78
2023-02-06,818045,0.8
2023-02-07,500025,0.81
2023-02-08,601809,0.77
2023-02-09,504326,0.67
2023-02-10,535906,0.59
2023-02-13,500000,0.66
2023-02-14,504924,0.65
2023-02-15,496311,0.67
2023-02-16,499524,0.65
2023-02-17,519338,0.63
2023-02-21,542040,0.63
2023-02-23,328,0.56
2023-03-01,28527,0.54
2023-03-03,9832,0.49
2023-03-06,7,0.52
2023-03-07,1709,0.51
2023-03-08,22012,0.5
2023-03-15,41312,0.44
2023-03-16,30272,0.43
2023-03-20,35647,0.42
2023-03-21,26499,0.4
2023-03-22,40931,0.42
2023-03-23,54807,0.41
2023-03-24,2184,0.41
2023-03-27,2008,0.41
2023-03-29,11790,0.39
2023-03-30,61406,0.42
2023-03-31,14239,0.46
2023-04-03,475215,0.46
2023-04-04,312205,0.45
2023-04-05,143466,0.44
2023-04-06,27152,0.43
2023-04-10,7250,0.43
2023-04-11,47358,0.42
2023-04-12,28808,0.43
2023-04-13,17411,0.4
2023-04-14,49739,0.43
2023-04-17,27283,0.41
2023-04-18,13263,0.42
2023-04-19,11650,0.43
2023-04-20,1833,0.42
2023-04-21,10497,0.39
2023-04-24,7522,0.38
2023-04-26,22790,0.35
2023-04-27,14164,0.36
2023-04-28,39350,0.38
2023-05-01,424,0.37
2023-05-02,74262,0.35
2023-05-04,5719,0.35
2023-05-05,5873,0.38
2023-05-08,16076,0.38
2023-05-09,8942,0.4
2023-05-11,844,0.37
2023-05-12,241568,0.37
2023-05-15,30767,0.36
2023-05-16,78396,0.36
2023-05-17,43,0.36
2023-05-18,24087,0.36
2023-05-19,34066,0.36
2023-05-22,27385,0.33
2023-05-24,17202,0.32
2023-05-26,45983,0.31
2023-05-30,48012,0.31
2023-05-31,17987,0.3
2023-06-01,16448,0.3
2023-06-02,7011,0.29
2023-06-05,9985,0.32
2023-06-06,40086,0.31
2023-06-07,35196,0.32
2023-06-08,13793,0.31
2023-06-09,70367,0.31
2023-06-12,50756,0.3
2023-06-13,86808,0.29
2023-06-14,93868,0.34
2023-06-15,127857,0.35
2023-06-16,165905,0.37
2023-06-20,77,0.32
2023-06-21,599940,0.31
2023-06-22,272247,0.3
2023-06-23,9987,0.3
2023-06-26,125969,0.3
2023-06-27,685121,0.3
2023-06-28,206953,0.3
2023-06-29,11481,0.29
2023-06-30,48523,0.29
2023-07-05,85866,0.32
2023-07-06,7495,0.36
2023-07-07,254394,0.33
2023-07-10,29649,0.39
