date,quantity,price
2020-01-03,2000,4.81
2020-01-16,2000,4.72
2020-01-24,8,5.05
2020-01-29,8469,4.58
2020-05-04,879,1.92
2020-05-06,7,1.72
2020-05-07,7446,1.6
2020-05-08,24255,1.7
2020-05-11,103550,1.8
2020-05-12,51070,1.75
2020-05-13,751,1.64
2020-05-14,2967,1.59
2020-05-15,6677,1.6
2020-05-18,174,1.67
2020-05-26,15095,1.87
2020-05-27,200,1.95
2020-05-28,6069,2.08
2020-06-01,20290,1.96
2020-06-02,2012,1.86
2020-06-09,1,2.55
2020-06-10,2290,2.49
2020-06-12,10517,1.88
2020-06-15,7812,1.95
2020-06-16,5812,1.86
2020-06-19,3286,1.85
2020-06-23,2875,1.82
2020-06-25,61688,1.56
2020-06-26,650,1.53
2020-06-30,55402,1.51
2020-07-02,28140,1.44
2020-07-06,17854,1.42
2020-07-08,82417,1.3
2020-07-09,29555,1.4
2020-07-10,4442,1.5
2020-07-20,5621,1.39
2020-07-22,108,1.31
2020-07-23,7169,1.27
2020-07-24,7418,1.24
2020-07-27,3758,1.21
2020-07-29,47822,1.14
2020-07-31,100708,1.11
2020-08-03,2525,1.01
2020-08-05,41307,1.16
2020-08-06,205595,1.14
2020-08-12,101,1.24
2020-08-14,5543,1.24
2020-08-21,52326,1.1
2020-08-25,3302,1.05
2020-08-28,18,1.05
2020-08-31,18,1.09
2020-09-01,18,1.11
2020-09-02,128,1.05
2020-09-08,346,0.98
2020-09-09,15982,0.92
2020-09-16,11222,0.95
2020-09-17,3120,0.95
2020-09-21,10988,0.9
2020-09-22,3823399,0.81
2020-09-23,271335,0.77
2020-09-24,202164,0.7
2020-09-25,127879,0.71
2020-09-28,386,0.68
2020-09-29,23882,0.67
2020-09-30,23646,0.61
2020-10-02,11736,0.8
2020-10-06,204988,0.76
2020-10-07,147,0.66
2020-10-08,571852,0.7
2020-10-09,687218,0.73
2020-10-13,602883,0.76
2020-10-14,61419,0.72
2020-10-16,59820,0.75
2020-10-19,342,0.75
2020-10-22,6539,0.72
2020-10-26,22043,0.77
2020-10-27,27276,0.75
2020-10-28,1221,0.71
2020-10-29,9662,0.66
2020-10-30,7,0.63
2020-11-02,8211,0.61
2020-11-03,74671,0.58
2020-11-05,18135,0.59
2020-11-12,29982,0.85
2020-11-13,24451,0.78
2020-11-16,3042,0.77
2020-11-18,9931,0.9
2020-11-20,2299,1.04
2020-11-23,71580,1.14
2020-11-24,61307,1.39
2020-11-25,126118,1.54
2020-11-27,142140,1.6
2020-11-30,142039,1.59
2020-12-01,47212,1.52
2020-12-02,287037,1.68
2020-12-03,351474,1.58
2020-12-04,65598,1.17
2020-12-07,165,1.2
2020-12-08,200,1.1
2020-12-11,12382,1.12
2020-12-14,15688,1.07
2020-12-15,28664,1.04
2020-12-16,68103,1.05
2020-12-17,395749,1.04
2020-12-18,126888,1.06
2020-12-21,14684,1.16
2020-12-22,27617,1.09
2020-12-23,1326,1.08
2020-12-24,94249,1.05
2020-12-28,126679,1.04
2020-12-29,62995,1.0
2020-12-30,120906,0.91
2020-12-31,85793,0.95
2021-01-04,8122,0.91
2021-01-05,2122,0.93
2021-01-06,42071,0.96
2021-01-07,12447,1.0
2021-01-11,66390,1.04
2021-01-12,96144,1.0
2021-01-13,17039,1.05
2021-01-14,36464,1.03
2021-01-19,408791,1.26
2021-01-20,61664,1.21
2021-01-21,57354,1.16
2021-01-22,85942,1.17
2021-01-26,242571,4.15
2021-01-27,372693,3.04
2021-01-28,258314,9.55
2021-01-29,479319,4.7
2021-02-01,234579,6.0
2021-02-02,9717,5.0
2021-02-03,418326,3.38
2021-02-04,64916,3.56
2021-02-05,63881,3.28
