date,symbol,quantity,price,cusip
2025-04-25,GMEU,20680,25.07,26923Q721
2025-04-28,GMEU,17041,25.47,26923Q721
2025-04-29,GMEU,43383,25.69,26923Q721
2025-04-30,GMEU,31192,25.29,26923Q721
2025-05-01,GMEU,98,26.18,26923Q721
2025-05-02,GMEU,361,25.45,26923Q721
2025-05-05,GMEU,8815,25.23,26923Q721
2025-05-06,GMEU,8764,23.55,26923Q721
2025-05-07,GMEU,1312,22.59,26923Q721
2025-05-09,GMEU,1850,23.81,26923Q721
2025-05-12,GMEU,4737,25.09,26923Q721
2025-05-13,GMEU,1002,25.97,26923Q721
2025-05-14,GMEU,4240,26.65,26923Q721
2025-05-15,GMEU,15349,27.13,26923Q721
2025-05-16,GMEU,17048,26.99,26923Q721
2025-05-21,GMEU,14385,26.67,26923Q721
2025-05-22,GMEU,950,25.75,26923Q721
2025-05-23,GMEU,175755,30.94,26923Q721
2025-05-27,GMEU,264017,35.55,26923Q721
2025-05-28,GMEU,104399,39.3,26923Q721
2025-05-29,GMEU,151756,31.77,26923Q721
2025-06-04,GMEU,1185,28.2,26923Q721
2025-06-05,GMEU,294,27.77,26923Q721
2025-06-09,GMEU,3330,26.87,26923Q721
2025-06-11,GMEU,20744,27.89,26923Q721
2025-06-12,GMEU,79435,24.74,26923Q721
2025-06-13,GMEU,1511038,13.7,26923Q721
2025-06-16,GMEU,1178115,13.68,26923Q721
2025-06-17,GMEU,422152,15.01,26923Q721
2025-06-18,GMEU,293907,14.65,26923Q721
2025-06-20,GMEU,1609,15.11,26923Q721
2025-06-23,GMEU,34862,15.1,26923Q721
2025-06-24,GMEU,12917,14.28,26923Q721
2025-06-25,GMEU,11447,14.8,26923Q721
2025-06-27,GMEU,1711,15.45,26923Q721
2025-06-30,GMEU,40041,15.19,26923Q721
2025-07-07,GMEU,308,14.95,26923Q721
2025-07-08,GMEU,3172,13.75,26923Q721
2025-07-09,GMEU,2745,13.86,26923Q721
2025-07-10,GMEU,1060,14.44,26923Q721
2025-07-16,GMEU,52455,14.38,26923Q721
2025-07-17,GMEU,46236,14.85,26923Q721
2025-07-18,GMEU,24486,14.55,26923Q721
2025-07-22,GMEU,2581,15.45,26923Q721
2025-07-23,GMEU,255,15.47,26923Q721
2025-07-24,GMEU,5981,15.15,26923Q721
