date,symbol,quantity,price,cusip
2025-09-10,GMEY,5,50.43,88636V462
2025-09-11,GMEY,191,51.74,88636V462
2025-09-12,GMEY,37,51.97,88636V462
2025-09-15,GMEY,278,52.07,88636V462
2025-09-16,GMEY,22,52.73,88636V462
2025-09-17,GMEY,99,53.36,88636V462
2025-09-18,GMEY,16,53.21,88636V462
2025-09-25,GMEY,28,53.7,88636V462
2025-09-30,GMEY,130,55.38,88636V462
2025-10-01,GMEY,133,55.54,88636V462
2025-10-02,GMEY,134,56.02,88636V462
2025-10-03,GMEY,189,55.38,88636V462
2025-10-06,GMEY,10,52.92,88636V462
2025-10-07,GMEY,75,52.28,88636V462
2025-10-08,GMEY,58,51.07,88636V462
2025-10-09,GMEY,38,51.07,88636V462
2025-10-10,GMEY,43,50.39,88636V462
2025-10-14,GMEY,106,49.67,88636V462
2025-10-15,GMEY,5,49.12,88636V462
2025-10-16,GMEY,528,49.27,88636V462
2025-10-17,GMEY,51,46.42,88636V462
2025-10-20,GMEY,441,46.91,88636V462
2025-10-21,GMEY,235498,47.75,88636V462
2025-10-22,GMEY,314,46.36,88636V462
2025-10-23,GMEY,32,45.24,88636V462
2025-10-24,GMEY,220,46.43,88636V462
2025-10-27,GMEY,230,46.27,88636V462
2025-10-30,GMEY,8,46.22,88636V462
2025-10-31,GMEY,11,44.44,88636V462
2025-11-05,GMEY,46,43.61,88636V462
2025-11-06,GMEY,114,43.21,88636V462
2025-11-07,GMEY,53,42.07,88636V462
2025-11-10,GMEY,1,42.37,88636V462
2025-11-13,GMEY,12,42.33,88636V462
2025-11-14,GMEY,387,41.14,88636V462
2025-11-17,GMEY,541,40.52,88636V462
2025-11-18,GMEY,227,40.33,88636V462
2025-11-20,GMEY,650,40.34,88636V462
2025-11-21,GMEY,828,39.66,88636V462
2025-11-24,GMEY,828,39.23,88636V462
2025-11-26,GMEY,165,40.63,88636V462
2025-11-28,GMEY,25,41.27,88636V462
2025-12-01,GMEY,172,41.86,88636V462
2025-12-02,GMEY,279,41.97,88636V462
2025-12-04,GMEY,1161,42.35,88636V462
2025-12-05,GMEY,516,40.95,88636V462
2025-12-08,GMEY,395,41.26,88636V462
2025-12-09,GMEY,12,41.63,88636V462
2025-12-10,GMEY,195,41.33,88636V462
2025-12-11,GMEY,678,40.49,88636V462
2025-12-12,GMEY,502,40.12,88636V462
2025-12-15,GMEY,510,38.52,88636V462
2025-12-16,GMEY,2,39.66,88636V462
2025-12-17,GMEY,2,40.38,88636V462
2025-12-18,GMEY,45,40.6,88636V462
2025-12-19,GMEY,4,39.65,88636V462
2025-12-22,GMEY,5,39.52,88636V462
2025-12-23,GMEY,3,38.65,88636V462
2025-12-24,GMEY,408,37.74,88636V462
2025-12-26,GMEY,445,38.02,88636V462
2025-12-29,GMEY,509,37.02,88636V462
2026-01-12,GMEY,40,35.81,88636V462
2026-01-13,GMEY,12,35.5,88636V462
2026-01-14,GMEY,412,35.52,88636V462
2026-01-15,GMEY,146,35.59,88636V462
2026-01-30,GMEY,93,36.49,88636V462
