date,symbol,quantity,price,cusip
2020-12-01,GME,91971,16.56,36467W109
2020-12-02,GME,1061397,15.8,36467W109
2020-12-03,GME,1787191,16.58,36467W109
2020-12-04,GME,999475,16.12,36467W109
2020-12-07,GME,1002379,16.9,36467W109
2020-12-08,GME,872292,16.35,36467W109
2020-12-09,GME,721361,16.94,36467W109
2020-12-10,GME,605975,13.66,36467W109
2020-12-11,GME,880063,14.12,36467W109
2020-12-14,GME,284296,13.31,36467W109
2020-12-15,GME,170655,12.72,36467W109
2020-12-16,GME,10784,13.85,36467W109
2020-12-17,GME,500162,13.85,36467W109
2020-12-18,GME,872523,14.83,36467W109
2020-12-21,GME,619404,15.63,36467W109
2020-12-22,GME,744478,15.53,36467W109
2020-12-23,GME,700507,19.46,36467W109
2020-12-24,GME,839699,20.57,36467W109
2020-12-28,GME,351316,20.15,36467W109
2020-12-29,GME,283294,20.99,36467W109
2020-12-30,GME,648513,19.38,36467W109
2020-12-31,GME,228358,19.26,36467W109
2021-01-04,GME,182269,18.84,36467W109
2021-01-05,GME,490723,17.25,36467W109
2021-01-06,GME,772112,17.37,36467W109
2021-01-07,GME,799328,18.36,36467W109
2021-01-08,GME,555658,18.08,36467W109
2021-01-11,GME,703110,17.69,36467W109
2021-01-12,GME,287730,19.94,36467W109
2021-01-13,GME,662524,19.95,36467W109
2021-01-14,GME,621483,31.4,36467W109
2021-01-15,GME,892653,39.91,36467W109
2021-01-19,GME,1498576,35.5,36467W109
2021-01-20,GME,1007562,39.36,36467W109
2021-01-21,GME,1438994,39.12,36467W109
2021-01-22,GME,273600,43.03,36467W109
2021-01-25,GME,275113,65.01,36467W109
2021-01-26,GME,2099572,76.79,36467W109
2021-01-27,GME,1972862,147.98,36467W109
2021-01-28,GME,1032986,347.51,36467W109
2021-01-29,GME,138179,193.6,36467W109
2021-02-01,GME,10975,325.0,36467W109
2021-02-02,GME,159298,225.0,36467W109
2021-02-03,GME,47564,90.0,36467W109
2021-02-04,GME,88767,92.41,36467W109
2021-02-05,GME,27307,53.5,36467W109
2021-02-08,GME,304,63.77,36467W109
2021-02-09,GME,22796,60.0,36467W109
2021-02-10,GME,99,50.31,36467W109
2021-02-11,GME,1534,51.2,36467W109
2021-02-12,GME,15102,51.1,36467W109
2021-02-16,GME,5218,52.4,36467W109
2021-02-17,GME,52861,49.51,36467W109
2021-02-18,GME,8435,45.94,36467W109
2021-02-19,GME,16734,40.69,36467W109
2021-02-22,GME,1910,40.59,36467W109
2021-02-23,GME,14856,46.0,36467W109
2021-02-24,GME,173307,44.97,36467W109
2021-02-25,GME,29072,91.71,36467W109
2021-02-26,GME,298018,108.73,36467W109
2021-03-01,GME,82708,101.74,36467W109
2021-03-02,GME,26373,120.4,36467W109
