date,symbol,quantity,price,cusip
2020-12-02,GOOGL,13,1795.36,
2020-12-03,GOOGL,204,1824.97,
2020-12-04,GOOGL,24,1821.84,
2020-12-08,GOOGL,831,1817.03,
2020-12-09,GOOGL,390,1811.33,
2020-12-10,GOOGL,15996,1777.86,
2020-12-21,GOOGL,4,1726.22,
2020-12-23,GOOGL,139,1720.22,
2020-12-28,GOOGL,9,1734.16,
2020-12-30,GOOGL,1442,1757.76,
2020-12-31,GOOGL,109,1736.25,
2021-01-05,GOOGL,112,1726.13,
2021-01-08,GOOGL,138,1774.34,
2021-01-12,GOOGL,600,1756.29,
2021-01-13,GOOGL,6275,1737.43,
2021-01-14,GOOGL,62,1747.25,
2021-01-21,GOOGL,255,1880.07,
2021-01-22,GOOGL,10,1884.15,
2021-01-26,GOOGL,100,1894.28,
2021-01-27,GOOGL,1,1907.95,
2021-02-03,GOOGL,59,1919.12,
2021-02-04,GOOGL,4,2058.88,
2021-02-08,GOOGL,759,2088.83,
2021-02-09,GOOGL,597,2084.52,
2021-02-10,GOOGL,3,2075.39,
2021-02-16,GOOGL,3530,2095.03,
2021-02-17,GOOGL,58,2110.70,
2021-02-18,GOOGL,1801,2118.62,
2021-02-19,GOOGL,2,2105.81,
2021-02-26,GOOGL,1744,2015.95,
2021-03-01,GOOGL,12,2021.91,
2021-03-08,GOOGL,1051,2097.07,
2021-03-09,GOOGL,200,2007.50,
2021-03-10,GOOGL,118,2040.36,
2021-03-11,GOOGL,1995,2036.19,
2021-03-16,GOOGL,1500,2054.44,
2021-03-17,GOOGL,187,2083.89,
2021-03-19,GOOGL,483,2021.34,
2021-03-23,GOOGL,1,2030.69,
2021-03-24,GOOGL,2564,2041.33,
2021-03-26,GOOGL,4346,2032.46,
2021-03-29,GOOGL,2618,2024.73,
2021-03-30,GOOGL,862,2045.79,
2021-04-01,GOOGL,500,2062.52,
2021-04-06,GOOGL,300,2218.96,
2021-04-09,GOOGL,3147,2250.43,
2021-04-13,GOOGL,488,2244.62,
2021-04-19,GOOGL,1111,2282.75,
2021-04-20,GOOGL,3414,2289.76,
2021-04-21,GOOGL,1126,2279.01,
2021-04-22,GOOGL,1131,2278.35,
2021-04-23,GOOGL,1020,2252.52,
2021-04-26,GOOGL,3996,2299.93,
2021-04-27,GOOGL,5846,2309.93,
2021-04-28,GOOGL,6652,2290.98,
2021-04-29,GOOGL,3508,2359.04,
2021-04-30,GOOGL,154,2392.76,
2021-05-05,GOOGL,1060,2306.83,
2021-05-10,GOOGL,4703,2351.93,
2021-05-11,GOOGL,100,2291.75,
2021-05-18,GOOGL,1961,2288.92,
2021-05-19,GOOGL,74,2262.47,
2021-05-25,GOOGL,548,2361.04,
2021-05-26,GOOGL,620,2362.87,
2021-05-27,GOOGL,3323,2380.31,
2021-05-28,GOOGL,1260,2362.68,
2021-06-02,GOOGL,300,2381.18,
2021-06-07,GOOGL,5964,2393.57,
2021-06-09,GOOGL,5409,2398.44,
2021-06-16,GOOGL,57,2428.39,
2021-06-24,GOOGL,126,2442.54,
2021-06-25,GOOGL,106,2450.00,
2021-06-29,GOOGL,300,2450.72,
2021-07-01,GOOGL,100,2441.79,
2021-07-07,GOOGL,701,2523.80,
2021-07-12,GOOGL,518,2510.37,
2021-07-14,GOOGL,2,2546.83,
2021-07-19,GOOGL,11,2539.40,
2021-07-21,GOOGL,134,2524.19,
2021-07-26,GOOGL,49,2660.30,
2021-07-27,GOOGL,6018,2680.70,
2021-07-30,GOOGL,6,2715.55,
2021-08-03,GOOGL,300,2697.09,
2021-08-06,GOOGL,26,2725.03,
2021-08-10,GOOGL,100,2738.26,
2021-08-18,GOOGL,5039,2733.23,
2021-08-20,GOOGL,68,2713.60,
2021-08-24,GOOGL,250,2800.83,
2021-08-27,GOOGL,3,2828.81,
2021-08-30,GOOGL,11,2880.08,
2021-08-31,GOOGL,34,2891.81,
2021-09-16,GOOGL,3175,2888.59,
2021-09-17,GOOGL,2501,2872.20,
2021-09-20,GOOGL,557,2816.00,
2021-09-21,GOOGL,89,2774.39,
2021-09-22,GOOGL,47,2780.66,
2021-09-23,GOOGL,16,2805.67,
2021-09-28,GOOGL,869,2821.44,
2021-09-29,GOOGL,96,2716.60,
2021-09-30,GOOGL,501,2687.07,
2021-10-01,GOOGL,2,2673.52,
2021-10-12,GOOGL,3428,2778.28,
2021-10-13,GOOGL,2800,2728.98,
2021-10-19,GOOGL,100,2855.56,
2021-10-29,GOOGL,12,2916.98,
2021-11-01,GOOGL,1705,2960.92,
2021-11-02,GOOGL,426,2869.94,
2021-11-08,GOOGL,47,2977.04,
2021-11-09,GOOGL,6176,2980.62,
2021-11-16,GOOGL,5887,2969.04,
2021-11-22,GOOGL,50,2978.53,
2021-11-23,GOOGL,2357,2926.04,
2021-11-24,GOOGL,557,2915.64,
2021-11-26,GOOGL,111,2922.40,
2021-11-29,GOOGL,310,2843.66,
2021-11-30,GOOGL,337,2910.61,
2021-12-03,GOOGL,10544,2859.32,
2021-12-10,GOOGL,100,2952.77,
2021-12-14,GOOGL,595,2916.53,
2021-12-20,GOOGL,424,2834.50,
2021-12-22,GOOGL,38,2869.45,
2021-12-23,GOOGL,33,2928.30,
2021-12-27,GOOGL,233,2938.33,
2021-12-28,GOOGL,447,2958.13,
2021-12-29,GOOGL,3,2933.74,
2022-01-04,GOOGL,548,2899.83,
2022-01-05,GOOGL,2040,2887.99,
2022-01-07,GOOGL,513,2754.95,
2022-01-12,GOOGL,21,2794.72,
2022-01-21,GOOGL,16,2666.15,
2022-01-24,GOOGL,100,2607.03,
2022-01-25,GOOGL,800,2616.08,
2022-01-26,GOOGL,6,2538.70,
2022-01-27,GOOGL,10,2584.66,
2022-01-31,GOOGL,27991,2667.02,
2022-02-01,GOOGL,3,2706.07,
2022-02-02,GOOGL,4,2752.88,
2022-02-03,GOOGL,468,2960.00,
2022-02-04,GOOGL,1809,2861.80,
2022-02-09,GOOGL,2,2787.98,
2022-02-11,GOOGL,928,2772.40,
2022-02-16,GOOGL,173,2732.17,
2022-02-24,GOOGL,71,2551.76,
2022-03-02,GOOGL,4097,2681.23,
2022-03-03,GOOGL,4060,2691.43,
2022-03-14,GOOGL,1,2597.41,
2022-03-17,GOOGL,3350,2665.61,
2022-03-18,GOOGL,2222,2676.78,
2022-03-21,GOOGL,1,2722.51,
2022-03-22,GOOGL,7029,2722.03,
2022-03-25,GOOGL,47,2831.44,
2022-03-29,GOOGL,1600,2829.11,
2022-04-06,GOOGL,3,2811.82,
2022-04-12,GOOGL,1255,2576.47,
2022-04-20,GOOGL,1437,2600.18,
2022-04-21,GOOGL,342,2560.80,
2022-04-27,GOOGL,1815,2373.00,
2022-05-03,GOOGL,353,2331.66,
2022-05-11,GOOGL,7931,2287.90,
2022-05-12,GOOGL,679,2272.05,
2022-05-13,GOOGL,17,2256.88,
2022-05-16,GOOGL,288,2321.01,
2022-05-19,GOOGL,690,2237.99,
2022-05-24,GOOGL,373,2229.76,
2022-05-26,GOOGL,2900,2116.10,
2022-05-31,GOOGL,5181,2246.33,
2022-06-01,GOOGL,1006,2275.24,
2022-06-06,GOOGL,29030,2290.82,
2022-06-07,GOOGL,1,2336.41,
2022-06-08,GOOGL,16517,2342.99,
2022-06-09,GOOGL,55826,2343.88,
2022-06-14,GOOGL,606,2127.85,
2022-06-15,GOOGL,7131,2134.31,
2022-06-16,GOOGL,58,2195.29,
2022-06-17,GOOGL,570,2120.67,
2022-06-21,GOOGL,147,2142.87,
2022-06-22,GOOGL,113537,2230.88,
2022-06-23,GOOGL,44457,2229.75,
2022-06-24,GOOGL,1,2244.84,
2022-06-27,GOOGL,5821,2359.50,
2022-06-28,GOOGL,814,2316.67,
2022-06-29,GOOGL,80,2240.15,
2022-07-01,GOOGL,1,2179.26,
2022-07-05,GOOGL,590,2174.75,
2022-07-08,GOOGL,3,2375.66,
2022-07-11,GOOGL,42,2387.07,
2022-07-12,GOOGL,1578,2313.53,
2022-07-13,GOOGL,4948,2280.41,
2022-07-14,GOOGL,19510,2227.07,
2022-07-18,GOOGL,1725,2235.55,
2022-07-19,GOOGL,2194,2180.60,
2022-07-20,GOOGL,585843,113.81,
2022-07-21,GOOGL,55917,113.90,
2022-07-22,GOOGL,54400,114.34,
2022-07-28,GOOGL,476140,113.06,
2022-07-29,GOOGL,471196,114.22,
2022-08-01,GOOGL,680960,116.32,
2022-08-02,GOOGL,1331182,114.86,
2022-08-03,GOOGL,6048,115.13,
2022-08-08,GOOGL,362,117.47,
2022-08-09,GOOGL,17796,117.30,
2022-08-10,GOOGL,120,116.63,
