date,symbol,quantity,price,cusip
2025-06-11,IGME,131,50.07,09174D102
2025-06-12,IGME,174,48.78,09174D102
2025-06-13,IGME,1,38.06,09174D102
2025-06-16,IGME,11,38.95,09174D102
2025-06-17,IGME,1299,40.68,09174D102
2025-06-18,IGME,8963,40.42,09174D102
2025-06-20,IGME,86,41.19,09174D102
2025-06-23,IGME,184,41.1,09174D102
2025-06-24,IGME,274,40.61,09174D102
2025-06-25,IGME,364,41.13,09174D102
2025-06-26,IGME,221,41.47,09174D102
2025-06-27,IGME,159,42.2,09174D102
2025-07-01,IGME,75,42.95,09174D102
2025-07-02,IGME,132,42.31,09174D102
2025-07-03,IGME,35,42.6,09174D102
2025-07-16,IGME,335,41.85,09174D102
2025-07-17,IGME,278,42.28,09174D102
2025-07-18,IGME,289,42.05,09174D102
2025-07-22,IGME,36,42.91,09174D102
2025-07-24,IGME,41,42.4,09174D102
2025-07-25,IGME,120,41.73,09174D102
2025-07-28,IGME,130,38.94,09174D102
2025-09-16,IGME,280,41.5,09174D102
2025-09-17,IGME,280,42.05,09174D102
2025-09-18,IGME,11797,41.44,09174D102
2025-09-19,IGME,9373,41.07,09174D102
2025-09-22,IGME,35,41.3,09174D102
2025-09-24,IGME,793,41.68,09174D102
2025-09-25,IGME,492,41.12,09174D102
2025-09-29,IGME,6,37.85,09174D102
2025-09-30,IGME,237,38.86,09174D102
2025-10-01,IGME,1000,39.1,09174D102
2025-10-02,IGME,456,39.59,09174D102
2025-10-03,IGME,339,39.03,09174D102
2025-10-06,IGME,330,38.0,09174D102
2025-10-07,IGME,344,38.46,09174D102
2025-10-08,IGME,3955,36.83,09174D102
2025-10-09,IGME,3044,36.32,09174D102
2025-10-10,IGME,12,35.75,09174D102
2025-10-14,IGME,364,34.94,09174D102
2025-10-17,IGME,15,34.02,09174D102
2025-10-20,IGME,754,34.03,09174D102
2025-10-21,IGME,440,34.71,09174D102
2025-10-22,IGME,12,33.99,09174D102
2025-10-23,IGME,62,33.41,09174D102
2025-10-24,IGME,1058,35.08,09174D102
2025-10-27,IGME,98,31.62,09174D102
2025-11-04,IGME,111,30.23,09174D102
2025-11-05,IGME,271,30.0,09174D102
2025-11-10,IGME,160,29.36,09174D102
2025-11-12,IGME,430,29.28,09174D102
2025-11-13,IGME,161,29.26,09174D102
2025-11-19,IGME,243,28.08,09174D102
2025-11-24,IGME,188,27.22,09174D102
2025-11-25,IGME,188,27.88,09174D102
2025-12-24,IGME,64,26.98,09174D102
2025-12-26,IGME,998,27.27,09174D102
2026-01-07,IGME,23,24.04,09174D102
2026-01-08,IGME,23,24.76,09174D102
2026-01-09,IGME,22,24.85,09174D102
2026-01-12,IGME,62,24.69,09174D102
2026-01-13,IGME,40,24.45,09174D102
2026-01-14,IGME,40,24.45,09174D102
2026-01-15,IGME,41,24.4,09174D102
2026-01-16,IGME,1,24.71,09174D102
