date,symbol,quantity,price,cusip
2020-12-03,IJH,1792,218.89,464287507
2020-12-04,IJH,366,220.14,464287507
2020-12-07,IJH,7,224.22,464287507
2020-12-08,IJH,1735,223.38,464287507
2020-12-10,IJH,1945,223.6,464287507
2020-12-11,IJH,1982,224.33,464287507
2020-12-14,IJH,127567,223.81,464287507
2020-12-15,IJH,206,222.61,464287507
2020-12-17,IJH,1946,227.1,464287507
2020-12-18,IJH,454,229.05,464287507
2020-12-21,IJH,2614,227.8,464287507
2020-12-22,IJH,6,227.3,464287507
2020-12-23,IJH,124,228.37,464287507
2020-12-29,IJH,32,230.04,464287507
2020-12-30,IJH,88,227.66,464287507
2020-12-31,IJH,1920,229.64,464287507
2021-01-04,IJH,359,229.83,464287507
2021-01-08,IJH,25,241.26,464287507
2021-01-11,IJH,2,240.93,464287507
2021-01-13,IJH,251,244.14,464287507
2021-01-21,IJH,435,246.27,464287507
2021-01-28,IJH,5,236.06,464287507
2021-02-02,IJH,260,238.11,464287507
2021-02-04,IJH,65,241.18,464287507
2021-02-05,IJH,269,244.52,464287507
2021-02-08,IJH,18,247.12,464287507
2021-02-09,IJH,68,251.1,464287507
2021-02-10,IJH,88,251.86,464287507
2021-02-11,IJH,508,251.52,464287507
2021-02-16,IJH,3,253.85,464287507
2021-02-17,IJH,144,253.39,464287507
2021-02-19,IJH,9,249.33,464287507
2021-02-23,IJH,22,252.25,464287507
2021-02-24,IJH,163,252.66,464287507
2021-02-25,IJH,52,257.23,464287507
2021-02-26,IJH,12,249.42,464287507
2021-03-01,IJH,454,249.22,464287507
2021-03-04,IJH,86,250.37,464287507
2021-03-05,IJH,3,244.95,464287507
2021-03-08,IJH,32623,250.83,464287507
2021-03-09,IJH,21,252.77,464287507
2021-03-10,IJH,60,254.5,464287507
2021-03-12,IJH,20627,261.89,464287507
2021-03-15,IJH,1,264.3,464287507
2021-03-16,IJH,268,267.93,464287507
2021-03-18,IJH,3003,266.23,464287507
2021-03-23,IJH,26394,259.64,464287507
2021-03-24,IJH,33063,252.75,464287507
2021-03-25,IJH,379,251.29,464287507
2021-03-26,IJH,32399,255.92,464287507
2021-03-29,IJH,2852,261.81,464287507
2021-03-30,IJH,17553,257.05,464287507
2021-03-31,IJH,993,260.16,464287507
2021-04-01,IJH,137,260.28,464287507
2021-04-05,IJH,148,263.97,464287507
2021-04-06,IJH,146,265.82,464287507
2021-04-07,IJH,76,266.02,464287507
2021-04-08,IJH,115,263.81,464287507
2021-04-09,IJH,420,265.11,464287507
2021-04-13,IJH,259,267.16,464287507
2021-04-15,IJH,1,267.5,464287507
2021-04-16,IJH,291,269.39,464287507
2021-04-19,IJH,17,271.36,464287507
2021-04-20,IJH,672,269.93,464287507
2021-04-22,IJH,4236,270.59,464287507
2021-04-23,IJH,99,269.37,464287507
2021-04-26,IJH,91,273.91,464287507
2021-04-27,IJH,21,274.98,464287507
2021-04-28,IJH,18,275.59,464287507
2021-04-29,IJH,169,275.5,464287507
2021-05-03,IJH,19964,271.76,464287507
2021-05-05,IJH,118,272.51,464287507
2021-05-07,IJH,198,273.44,464287507
2021-05-11,IJH,1882,273.17,464287507
2021-05-17,IJH,256375,271.64,464287507
2021-05-19,IJH,60,268.59,464287507
2021-05-20,IJH,72,266.8,464287507
2021-05-21,IJH,306,268.05,464287507
2021-05-24,IJH,2438,268.46,464287507
2021-05-25,IJH,1288,269.84,464287507
2021-05-26,IJH,6365,267.86,464287507
2021-05-27,IJH,197,270.55,464287507
2021-06-01,IJH,108,272.52,464287507
2021-06-02,IJH,26,274.01,464287507
2021-06-03,IJH,10011,272.51,464287507
2021-06-04,IJH,207,271.04,464287507
2021-06-07,IJH,3,272.64,464287507
2021-06-08,IJH,25,272.2,464287507
2021-06-10,IJH,7745,272.87,464287507
2021-06-14,IJH,47,274.17,464287507
2021-06-15,IJH,19,271.8,464287507
2021-06-17,IJH,4990,269.68,464287507
2021-06-18,IJH,122,265.41,464287507
2021-06-21,IJH,241,260.21,464287507
2021-06-22,IJH,815,266.34,464287507
2021-06-24,IJH,586,266.84,464287507
2021-06-25,IJH,95,269.38,464287507
2021-06-28,IJH,49,271.84,464287507
2021-06-30,IJH,7,268.78,464287507
2021-07-01,IJH,59,268.73,464287507
2021-07-02,IJH,9,271.14,464287507
2021-07-06,IJH,5,270.27,464287507
2021-07-09,IJH,5464,264.28,464287507
2021-07-12,IJH,97,269.85,464287507
2021-07-13,IJH,46,270.58,464287507
2021-07-14,IJH,26,266.47,464287507
2021-07-15,IJH,298,264.94,464287507
2021-07-16,IJH,9173,264.25,464287507
2021-07-20,IJH,54,256.44,464287507
2021-07-23,IJH,552,264.33,464287507
2021-07-26,IJH,552,266.6,464287507
2021-07-28,IJH,2987,265.36,464287507
2021-07-30,IJH,221,270.11,464287507
2021-08-03,IJH,74,268.68,464287507
2021-08-04,IJH,4,270.25,464287507
2021-08-05,IJH,94,267.51,464287507
2021-08-06,IJH,69,270.04,464287507
2021-08-09,IJH,11900,271.3,464287507
2021-08-10,IJH,275,270.51,464287507
2021-08-11,IJH,373,271.49,464287507
2021-08-12,IJH,3693,273.69,464287507
2021-08-13,IJH,312,273.24,464287507
2021-08-17,IJH,1045,272.15,464287507
2021-08-20,IJH,74,264.04,464287507
2021-08-24,IJH,171,269.61,464287507
2021-08-25,IJH,5232,272.23,464287507
2021-08-26,IJH,787,273.74,464287507
2021-08-27,IJH,50,271.27,464287507
2021-08-30,IJH,7,276.55,464287507
2021-08-31,IJH,6081,275.84,464287507
2021-09-01,IJH,21115,275.07,464287507
2021-09-03,IJH,3800,277.04,464287507
2021-09-07,IJH,111,275.7,464287507
2021-09-09,IJH,165,271.63,464287507
2021-09-10,IJH,14110,271.05,464287507
2021-09-13,IJH,8945,268.51,464287507
2021-09-16,IJH,3323,270.16,464287507
2021-09-17,IJH,368,269.71,464287507
2021-09-21,IJH,83366,263.38,464287507
2021-09-22,IJH,203,263.15,464287507
2021-09-23,IJH,343,266.58,464287507
2021-09-24,IJH,294,270.35,464287507
2021-09-27,IJH,186,268.8,464287507
2021-09-29,IJH,29,267.12,464287507
2021-09-30,IJH,23,267.22,464287507
2021-10-01,IJH,87,263.07,464287507
2021-10-06,IJH,105,266.15,464287507
2021-10-12,IJH,65,266.62,464287507
2021-10-13,IJH,285,268.17,464287507
2021-10-15,IJH,174,273.78,464287507
2021-10-19,IJH,149,274.61,464287507
2021-10-21,IJH,100,277.61,464287507
2021-10-26,IJH,3596,280.24,464287507
2021-10-27,IJH,18,278.42,464287507
2021-10-28,IJH,107,274.05,464287507
2021-10-29,IJH,551,278.38,464287507
2021-11-02,IJH,178,284.39,464287507
2021-11-03,IJH,7099,284.98,464287507
2021-11-04,IJH,259,288.18,464287507
2021-11-05,IJH,59,287.23,464287507
2021-11-08,IJH,40,289.77,464287507
2021-11-09,IJH,183,289.92,464287507
2021-11-10,IJH,65,289.59,464287507
2021-11-12,IJH,12,288.56,464287507
2021-11-15,IJH,4044,289.57,464287507
2021-11-16,IJH,830,290.18,464287507
2021-11-17,IJH,1,290.54,464287507
2021-11-19,IJH,39,287.78,464287507
2021-11-22,IJH,654,286.44,464287507
2021-11-23,IJH,469,287.01,464287507
2021-11-24,IJH,595,286.7,464287507
2021-11-26,IJH,34,286.45,464287507
2021-11-29,IJH,88,277.36,464287507
2021-11-30,IJH,136,277.46,464287507
2021-12-02,IJH,149,265.9,464287507
2021-12-03,IJH,10555,273.41,464287507
2021-12-06,IJH,2587,269.72,464287507
2021-12-07,IJH,83,275.29,464287507
2021-12-08,IJH,10739,279.98,464287507
2021-12-09,IJH,2424,281.46,464287507
2021-12-10,IJH,214,277.38,464287507
2021-12-13,IJH,2,277.73,464287507
2021-12-14,IJH,3456,273.74,464287507
2021-12-15,IJH,1784,272.66,464287507
2021-12-16,IJH,14003,275.56,464287507
2021-12-17,IJH,108276,271.85,464287507
2021-12-20,IJH,108228,271.35,464287507
2021-12-21,IJH,2,266.95,464287507
2021-12-22,IJH,77,273.96,464287507
2021-12-23,IJH,6,276.43,464287507
2021-12-27,IJH,9020,278.47,464287507
2021-12-28,IJH,817,282.14,464287507
2021-12-29,IJH,2483,282.12,464287507
2021-12-30,IJH,405,283.73,464287507
2022-01-04,IJH,123,283.98,464287507
2022-01-05,IJH,389,285.37,464287507
2022-01-06,IJH,6,278.88,464287507
2022-01-07,IJH,219,280.37,464287507
2022-01-10,IJH,4,278.23,464287507
2022-01-12,IJH,10,279.71,464287507
2022-01-13,IJH,9,278.82,464287507
