date,symbol,quantity,price,cusip
2020-12-01,IWM,42937,181.02,464287655
2020-12-03,IWM,871022,182.89,464287655
2020-12-04,IWM,102289,183.92,464287655
2020-12-07,IWM,602,188.2,464287655
2020-12-08,IWM,154510,188.38,464287655
2020-12-09,IWM,8553,190.8,464287655
2020-12-10,IWM,62250,189.41,464287655
2020-12-11,IWM,97795,191.24,464287655
2020-12-14,IWM,69104,190.3,464287655
2020-12-15,IWM,8490166,189.93,464287655
2020-12-16,IWM,968546,194.68,464287655
2020-12-17,IWM,189895,193.98,464287655
2020-12-18,IWM,44132,196.29,464287655
2020-12-21,IWM,566552,195.34,464287655
2020-12-22,IWM,3836,195.24,464287655
2020-12-23,IWM,25912,197.46,464287655
2020-12-24,IWM,777,199.14,464287655
2020-12-28,IWM,140679,199.01,464287655
2020-12-29,IWM,9372,198.27,464287655
2020-12-30,IWM,114441,194.43,464287655
2020-12-31,IWM,5644,196.41,464287655
2021-01-04,IWM,7218,196.06,464287655
2021-01-05,IWM,34366,193.5,464287655
2021-01-06,IWM,1097,196.49,464287655
2021-01-07,IWM,125200,204.53,464287655
2021-01-08,IWM,39893,208.17,464287655
2021-01-11,IWM,725,207.72,464287655
2021-01-12,IWM,84,207.54,464287655
2021-01-13,IWM,11699,211.26,464287655
2021-01-14,IWM,54832,209.75,464287655
2021-01-19,IWM,78429,210.75,464287655
2021-01-20,IWM,101693,213.45,464287655
2021-01-21,IWM,565440,214.39,464287655
2021-01-26,IWM,27147,214.79,464287655
2021-01-27,IWM,9882,213.3,464287655
2021-01-29,IWM,21294,208.72,464287655
2021-02-01,IWM,138013,205.56,464287655
2021-02-02,IWM,2062475,210.61,464287655
2021-02-03,IWM,1711339,213.61,464287655
2021-02-04,IWM,683323,214.25,464287655
2021-02-05,IWM,22823,218.62,464287655
2021-02-08,IWM,77717,221.65,464287655
2021-02-09,IWM,30030,227.31,464287655
2021-02-10,IWM,692412,228.38,464287655
2021-02-11,IWM,5302,226.88,464287655
2021-02-12,IWM,4550,226.62,464287655
2021-02-16,IWM,503500,227.26,464287655
2021-02-17,IWM,1583136,225.83,464287655
2021-02-18,IWM,2691734,224.06,464287655
2021-02-19,IWM,276327,220.59,464287655
2021-02-22,IWM,864417,225.19,464287655
2021-02-23,IWM,824631,223.73,464287655
2021-02-24,IWM,8735,221.76,464287655
2021-02-26,IWM,143219,218.61,464287655
2021-03-02,IWM,200,226.07,464287655
2021-03-03,IWM,21281,221.72,464287655
2021-03-05,IWM,58353,213.19,464287655
2021-03-09,IWM,88670,218.74,464287655
2021-03-10,IWM,8947,223.34,464287655
2021-03-11,IWM,52434,227.22,464287655
2021-03-12,IWM,28410,232.22,464287655
2021-03-16,IWM,2728,234.42,464287655
2021-03-17,IWM,340,230.5,464287655
2021-03-19,IWM,236095,225.24,464287655
2021-03-22,IWM,214535,226.94,464287655
2021-03-23,IWM,286956,225.23,464287655
2021-03-24,IWM,118739,217.06,464287655
2021-03-25,IWM,16071,212.04,464287655
2021-03-26,IWM,1098952,216.66,464287655
2021-03-29,IWM,62,220.61,464287655
2021-03-30,IWM,148436,214.4,464287655
2021-03-31,IWM,696374,218.01,464287655
2021-04-01,IWM,40230,220.94,464287655
2021-04-05,IWM,200355,223.74,464287655
2021-04-06,IWM,620185,224.97,464287655
2021-04-07,IWM,838048,224.31,464287655
2021-04-09,IWM,119685,222.56,464287655
2021-04-12,IWM,157505,222.59,464287655
2021-04-14,IWM,96089,221.14,464287655
2021-04-15,IWM,116548,223.32,464287655
2021-04-16,IWM,244838,224.29,464287655
2021-04-19,IWM,265809,224.65,464287655
2021-04-20,IWM,474,221.73,464287655
2021-04-21,IWM,974099,217.19,464287655
2021-04-22,IWM,15690,222.5,464287655
2021-04-23,IWM,10486,221.58,464287655
2021-04-27,IWM,166446,228.11,464287655
2021-04-28,IWM,197610,228.45,464287655
2021-04-29,IWM,164139,228.84,464287655
2021-04-30,IWM,83588,227.99,464287655
2021-05-03,IWM,22487,224.89,464287655
2021-05-06,IWM,584292,222.4,464287655
2021-05-07,IWM,406819,222.59,464287655
2021-05-10,IWM,287980,225.39,464287655
2021-05-11,IWM,59567,219.66,464287655
2021-05-12,IWM,1183539,218.96,464287655
2021-05-13,IWM,1367925,211.85,464287655
2021-05-14,IWM,4382607,215.75,464287655
2021-05-17,IWM,339676,221.02,464287655
2021-05-18,IWM,1064,221.32,464287655
2021-05-19,IWM,496407,219.64,464287655
2021-05-20,IWM,8,217.95,464287655
2021-05-21,IWM,126206,219.4,464287655
2021-05-24,IWM,364839,219.97,464287655
2021-05-25,IWM,682677,221.4,464287655
2021-05-26,IWM,201745,219.26,464287655
2021-05-27,IWM,51837,223.35,464287655
2021-05-28,IWM,737414,225.65,464287655
2021-06-01,IWM,144538,225.5,464287655
2021-06-02,IWM,291895,228.06,464287655
2021-06-03,IWM,1710,228.33,464287655
2021-06-04,IWM,379,226.42,464287655
2021-06-07,IWM,766,227.4,464287655
