date,symbol,quantity,price,cusip
2020-12-01,JPM,4200,117.88,
2020-12-02,JPM,2744,119.74,
2020-12-04,JPM,84275,121.24,
2020-12-08,JPM,6700,121.88,
2020-12-09,JPM,1546,122.00,
2020-12-22,JPM,627825,123.55,
2020-12-23,JPM,47,121.67,
2020-12-24,JPM,18772,125.07,
2020-12-29,JPM,431,125.34,
2021-01-04,JPM,139,127.07,
2021-01-05,JPM,46093,125.87,
2021-01-06,JPM,435864,125.65,
2021-01-07,JPM,109199,131.55,
2021-01-12,JPM,8100,138.05,
2021-01-14,JPM,2500,140.35,
2021-01-20,JPM,325319,138.04,
2021-01-25,JPM,5009,133.79,
2021-01-27,JPM,4,131.58,
2021-01-28,JPM,34975,127.86,
2021-01-29,JPM,5181,130.11,
2021-02-02,JPM,113,129.62,
2021-02-04,JPM,1630,135.14,
2021-02-08,JPM,10142,137.98,
2021-02-09,JPM,8704,140.14,
2021-02-10,JPM,2162,139.58,
2021-02-11,JPM,20,139.66,
2021-02-12,JPM,1233,139.27,
2021-02-16,JPM,7329,141.25,
2021-02-17,JPM,1700,144.65,
2021-02-18,JPM,2513,145.10,
2021-02-22,JPM,118,148.02,
2021-02-23,JPM,11100,149.41,
2021-02-24,JPM,6646,150.61,
2021-02-26,JPM,409,151.18,
2021-03-01,JPM,20,147.17,
2021-03-02,JPM,1500,150.50,
2021-03-11,JPM,748,155.13,
2021-03-16,JPM,161,155.37,
2021-03-22,JPM,1731,155.14,
2021-03-23,JPM,2066,150.97,
2021-03-24,JPM,606,149.46,
2021-03-25,JPM,1920,150.62,
2021-03-29,JPM,399,155.09,
2021-03-30,JPM,6300,152.68,
2021-03-31,JPM,1992,154.48,
2021-04-05,JPM,360,153.71,
2021-04-06,JPM,22026,153.62,
2021-04-07,JPM,5100,152.54,
2021-04-08,JPM,1054,154.93,
2021-04-12,JPM,1926,156.28,
2021-04-13,JPM,6591,155.95,
2021-04-16,JPM,72,152.17,
2021-04-27,JPM,1148,150.56,
2021-04-29,JPM,3496,152.23,
2021-04-30,JPM,1243,155.19,
2021-05-04,JPM,776,153.36,
2021-05-05,JPM,202,155.48,
2021-05-07,JPM,169,160.69,
2021-05-10,JPM,11178,161.24,
2021-05-11,JPM,9019,161.22,
2021-05-12,JPM,12846,158.54,
2021-05-13,JPM,13246,157.45,
2021-05-17,JPM,9,164.01,
