date,symbol,quantity,price,cusip
2020-12-02,KOSS,493,2.6,500692108
2020-12-03,KOSS,2104,2.56,500692108
2020-12-04,KOSS,101,2.66,500692108
2020-12-07,KOSS,1525,2.65,500692108
2020-12-30,KOSS,98819,3.44,500692108
2020-12-31,KOSS,339562,3.7,500692108
2021-01-04,KOSS,47971,3.44,500692108
2021-01-05,KOSS,39109,3.19,500692108
2021-01-07,KOSS,13,3.05,500692108
2021-01-08,KOSS,9,3.15,500692108
2021-01-11,KOSS,9,3.27,500692108
2021-01-12,KOSS,22,3.19,500692108
2021-01-20,KOSS,320,3.62,500692108
2021-01-22,KOSS,14905,3.54,500692108
2021-01-25,KOSS,791,3.34,500692108
2021-01-26,KOSS,2978,6.0,500692108
2021-01-27,KOSS,55027,10.0,500692108
2021-01-28,KOSS,128143,58.0,500692108
2021-01-29,KOSS,322870,41.96,500692108
2021-02-01,KOSS,144667,64.0,500692108
2021-02-02,KOSS,35678,35.0,500692108
2021-02-03,KOSS,23552,20.0,500692108
2021-02-04,KOSS,420,25.59,500692108
2021-02-05,KOSS,1126,18.8,500692108
2021-02-08,KOSS,3223,19.98,500692108
2021-02-09,KOSS,35783,19.0,500692108
2021-02-10,KOSS,38402,17.92,500692108
2021-02-11,KOSS,20474,17.01,500692108
2021-02-12,KOSS,777,15.92,500692108
2021-02-16,KOSS,60,14.78,500692108
2021-02-18,KOSS,34988,13.39,500692108
2021-02-19,KOSS,21278,14.25,500692108
2021-02-22,KOSS,20582,14.05,500692108
2021-02-23,KOSS,12204,13.31,500692108
2021-02-24,KOSS,29,11.9,500692108
2021-02-25,KOSS,600,18.44,500692108
2021-02-26,KOSS,853,21.53,500692108
2021-03-01,KOSS,39716,16.71,500692108
2021-03-02,KOSS,1622,18.95,500692108
2021-03-03,KOSS,39,16.19,500692108
2021-03-04,KOSS,271,16.92,500692108
2021-03-05,KOSS,48853,15.3,500692108
2021-03-08,KOSS,12444,14.78,500692108
2021-03-09,KOSS,24549,18.85,500692108
2021-03-10,KOSS,188,17.9,500692108
2021-03-11,KOSS,29122,30.28,500692108
2021-03-12,KOSS,112899,25.22,500692108
2021-03-15,KOSS,112271,27.88,500692108
2021-03-16,KOSS,106560,28.9,500692108
2021-03-17,KOSS,53131,26.7,500692108
2021-03-18,KOSS,36783,27.44,500692108
2021-03-19,KOSS,11525,25.51,500692108
2021-03-22,KOSS,49461,25.5,500692108
2021-03-23,KOSS,3037,23.8,500692108
2021-03-24,KOSS,53,20.75,500692108
2021-03-25,KOSS,252,16.42,500692108
2021-03-29,KOSS,74666,21.13,500692108
2021-03-30,KOSS,50344,21.2,500692108
2021-03-31,KOSS,175191,22.85,500692108
2021-04-01,KOSS,131657,22.49,500692108
2021-04-05,KOSS,91540,23.2,500692108
2021-04-06,KOSS,67037,23.06,500692108
2021-04-07,KOSS,16739,22.68,500692108
2021-04-08,KOSS,25592,21.44,500692108
2021-04-09,KOSS,8669,21.52,500692108
2021-04-12,KOSS,15817,20.29,500692108
2021-04-13,KOSS,13163,19.09,500692108
2021-04-14,KOSS,23380,19.4,500692108
2021-04-15,KOSS,15502,19.41,500692108
2021-04-16,KOSS,56946,19.18,500692108
2021-04-19,KOSS,22949,18.95,500692108
2021-04-20,KOSS,34694,18.7,500692108
2021-04-21,KOSS,24678,18.01,500692108
2021-04-22,KOSS,8190,19.37,500692108
2021-04-23,KOSS,6869,19.17,500692108
2021-04-26,KOSS,24325,18.8,500692108
2021-04-27,KOSS,13602,20.24,500692108
2021-04-28,KOSS,36719,19.79,500692108
2021-04-29,KOSS,8133,19.5,500692108
2021-04-30,KOSS,1619,19.28,500692108
2021-05-03,KOSS,1891,18.7,500692108
2021-05-04,KOSS,13772,18.6,500692108
2021-05-05,KOSS,4619,17.96,500692108
2021-05-06,KOSS,957,17.06,500692108
2021-05-12,KOSS,3876,16.77,500692108
2021-05-13,KOSS,3993,16.32,500692108
2021-05-14,KOSS,10458,18.25,500692108
2021-05-17,KOSS,100821,18.55,500692108
2021-05-18,KOSS,44494,18.8,500692108
2021-05-19,KOSS,19496,18.24,500692108
2021-05-20,KOSS,26415,17.21,500692108
2021-05-21,KOSS,70,17.34,500692108
2021-05-24,KOSS,10,17.15,500692108
2021-05-25,KOSS,354,16.91,500692108
2021-05-26,KOSS,16375,20.78,500692108
2021-05-27,KOSS,69538,20.68,500692108
2021-05-28,KOSS,44676,22.82,500692108
2021-06-01,KOSS,1380,23.07,500692108
2021-06-02,KOSS,25852,24.15,500692108
2021-06-03,KOSS,13628,40.72,500692108
2021-06-04,KOSS,59453,30.83,500692108
2021-06-07,KOSS,29942,26.95,500692108
2021-06-08,KOSS,23334,27.6,500692108
2021-06-09,KOSS,7605,28.33,500692108
2021-06-10,KOSS,22984,26.32,500692108
2021-06-11,KOSS,9896,24.62,500692108
2021-06-14,KOSS,8349,25.29,500692108
2021-06-15,KOSS,10743,25.28,500692108
2021-06-16,KOSS,83753,24.41,500692108
2021-06-17,KOSS,13661,23.2,500692108
2021-06-18,KOSS,3879,23.9,500692108
2021-06-21,KOSS,7437,22.82,500692108
2021-06-22,KOSS,5182,22.75,500692108
2021-06-23,KOSS,538,24.0,500692108
2021-06-24,KOSS,47911,24.78,500692108
2021-06-25,KOSS,61321,23.49,500692108
2021-06-28,KOSS,19582,24.68,500692108
2021-06-29,KOSS,443,24.29,500692108
2021-06-30,KOSS,11194,23.29,500692108
2021-07-01,KOSS,9033,23.22,500692108
2021-07-02,KOSS,752,21.9,500692108
2021-07-06,KOSS,7326,21.19,500692108
2021-07-07,KOSS,5524,20.72,500692108
2021-07-09,KOSS,9881,21.22,500692108
2021-07-12,KOSS,11429,20.53,500692108
2021-07-13,KOSS,10399,20.49,500692108
2021-07-14,KOSS,11026,19.75,500692108
2021-07-15,KOSS,9368,19.19,500692108
2021-07-16,KOSS,4842,19.27,500692108
2021-07-19,KOSS,456,18.16,500692108
2021-07-20,KOSS,544,18.51,500692108
2021-07-21,KOSS,721,19.39,500692108
2021-07-22,KOSS,251,19.17,500692108
2021-07-23,KOSS,97,18.99,500692108
2021-07-27,KOSS,3842,19.12,500692108
2021-07-28,KOSS,9,18.33,500692108
2021-07-30,KOSS,90,18.83,500692108
2021-08-04,KOSS,367,17.99,500692108
2021-08-09,KOSS,6654,16.99,500692108
2021-08-10,KOSS,8121,17.2,500692108
2021-08-12,KOSS,9698,18.64,500692108
2021-08-13,KOSS,3462,18.7,500692108
2021-08-16,KOSS,1,18.65,500692108
2021-08-17,KOSS,5877,18.11,500692108
2021-08-24,KOSS,16305,18.58,500692108
2021-08-25,KOSS,11439,19.4,500692108
2021-08-27,KOSS,2309,17.74,500692108
2021-08-31,KOSS,193,18.01,500692108
2021-09-01,KOSS,1081,18.35,500692108
2021-09-02,KOSS,1437,18.18,500692108
2021-09-03,KOSS,4856,18.62,500692108
2021-09-07,KOSS,1049,18.54,500692108
2021-09-08,KOSS,1882,19.27,500692108
2021-09-09,KOSS,9798,18.93,500692108
2021-09-10,KOSS,3371,19.02,500692108
2021-09-13,KOSS,5586,18.82,500692108
2021-09-14,KOSS,1058,18.76,500692108
2021-09-15,KOSS,16815,17.84,500692108
2021-09-16,KOSS,9216,17.62,500692108
2021-09-20,KOSS,2158,17.72,500692108
2021-09-21,KOSS,6118,16.95,500692108
2021-09-22,KOSS,14082,17.02,500692108
2021-09-23,KOSS,354,17.11,500692108
2021-09-24,KOSS,3279,17.09,500692108
2021-09-27,KOSS,90,16.88,500692108
2021-09-29,KOSS,4438,16.72,500692108
2021-09-30,KOSS,61,16.05,500692108
2021-10-01,KOSS,11848,16.35,500692108
2021-10-04,KOSS,18151,16.48,500692108
2021-10-05,KOSS,12407,16.1,500692108
2021-10-06,KOSS,6311,16.03,500692108
2021-10-08,KOSS,1452,15.7,500692108
2021-10-12,KOSS,109,15.35,500692108
2021-10-13,KOSS,449,19.18,500692108
2021-10-14,KOSS,3625,18.65,500692108
2021-10-15,KOSS,10866,18.1,500692108
2021-10-18,KOSS,3002,17.37,500692108
2021-10-19,KOSS,928,17.63,500692108
2021-10-20,KOSS,524,17.53,500692108
2021-10-21,KOSS,2012,17.5,500692108
2021-10-26,KOSS,556,16.88,500692108
2021-11-04,KOSS,14010,16.45,500692108
2021-11-17,KOSS,8337,15.51,500692108
2021-11-18,KOSS,120,15.39,500692108
2021-11-19,KOSS,306,14.86,500692108
2021-11-26,KOSS,110,14.62,500692108
2021-11-29,KOSS,3895,14.45,500692108
2021-12-03,KOSS,1497,13.35,500692108
2021-12-09,KOSS,1658,13.6,500692108
2021-12-10,KOSS,4986,12.78,500692108
2021-12-13,KOSS,3509,13.12,500692108
2021-12-14,KOSS,7,12.51,500692108
2021-12-15,KOSS,1442,12.37,500692108
2021-12-21,KOSS,713,12.33,500692108
2021-12-30,KOSS,5,11.08,500692108
2021-12-31,KOSS,328,11.2,500692108
2022-01-03,KOSS,1962,10.68,500692108
2022-01-04,KOSS,5504,11.84,500692108
2022-01-07,KOSS,220,10.5,500692108
2022-01-10,KOSS,1605,10.62,500692108
2022-01-28,KOSS,13325,7.95,500692108
2022-01-31,KOSS,4645,7.86,500692108
2022-02-03,KOSS,4479,8.34,500692108
2022-02-08,KOSS,570,8.37,500692108
2022-02-10,KOSS,4046,9.03,500692108
2022-02-11,KOSS,16796,8.88,500692108
2022-02-14,KOSS,97,8.8,500692108
2022-02-15,KOSS,688,8.62,500692108
2022-02-24,KOSS,219,7.53,500692108
2022-02-25,KOSS,3241,7.4,500692108
2022-03-01,KOSS,1284,7.65,500692108
2022-03-08,KOSS,38,6.86,500692108
2022-03-14,KOSS,58,6.76,500692108
2022-03-15,KOSS,310,6.13,500692108
2022-03-22,KOSS,1866,7.43,500692108
2022-03-23,KOSS,14,9.62,500692108
2022-03-24,KOSS,9142,10.0,500692108
2022-03-25,KOSS,38605,9.09,500692108
2022-03-28,KOSS,8783,8.25,500692108
2022-03-30,KOSS,2719,9.47,500692108
2022-03-31,KOSS,62738,9.35,500692108
2022-04-01,KOSS,1422,9.16,500692108
2022-04-04,KOSS,7106,8.42,500692108
2022-04-05,KOSS,57,8.53,500692108
2022-04-07,KOSS,12435,7.92,500692108
2022-04-12,KOSS,2005,7.58,500692108
2022-04-13,KOSS,1717,7.27,500692108
2022-04-14,KOSS,2177,7.53,500692108
2022-04-19,KOSS,1665,7.16,500692108
2022-04-21,KOSS,756,7.43,500692108
2022-04-26,KOSS,573,7.21,500692108
2022-05-02,KOSS,308,6.53,500692108
2022-05-04,KOSS,5842,6.65,500692108
2022-05-05,KOSS,6352,6.87,500692108
2022-05-12,KOSS,2840,5.27,500692108
2022-05-13,KOSS,1020,5.57,500692108
2022-05-16,KOSS,21101,6.01,500692108
2022-05-17,KOSS,17003,5.8,500692108
2022-05-18,KOSS,2475,6.3,500692108
2022-05-19,KOSS,933,6.0,500692108
2022-05-20,KOSS,895,6.31,500692108
2022-05-25,KOSS,1129,6.13,500692108
2022-05-27,KOSS,294,6.53,500692108
2022-05-31,KOSS,11637,7.05,500692108
2022-06-01,KOSS,1089,6.96,500692108
2022-06-02,KOSS,1509,7.19,500692108
2022-06-06,KOSS,613,7.84,500692108
2022-06-07,KOSS,1904,7.37,500692108
2022-06-10,KOSS,3887,7.25,500692108
2022-06-14,KOSS,5544,6.55,500692108
2022-06-16,KOSS,2499,7.13,500692108
2022-06-17,KOSS,13422,6.52,500692108
2022-06-22,KOSS,51,7.09,500692108
2022-06-23,KOSS,115,7.27,500692108
2022-06-24,KOSS,220,7.25,500692108
2022-06-27,KOSS,32,7.45,500692108
2022-06-29,KOSS,637,7.2,500692108
2022-06-30,KOSS,962,6.85,500692108
2022-07-05,KOSS,109,6.7,500692108
2022-07-08,KOSS,1402,7.09,500692108
2022-07-11,KOSS,172,7.49,500692108
2022-07-12,KOSS,801,7.21,500692108
2022-07-14,KOSS,158,7.33,500692108
2022-07-15,KOSS,41,7.33,500692108
2022-07-18,KOSS,51,7.16,500692108
2022-07-21,KOSS,890,7.68,500692108
2022-07-22,KOSS,100,7.92,500692108
2022-07-25,KOSS,109,7.71,500692108
2022-07-26,KOSS,151,11.2,500692108
2022-07-27,KOSS,5109,8.31,500692108
2022-07-28,KOSS,321,7.92,500692108
2022-08-01,KOSS,2925,7.75,500692108
2022-08-04,KOSS,12574,8.59,500692108
2022-08-08,KOSS,4048,8.68,500692108
2022-08-09,KOSS,585,9.34,500692108
2022-08-15,KOSS,4743,8.95,500692108
2022-08-17,KOSS,1877,10.15,500692108
2022-08-18,KOSS,489,10.04,500692108
2022-08-19,KOSS,4277,9.81,500692108
2022-08-22,KOSS,13621,8.91,500692108
2022-08-23,KOSS,14873,8.26,500692108
2022-09-01,KOSS,11,7.83,500692108
2022-09-21,KOSS,305,6.62,500692108
2022-09-23,KOSS,48,6.22,500692108
2022-09-26,KOSS,2403,5.99,500692108
2022-09-30,KOSS,684,6.39,500692108
2022-10-04,KOSS,125,6.52,500692108
2022-10-05,KOSS,2,6.66,500692108
2022-10-12,KOSS,53,6.12,500692108
2022-10-14,KOSS,286,6.29,500692108
2022-10-17,KOSS,696,6.23,500692108
2022-10-18,KOSS,736,6.39,500692108
2022-10-19,KOSS,318,6.41,500692108
2022-10-20,KOSS,1897,6.54,500692108
2022-10-21,KOSS,419,6.6,500692108
2022-10-25,KOSS,2616,6.61,500692108
2022-10-26,KOSS,2269,6.76,500692108
2022-10-27,KOSS,1360,6.68,500692108
2022-10-28,KOSS,120,6.63,500692108
2022-10-31,KOSS,858,6.79,500692108
2022-11-01,KOSS,2163,6.7,500692108
2022-11-02,KOSS,330,6.62,500692108
2022-11-04,KOSS,915,6.24,500692108
2022-11-07,KOSS,844,6.34,500692108
2022-11-10,KOSS,49,5.82,500692108
2022-11-14,KOSS,302,6.45,500692108
2022-11-15,KOSS,363,6.33,500692108
2022-11-16,KOSS,1926,6.33,500692108
2022-11-22,KOSS,113,6.17,500692108
2022-12-14,KOSS,1480,5.83,500692108
2022-12-20,KOSS,147,5.26,500692108
2023-01-03,KOSS,1639,4.88,500692108
2023-01-09,KOSS,443,5.27,500692108
2023-01-10,KOSS,327,5.46,500692108
2023-01-17,KOSS,2153,5.96,500692108
