date,symbol,quantity,price,cusip
2021-07-02,META,313976,14.89,
2021-07-06,META,168165,15.00,
2021-07-07,META,139961,15.01,
2021-07-08,META,78622,14.89,
2021-07-09,META,59837,14.74,
2021-07-13,META,32024,14.94,
2021-07-15,META,46457,14.76,
2021-07-16,META,62167,14.54,
2021-07-19,META,99,14.38,
2021-07-20,META,195,14.31,
2021-07-23,META,338,14.71,
2021-07-27,META,2,14.63,
2021-07-29,META,16856,14.62,
2021-07-30,META,539,14.72,
2021-08-02,META,2209,14.62,
2021-08-03,META,46,14.64,
2021-08-04,META,8443,14.57,
2021-08-05,META,168,14.72,
2021-08-06,META,6848,14.73,
2021-08-09,META,70900,14.65,
2021-08-10,META,156957,14.81,
2021-08-11,META,244387,14.67,
2021-08-12,META,270,14.70,
2021-08-13,META,27279,14.75,
2021-08-16,META,82344,14.74,
2021-08-17,META,1733,14.55,
2021-08-18,META,13202,14.31,
2021-08-19,META,98050,14.27,
2021-08-20,META,3378,14.23,
2021-08-23,META,8705,14.45,
2021-08-24,META,10854,14.75,
2021-08-25,META,17412,14.91,
2021-08-26,META,15692,15.02,
2021-08-27,META,159,14.81,
2021-08-31,META,486,15.03,
2021-09-01,META,59659,15.11,
2021-09-02,META,7893,15.24,
2021-09-03,META,149140,15.23,
2021-09-07,META,68693,15.35,
2021-09-08,META,4746,15.41,
2021-09-09,META,5451,15.21,
2021-09-10,META,44579,15.18,
2021-09-13,META,53851,15.12,
2021-09-14,META,7010,15.03,
2021-09-15,META,880,14.99,
2021-09-16,META,6103,15.01,
2021-09-17,META,13516,15.03,
2021-09-20,META,12091,14.93,
2021-09-21,META,17709,14.43,
2021-09-22,META,29445,14.56,
2021-09-23,META,39014,14.73,
2021-09-24,META,163,14.93,
2021-09-27,META,4704,14.91,
2021-09-30,META,48974,14.16,
2021-10-01,META,80484,14.16,
2021-10-06,META,14214,14.04,
2021-10-07,META,15305,14.10,
2021-10-08,META,14236,14.39,
2021-10-12,META,12710,14.23,
2021-10-13,META,14453,14.23,
2021-10-15,META,30200,14.64,
2021-10-18,META,2916,14.78,
2021-10-19,META,6619,14.92,
