date,quantity
2009-07-01,2839
2009-07-02,3304
2009-07-06,4319
2009-07-07,1271
2009-07-08,115778
2009-07-09,4030
2009-07-10,4606
2009-07-13,5273
2009-07-14,1407
2009-07-15,538
2009-07-16,66
2009-07-17,5675
2009-07-20,375
2009-07-21,292615
2009-07-22,156777
2009-07-23,4866
2009-07-24,2000
2009-07-27,100
2009-07-28,27697
2009-07-29,24000
2009-07-31,1001
2009-08-03,50945
2009-08-05,1472
2009-08-06,6409
2009-08-07,1277
2009-08-10,4880
2009-08-11,100
2009-08-12,585
2009-08-13,173804
2009-08-14,73752
2009-08-17,1600
2009-08-18,5524
2009-08-20,221
2009-08-21,10329
2009-08-24,216
2009-08-25,1291
2009-08-26,3563
2009-08-27,11829
2009-08-28,702
2009-08-31,159
2009-09-01,10165
2009-09-02,5982
2009-09-03,4816
2009-09-04,9829
2009-09-08,5138
2009-09-09,8550
2009-09-10,34663
2009-09-11,34301
2009-09-14,385
2009-09-15,130760
2009-09-16,167142
2009-09-17,8645
2009-09-18,78866
2009-09-21,79545
2009-09-22,11258
2009-09-23,16685
2009-09-24,1892
2009-09-25,42511
2009-09-28,2119
2009-09-29,83398
2009-09-30,1685
2009-10-01,1688
2009-10-02,201
2009-10-05,429
2009-10-06,176184
2009-10-07,861
2009-10-09,5229
2009-10-13,13369
2009-10-14,14060
2009-10-15,4208
2009-10-16,8449
2009-10-19,5810
2009-10-20,17971
2009-10-21,7626
2009-10-22,1647
2009-10-23,8
2009-10-26,8062
2009-10-27,34
2009-10-28,144001
2009-10-29,123471
2009-11-02,29686
2009-11-03,5988
2009-11-04,1
2009-11-05,4591
2009-11-06,634
2009-11-09,7351
2009-11-10,8776
2009-11-12,13702
2009-11-13,26611
2009-11-16,3444
2009-11-17,181849
2009-11-18,299729
2009-11-19,684308
2009-11-20,604022
2009-11-23,15560
2009-11-24,6229
2009-11-25,1176
2009-11-27,5637
2009-11-30,1936
2009-12-01,53593
2009-12-02,7244
2009-12-03,6848
2009-12-04,1162
2009-12-07,1903
2009-12-09,2
2009-12-11,7029
2009-12-14,4794
2009-12-15,9930
2009-12-16,1451
2009-12-17,3656
2009-12-18,3057
2009-12-21,41564
2009-12-22,9
2009-12-23,2347
2009-12-24,332935
2009-12-28,205
2009-12-29,330194
2009-12-30,2616
2009-12-31,47008
2010-01-04,6445
2010-01-05,35
2010-01-07,2831
2010-01-08,1337
2010-01-11,5221
2010-01-12,14960
2010-01-13,3227
2010-01-14,421991
2010-01-15,6898
2010-01-19,4751
2010-01-20,775
2010-01-21,255253
2010-01-22,51
2010-01-25,3956
2010-01-26,40
2010-01-27,40
2010-01-29,3504
2010-02-01,41
2010-02-02,21675
2010-02-03,98624
2010-02-04,24185
2010-02-08,7228
2010-02-09,3818
2010-02-10,1505
2010-02-11,6304
2010-02-12,180
2010-02-16,6908
2010-02-17,5708
2010-02-18,88570
2010-02-19,130553
2010-02-22,793069
2010-02-23,392684
2010-02-24,700127
2010-02-25,1862
2010-02-26,8629
2010-03-01,1400
2010-03-02,25264
2010-03-03,2301
2010-03-04,3964
2010-03-05,3293
2010-03-08,497
2010-03-09,432
2010-03-11,31619
2010-03-12,100
2010-03-15,772
2010-03-18,4272
2010-03-19,2412
2010-03-22,6507
2010-03-23,344
2010-03-24,100
2010-03-26,4751
2010-03-29,52
2010-03-31,223
2010-04-01,38803
2010-04-05,5472
2010-04-06,506
2010-04-07,3995
2010-04-08,1394
2010-04-09,2000
2010-04-12,544
