date,quantity,price
2020-01-02,83645,1.56
2020-01-03,54607,1.67
2020-01-06,83636,1.71
2020-01-07,433,1.61
2020-01-08,2344,1.64
2020-01-09,13275,1.68
2020-01-10,53969,1.88
2020-01-13,28377,1.56
2020-01-14,214,1.27
2020-01-15,873,1.27
2020-01-16,5524,1.21
2020-01-17,19247,1.2
2020-01-21,29877,1.22
2020-01-22,41994,1.16
2020-01-23,2782,1.09
2020-01-24,15950,1.12
2020-01-27,1035,1.11
2020-01-28,5077,1.0
2020-01-29,9324,0.87
2020-01-30,30261,0.8
2020-05-01,600,0.72
2020-05-04,45940,0.65
2020-05-05,4955,0.65
2020-05-06,4355,0.69
2020-05-07,67935,0.62
2020-05-08,50451,0.65
2020-05-12,750,0.63
2020-05-13,849,0.84
2020-05-14,3025,0.71
2020-05-15,41004,0.65
2020-05-18,14961,0.64
2020-05-19,38,0.66
2020-05-22,579,0.67
2020-05-26,8777,0.64
2020-05-29,189,0.68
2020-06-01,750,0.63
2020-06-08,699,0.65
2020-06-09,58623,0.68
2020-06-11,108919,1.02
2020-06-12,81786,1.19
2020-06-15,51950,1.01
2020-06-16,11756,0.94
2020-06-17,8753,0.99
2020-06-18,13356,0.83
2020-06-19,77471,0.81
2020-06-22,28629,0.74
2020-06-23,31809,0.81
2020-06-24,470,0.75
2020-06-25,19172,0.74
2020-06-26,81809,0.72
2020-06-29,47235,0.63
2020-07-07,22740,0.64
2020-07-09,1500,0.63
2020-07-10,46468,0.59
2020-07-17,2785,0.57
2020-07-20,29247,0.56
2020-07-23,40431,0.57
2020-07-24,84716,0.56
2020-07-29,56382,0.57
2020-08-27,30681,0.28
2020-08-31,694259,0.27
2020-09-03,503,0.26
2020-09-08,248676,0.22
2020-09-11,121364,0.19
2020-09-18,36221,0.15
2020-09-21,37347,0.14
2020-09-22,266139,0.13
2020-09-23,201396,0.13
2020-09-25,1247,0.13
2020-09-28,3478,0.12
2020-10-02,116,0.14
2020-10-05,3735877,0.12
2020-10-06,16806,0.11
2020-10-07,65970,0.12
2020-10-08,48611,0.13
2020-10-09,56968,0.12
2020-10-13,3469,0.13
2020-10-14,17504,0.12
2020-10-15,246880,0.11
2020-10-20,1605,0.09
2020-10-28,31284,0.09
2020-10-29,720406,0.08
2020-10-30,917656,0.08
2020-11-06,2342,0.08
2020-11-09,3379,0.07
2020-11-16,31484,0.07
2020-11-17,16193,0.07
2020-11-20,3617,0.29
2020-11-23,5135,0.17
2020-11-25,38618,0.2
2020-11-27,798363,0.19
2020-11-30,576061,0.21
2020-12-01,136879,0.2
2020-12-02,447314,0.2
2020-12-07,75491,0.19
2020-12-08,34790,0.19
2020-12-09,155211,0.19
2020-12-10,113248,0.17
2020-12-11,114,0.17
2020-12-14,44567,0.16
2020-12-15,57814,0.15
2020-12-16,516702,0.15
2020-12-17,882790,0.16
2020-12-18,115426,0.21
2020-12-21,177431,0.18
2020-12-23,24801,0.18
2020-12-28,197091,0.21
2020-12-29,12469,0.21
2020-12-31,968,0.2
2021-01-05,876698,0.22
2021-01-06,14318,0.41
2021-01-07,1403175,0.31
2021-01-08,10000,0.34
2021-01-11,2052,0.34
2021-01-14,588326,0.47
2021-01-15,575123,0.47
2021-01-19,727699,0.45
2021-01-20,1924985,0.46
2021-01-21,2064917,0.44
2021-01-22,672665,0.45
2021-01-26,12225992,0.41
2021-01-27,883947,0.39
2021-01-28,76642,1.38
2021-01-29,713372,1.39
2021-02-01,1639893,1.65
2021-02-02,1021352,1.42
2021-02-03,902223,0.91
2021-02-05,137746,1.17
2021-02-09,93653,1.14
2021-02-10,26200,1.14
2021-02-16,41373,1.44
2021-02-19,2186576,1.21
2021-02-22,1346,1.22
2021-02-23,516354,1.12
2021-02-24,357624,1.03
2021-02-25,23801,1.35
2021-02-26,627418,1.14
2021-03-01,128065,1.04
2021-03-02,84443,1.08
2021-03-04,910910,0.99
2021-03-05,63276,0.88
2021-03-08,220466,0.86
2021-03-09,541161,0.98
2021-03-10,51076,1.02
2021-03-12,590488,1.03
2021-03-15,592415,1.0
2021-03-17,386132,0.94
2021-03-18,312620,0.94
2021-03-22,365646,0.92
2021-03-23,520019,0.85
2021-03-24,11699226,0.78
2021-03-25,11502037,0.77
2021-03-26,27096,0.72
2021-03-29,37662,0.76
2021-03-31,31610,0.75
2021-04-01,1800,0.72
2021-04-05,2678,0.72
2021-04-06,14881,0.7
2021-04-07,23327,0.66
2021-04-08,25992,0.61
2021-04-13,1823635,0.58
2021-04-15,461366,0.56
2021-04-16,53501,0.52
2021-04-22,287393,0.55
2021-04-26,261359,0.57
2021-04-30,364899,0.63
2021-05-03,27808061,0.71
2021-05-04,1616743,0.65
2021-05-06,55920,0.57
2021-05-07,819650,0.53
2021-05-10,376167,0.54
2021-05-11,283409,0.52
2021-05-12,63698,0.54
2021-05-13,102345,0.5
2021-05-14,16800,0.6
2021-05-17,1111898,0.57
2021-05-18,1364,0.57
2021-05-19,1264524,0.6
2021-05-20,257734,0.55
2021-05-21,35094,0.54
2021-05-25,535345,0.51
2021-05-27,47670,0.56
2021-05-28,1388705,0.57
2021-06-01,606541,0.62
2021-06-04,31034569,0.82
2021-06-07,5047793,0.7
2021-06-09,769925,0.78
2021-06-10,442440,0.77
2021-06-11,134559,0.71
2021-06-14,317503,0.75
2021-06-15,148781,0.74
2021-06-16,57724,0.72
2021-06-17,5398,0.7
2021-06-18,51978,0.67
2021-06-21,51093,0.67
2021-06-22,50348,0.64
2021-06-24,80625,0.67
2021-06-25,55881,0.67
2021-06-28,62,0.69
2021-06-29,421635,0.68
2021-06-30,887750,0.65
2021-07-02,3875,0.63
2021-07-06,17281,0.62
2021-07-07,18323,0.61
2021-07-09,147202,0.57
2021-07-13,73952,0.58
2021-07-14,32610,0.56
2021-07-15,26745,0.53
2021-07-16,22093,0.53
2021-07-20,148809,0.5
2021-07-21,87468,0.6
2021-07-22,973652,0.58
2021-07-23,138231,0.56
2021-07-26,45410,0.54
2021-07-27,18941,0.54
2021-07-28,9343,0.52
2021-07-30,234524,0.53
2021-08-03,81985,0.55
2021-08-04,40000,0.55
2021-08-05,83763,0.53
2021-08-06,5564,0.54
2021-08-09,25937,0.54
2021-08-10,429,0.57
2021-08-11,70612,0.54
2021-08-12,17118,0.54
2021-08-13,700,0.54
2021-08-16,328,0.52
2021-08-17,17105,0.51
2021-08-18,484215,0.5
2021-08-19,76432,0.51
2021-08-20,57892,0.5
2021-08-23,286724,0.55
2021-08-24,682188,0.55
2021-08-25,262974,0.63
2021-08-26,16233,0.69
2021-08-27,240802,0.75
2021-08-30,101423,0.67
2021-08-31,39973,0.73
2021-09-01,56102,0.7
2021-09-02,66226,0.67
2021-09-03,2307022,0.67
2021-09-07,695,0.62
2021-09-10,83597,0.62
2021-09-13,4490,0.61
2021-09-15,9752,0.59
2021-09-16,86056,0.59
2021-09-17,120384,0.59
2021-09-20,60992,0.59
2021-09-21,56578,0.55
2021-09-22,19182,0.56
2021-09-23,9229,0.6
2021-09-24,17110,0.59
2021-09-27,373059,0.68
2021-09-29,24206,0.8
2021-09-30,30587,0.72
2021-10-04,183593,0.68
2021-10-05,466933,0.66
2021-10-06,198244,0.66
2021-10-07,420958,0.62
2021-10-08,9479,0.65
2021-10-12,4587,0.67
2021-10-13,1848733,0.66
2021-10-14,54863,0.68
2021-10-18,606656,0.67
2021-10-19,387743,0.67
2021-10-20,34868,0.67
2021-10-21,777917,0.66
2021-10-22,312540,0.65
2021-10-25,26766,0.6
2021-10-26,51918,0.6
2021-10-27,47133,0.61
2021-10-28,277849,0.62
2021-10-29,1264443,0.61
2021-11-01,314738,0.6
2021-11-02,138275,0.64
2021-11-03,123923,0.65
2021-11-04,141227,0.7
2021-11-05,613784,0.69
2021-11-08,169463,0.67
2021-11-10,58013,0.75
2021-11-16,11507,0.65
2021-11-17,83062,0.74
2021-11-18,606733,0.69
2021-11-19,1618545,0.66
2021-11-22,585572,0.68
2021-11-23,635756,0.69
2021-11-24,2101869,0.65
2021-11-26,3678466,0.63
2021-11-29,737122,0.65
2021-11-30,46359,0.64
2021-12-01,903904,0.61
2021-12-02,1927433,0.57
2021-12-03,1039641,0.58
2021-12-06,160128,0.55
2021-12-07,241989,0.54
2021-12-08,140566,0.55
2021-12-09,1137976,0.55
2021-12-13,293030,0.53
2021-12-14,38297,0.54
2021-12-15,26080,0.53
2021-12-16,87334,0.52
2021-12-17,5877,0.5
2021-12-20,93624,0.48
2021-12-21,500000,0.5
