date,symbol,quantity,price,cusip
2020-12-01,NOK,105549,4.03,
2020-12-02,NOK,36991,4.06,
2020-12-03,NOK,82130,4.06,
2020-12-04,NOK,301166,4.02,
2020-12-07,NOK,387373,4.03,
2020-12-08,NOK,373790,4.06,
2020-12-09,NOK,75132,4.22,
2020-12-10,NOK,194820,4.19,
2020-12-11,NOK,419839,4.20,
2020-12-14,NOK,240161,4.06,
2020-12-15,NOK,609570,4.00,
2020-12-16,NOK,1464022,4.10,
2020-12-17,NOK,1110,3.99,
2020-12-21,NOK,63883,4.00,
2020-12-22,NOK,57648,3.90,
2020-12-24,NOK,163505,3.88,
2020-12-28,NOK,34961,3.89,
2020-12-30,NOK,338628,3.93,
2020-12-31,NOK,215692,3.89,
2021-01-04,NOK,90467,3.91,
2021-01-05,NOK,60457,3.89,
2021-01-06,NOK,2069355,4.04,
2021-01-07,NOK,123465,4.04,
2021-01-08,NOK,82393,3.99,
2021-01-12,NOK,77887,3.87,
2021-01-13,NOK,753729,4.01,
2021-01-14,NOK,137856,3.98,
2021-01-15,NOK,140756,4.09,
2021-01-19,NOK,5876192,4.08,
2021-01-20,NOK,3744102,4.13,
2021-01-21,NOK,669116,4.20,
2021-01-22,NOK,8812,4.22,
2021-01-25,NOK,265402,4.20,
2021-01-26,NOK,255305,4.85,
2021-01-27,NOK,5295137,4.73,
2021-01-28,NOK,1434473,6.55,
2021-01-29,NOK,31510319,4.69,
2021-02-01,NOK,15058422,4.56,
2021-02-02,NOK,223584,4.89,
2021-02-03,NOK,792488,4.53,
2021-02-04,NOK,791260,4.70,
2021-02-05,NOK,553791,4.37,
2021-02-09,NOK,36902,4.26,
2021-02-10,NOK,19259,4.19,
2021-02-11,NOK,300,4.17,
2021-02-12,NOK,96541,4.10,
2021-02-16,NOK,3961,4.17,
2021-02-17,NOK,10700,4.13,
2021-02-18,NOK,10700,4.11,
2021-02-19,NOK,10700,4.12,
2021-02-23,NOK,15,3.96,
2021-02-24,NOK,64538,3.95,
2021-02-25,NOK,182853,4.04,
2021-03-01,NOK,243573,3.92,
2021-03-02,NOK,8229,4.04,
2021-03-03,NOK,23904,4.04,
2021-03-04,NOK,48270,3.98,
2021-03-05,NOK,206719,3.82,
2021-03-09,NOK,53537,3.87,
2021-03-10,NOK,226602,3.96,
2021-03-11,NOK,56795,3.96,
2021-03-15,NOK,475010,4.22,
2021-03-16,NOK,317049,4.30,
2021-03-18,NOK,100000,4.28,
2021-03-19,NOK,127390,3.91,
2021-03-26,NOK,1433,3.97,
2021-04-01,NOK,471,3.96,
2021-04-06,NOK,40589,4.05,
2021-04-09,NOK,10,4.06,
2021-04-13,NOK,407621,4.07,
2021-04-16,NOK,60890,4.13,
2021-04-22,NOK,17691,4.21,
2021-04-23,NOK,1101,4.16,
2021-04-26,NOK,6560,4.20,
2021-04-30,NOK,200,4.67,
2021-05-03,NOK,238983,4.68,
2021-05-04,NOK,38389,4.91,
2021-05-06,NOK,156,4.80,
2021-05-07,NOK,100841,4.87,
2021-05-10,NOK,418,5.10,
2021-05-11,NOK,32656,4.98,
2021-05-17,NOK,11796,4.90,
2021-05-18,NOK,60148,4.91,
2021-05-19,NOK,4455,4.98,
2021-05-20,NOK,1948247,4.94,
2021-05-21,NOK,306,5.15,
2021-05-24,NOK,99944,5.05,
2021-05-25,NOK,304223,5.02,
2021-05-27,NOK,27690,4.95,
2021-05-28,NOK,759,5.07,
2021-06-02,NOK,1003,5.19,
2021-06-03,NOK,40156,5.45,
