date,symbol,quantity,price,cusip
2020-12-02,NVDA,35,535.60,
2020-12-04,NVDA,12926,535.84,
2020-12-07,NVDA,58913,542.33,
2020-12-08,NVDA,3900,544.27,
2020-12-09,NVDA,248,534.00,
2020-12-11,NVDA,230729,518.89,
2020-12-24,NVDA,35,520.37,
2020-12-28,NVDA,1689,519.75,
2020-12-30,NVDA,1794,517.73,
2021-01-04,NVDA,3673,522.20,
2021-01-07,NVDA,555,504.58,
2021-01-08,NVDA,25,533.76,
2021-01-11,NVDA,26951,531.07,
2021-01-13,NVDA,1,539.39,
2021-01-15,NVDA,576,528.01,
2021-01-20,NVDA,463,521.01,
2021-01-22,NVDA,86,554.70,
2021-01-25,NVDA,2518,548.50,
2021-01-26,NVDA,11531,546.13,
2021-01-28,NVDA,443,516.71,
2021-02-01,NVDA,427,519.59,
2021-02-04,NVDA,3303,541.22,
2021-02-09,NVDA,5045,577.55,
2021-02-12,NVDA,10,610.03,
2021-02-16,NVDA,18298,598.45,
2021-02-17,NVDA,3696,613.21,
2021-02-18,NVDA,64,596.24,
2021-02-23,NVDA,6169,574.23,
2021-03-01,NVDA,4811,548.58,
2021-03-05,NVDA,6952,494.81,
2021-03-08,NVDA,7500,498.46,
2021-03-12,NVDA,1980,519.74,
2021-03-16,NVDA,4878,527.65,
2021-03-18,NVDA,11220,533.65,
2021-03-22,NVDA,1771,513.83,
2021-03-23,NVDA,1012,527.45,
2021-03-26,NVDA,58,501.41,
2021-03-29,NVDA,627,513.57,
2021-03-30,NVDA,100,517.93,
2021-03-31,NVDA,5867,514.87,
2021-04-05,NVDA,432,552.47,
2021-04-06,NVDA,2500,559.50,
2021-04-07,NVDA,333,554.46,
2021-04-09,NVDA,100,572.68,
2021-04-12,NVDA,2086,576.00,
2021-04-13,NVDA,6369,608.36,
2021-04-14,NVDA,6526,627.18,
2021-04-19,NVDA,2134,636.50,
2021-04-20,NVDA,11311,614.47,
2021-04-21,NVDA,3664,606.85,
2021-04-23,NVDA,286,594.01,
2021-04-26,NVDA,540,610.61,
2021-04-27,NVDA,3700,619.12,
2021-04-29,NVDA,1339,611.07,
2021-05-03,NVDA,307,600.38,
2021-05-04,NVDA,100,593.47,
2021-05-05,NVDA,598,574.05,
2021-05-06,NVDA,6786,578.34,
2021-05-12,NVDA,2818,572.25,
2021-05-13,NVDA,29,550.34,
2021-05-18,NVDA,600,566.62,
2021-05-19,NVDA,400,560.63,
2021-05-26,NVDA,16321,625.91,
2021-05-27,NVDA,32875,628.00,
2021-05-28,NVDA,2744,619.52,
2021-06-01,NVDA,1084,649.78,
2021-06-02,NVDA,12500,650.58,
2021-06-04,NVDA,371,678.79,
2021-06-08,NVDA,3800,704.76,
2021-06-10,NVDA,240,694.33,
2021-06-15,NVDA,5900,720.75,
2021-06-16,NVDA,974,711.54,
2021-06-17,NVDA,216,712.41,
2021-06-18,NVDA,828,746.29,
2021-06-23,NVDA,6257,755.47,
2021-06-28,NVDA,818,761.24,
2021-06-29,NVDA,375,799.40,
2021-06-30,NVDA,7305,801.07,
2021-07-01,NVDA,1586,800.10,
2021-07-07,NVDA,4299,827.94,
2021-07-08,NVDA,2245,814.87,
2021-07-12,NVDA,1391,802.01,
2021-07-14,NVDA,353,810.00,
2021-07-15,NVDA,48,793.66,
2021-07-20,NVDA,180394,751.19,
2021-07-21,NVDA,142147,744.48,
2021-07-22,NVDA,3798779,194.10,
2021-07-23,NVDA,1092584,195.94,
2021-07-26,NVDA,11990,195.58,
2021-07-27,NVDA,26603,192.94,
2021-07-28,NVDA,89800,192.08,
2021-07-30,NVDA,2708,196.62,
2021-08-10,NVDA,4720,202.95,
2021-08-11,NVDA,58,199.36,
2021-08-16,NVDA,232759,201.88,
2021-08-17,NVDA,727,199.50,
2021-08-20,NVDA,107943,197.98,
2021-08-23,NVDA,143272,208.16,
2021-08-24,NVDA,12800,219.58,
2021-08-25,NVDA,48035,217.93,
2021-08-27,NVDA,33,220.68,
2021-08-30,NVDA,122,226.36,
2021-08-31,NVDA,31500,226.88,
2021-09-01,NVDA,91721,223.85,
2021-09-03,NVDA,333,223.96,
2021-09-08,NVDA,20021,226.62,
2021-09-14,NVDA,154462,221.52,
2021-09-15,NVDA,40131,222.42,
2021-09-16,NVDA,1321,223.41,
2021-09-17,NVDA,1190,222.42,
2021-09-20,NVDA,3275,219.00,
2021-09-21,NVDA,54,211.13,
2021-09-23,NVDA,9360,219.41,
2021-09-24,NVDA,21347,224.82,
2021-09-28,NVDA,8513,216.60,
2021-09-29,NVDA,942,206.99,
2021-09-30,NVDA,2699,205.17,
2021-10-01,NVDA,1538,207.16,
2021-10-04,NVDA,161043,207.42,
2021-10-05,NVDA,319008,197.32,
2021-10-06,NVDA,228035,204.51,
2021-10-07,NVDA,15542,207.00,
2021-10-08,NVDA,903,210.75,
2021-10-12,NVDA,185382,206.95,
2021-10-13,NVDA,703372,206.71,
2021-10-15,NVDA,212300,217.46,
2021-10-20,NVDA,2163,222.90,
2021-10-21,NVDA,611,221.03,
2021-10-25,NVDA,3266,227.26,
2021-10-26,NVDA,8734,231.66,
2021-10-28,NVDA,2245,244.51,
2021-10-29,NVDA,9206,249.41,
2021-11-01,NVDA,1217,255.67,
2021-11-02,NVDA,14660,258.27,
2021-11-03,NVDA,26,264.01,
2021-11-08,NVDA,5545,297.52,
2021-11-09,NVDA,2151,308.04,
2021-11-10,NVDA,29,306.57,
2021-11-12,NVDA,52259,303.90,
2021-11-16,NVDA,2300,300.25,
2021-11-18,NVDA,267612,292.61,
2021-11-19,NVDA,3434,316.75,
