date,symbol,quantity,price,cusip
2020-12-01,PLTR,223651,27.11,
2020-12-02,PLTR,636043,25.67,
2020-12-03,PLTR,167341,22.51,
2020-12-04,PLTR,249573,24.03,
2020-12-07,PLTR,69343,23.85,
2020-12-08,PLTR,55099,28.94,
2020-12-09,PLTR,226164,28.59,
2020-12-10,PLTR,45824,26.63,
2020-12-11,PLTR,686461,27.04,
2020-12-14,PLTR,250740,27.20,
2020-12-15,PLTR,227649,27.24,
2020-12-16,PLTR,543386,26.43,
2020-12-17,PLTR,16572,25.92,
2020-12-18,PLTR,17530,27.23,
2020-12-21,PLTR,890657,25.97,
2020-12-22,PLTR,2638041,28.51,
2020-12-23,PLTR,162212,28.04,
2020-12-24,PLTR,71341,28.69,
2020-12-28,PLTR,114252,27.75,
2020-12-29,PLTR,112547,25.63,
2020-12-30,PLTR,148,24.66,
2020-12-31,PLTR,56668,25.10,
2021-01-04,PLTR,237986,23.55,
2021-01-05,PLTR,673714,23.37,
2021-01-06,PLTR,207055,24.60,
2021-01-07,PLTR,193656,23.54,
2021-01-08,PLTR,218901,25.00,
2021-01-11,PLTR,684687,25.20,
2021-01-12,PLTR,659322,25.93,
2021-01-13,PLTR,852932,26.18,
2021-01-14,PLTR,549219,25.50,
2021-01-15,PLTR,220456,24.92,
2021-01-19,PLTR,399177,25.64,
2021-01-20,PLTR,251410,26.62,
2021-01-21,PLTR,274722,26.34,
2021-01-22,PLTR,589570,25.98,
2021-01-25,PLTR,408593,32.58,
2021-01-26,PLTR,281930,36.23,
2021-01-27,PLTR,185430,35.37,
2021-01-28,PLTR,138338,39.00,
2021-01-29,PLTR,214406,35.66,
2021-02-01,PLTR,10935,35.18,
2021-02-02,PLTR,125027,33.96,
2021-02-03,PLTR,110513,31.02,
2021-02-05,PLTR,141422,32.05,
2021-02-08,PLTR,510525,34.05,
2021-02-09,PLTR,1423772,36.05,
2021-02-10,PLTR,974892,38.17,
2021-02-11,PLTR,561144,35.70,
2021-02-12,PLTR,825158,33.11,
2021-02-16,PLTR,800754,31.91,
2021-02-17,PLTR,3221477,27.84,
2021-02-18,PLTR,8751158,27.08,
2021-02-19,PLTR,20306143,25.17,
2021-02-22,PLTR,7767586,29.00,
2021-02-23,PLTR,2010182,28.00,
2021-02-24,PLTR,6732125,26.75,
2021-02-25,PLTR,220317,26.39,
2021-02-26,PLTR,1800,23.96,
2021-03-02,PLTR,2704493,24.81,
2021-03-03,PLTR,836526,24.48,
2021-03-04,PLTR,1889882,23.59,
2021-03-05,PLTR,332295,24.73,
2021-03-08,PLTR,1989614,23.95,
2021-03-09,PLTR,59725,22.52,
2021-03-10,PLTR,881,24.26,
2021-03-11,PLTR,1241,24.75,
2021-03-12,PLTR,42173,26.73,
2021-03-15,PLTR,22611,26.92,
2021-03-16,PLTR,84904,26.79,
2021-03-17,PLTR,197828,25.61,
2021-03-19,PLTR,2381836,23.98,
2021-03-23,PLTR,35305,24.22,
2021-03-25,PLTR,138565,21.88,
2021-03-26,PLTR,747,22.58,
2021-03-29,PLTR,16169,22.58,
2021-03-31,PLTR,155941,22.04,
2021-04-05,PLTR,110813,23.07,
2021-04-06,PLTR,181805,23.44,
2021-04-08,PLTR,791,22.90,
2021-04-09,PLTR,197419,23.41,
