date,symbol,quantity,price,cusip
2020-12-01,SNDL,17922,0.73,
2020-12-02,SNDL,1031526,0.65,
2020-12-03,SNDL,138237,0.81,
2020-12-04,SNDL,162126,0.77,
2020-12-07,SNDL,81727,0.66,
2020-12-08,SNDL,151375,0.52,
2020-12-09,SNDL,35845,0.51,
2020-12-10,SNDL,5091038,0.49,
2020-12-11,SNDL,3704839,0.47,
2020-12-14,SNDL,15845,0.51,
2020-12-15,SNDL,1342643,0.51,
2020-12-16,SNDL,477981,0.50,
2020-12-17,SNDL,363347,0.48,
2020-12-18,SNDL,607619,0.44,
2020-12-21,SNDL,744391,0.44,
2020-12-22,SNDL,397180,0.51,
2020-12-28,SNDL,4900,0.47,
2020-12-29,SNDL,311433,0.48,
2020-12-30,SNDL,1237557,0.46,
2020-12-31,SNDL,1123152,0.49,
2021-01-04,SNDL,208406,0.47,
2021-01-05,SNDL,157979,0.55,
2021-01-06,SNDL,40778,0.54,
2021-01-07,SNDL,2583,0.61,
2021-01-08,SNDL,38129,0.69,
2021-01-12,SNDL,2619,0.71,
2021-01-13,SNDL,252975,0.67,
2021-01-15,SNDL,531770,0.69,
2021-01-22,SNDL,565900,0.66,
2021-01-26,SNDL,33000,0.60,
2021-01-28,SNDL,557849,0.60,
2021-01-29,SNDL,581771,0.83,
2021-02-02,SNDL,400,1.21,
2021-02-03,SNDL,9101,1.04,
2021-02-04,SNDL,93374959,1.21,
2021-02-05,SNDL,5351,1.15,
2021-02-08,SNDL,466949,1.13,
2021-02-09,SNDL,8800,1.28,
2021-02-11,SNDL,628700,2.95,
2021-02-12,SNDL,1647501,2.38,
2021-02-16,SNDL,6513923,2.08,
2021-02-17,SNDL,23118,2.19,
2021-02-18,SNDL,83000,1.72,
2021-02-19,SNDL,192656,1.45,
2021-02-22,SNDL,114017,1.53,
2021-02-24,SNDL,7596,1.26,
2021-02-25,SNDL,18527835,1.45,
2021-02-26,SNDL,16587086,1.37,
2021-03-01,SNDL,15944869,1.33,
2021-03-02,SNDL,94033,1.35,
2021-03-03,SNDL,150000,1.38,
2021-03-04,SNDL,189659,1.30,
2021-03-05,SNDL,242865,1.16,
2021-03-08,SNDL,150000,1.14,
2021-03-09,SNDL,308819,1.18,
2021-03-10,SNDL,420181,1.39,
2021-03-11,SNDL,2994055,1.31,
2021-03-12,SNDL,1280249,1.42,
2021-03-15,SNDL,3908996,1.42,
2021-03-16,SNDL,3974794,1.62,
2021-03-17,SNDL,165500,1.51,
2021-03-18,SNDL,148500,1.54,
2021-03-19,SNDL,1234662,1.46,
2021-03-22,SNDL,4423436,1.49,
2021-03-23,SNDL,953838,1.30,
2021-03-24,SNDL,6465850,1.21,
2021-03-25,SNDL,2963765,1.13,
2021-03-26,SNDL,21441,1.22,
2021-03-29,SNDL,210487,1.13,
2021-03-30,SNDL,333343,1.12,
2021-03-31,SNDL,10575,1.14,
2021-04-01,SNDL,572211,1.13,
2021-04-05,SNDL,1423931,1.10,
2021-04-06,SNDL,466440,1.07,
2021-04-07,SNDL,745375,1.02,
2021-04-08,SNDL,3500,1.00,
2021-04-09,SNDL,861221,1.01,
2021-04-12,SNDL,950406,1.00,
2021-04-13,SNDL,878636,0.93,
2021-04-14,SNDL,14546,0.98,
2021-04-15,SNDL,279253,0.90,
2021-04-16,SNDL,1151026,0.85,
2021-04-19,SNDL,155734,0.85,
2021-04-20,SNDL,232089,0.94,
2021-04-21,SNDL,1478794,0.84,
2021-04-22,SNDL,2679651,0.87,
2021-04-23,SNDL,91203,0.83,
2021-04-26,SNDL,1969012,0.83,
2021-04-27,SNDL,1708887,0.87,
2021-04-28,SNDL,65908,0.90,
2021-04-29,SNDL,192694,0.94,
2021-05-03,SNDL,858472,0.86,
2021-05-04,SNDL,716311,0.83,
2021-05-05,SNDL,1925094,0.79,
2021-05-06,SNDL,9284,0.78,
2021-05-07,SNDL,1255890,0.71,
2021-05-10,SNDL,544879,0.77,
2021-05-11,SNDL,180108,0.73,
2021-05-12,SNDL,649431,0.74,
2021-05-13,SNDL,412438,0.70,
2021-05-14,SNDL,3467452,0.69,
2021-05-17,SNDL,2515250,0.71,
2021-05-18,SNDL,4333330,0.75,
2021-05-19,SNDL,3235104,0.79,
2021-05-20,SNDL,360150,0.73,
2021-05-21,SNDL,1526901,0.77,
2021-05-24,SNDL,3892376,0.76,
2021-05-25,SNDL,4666100,0.72,
2021-05-27,SNDL,101078,0.86,
2021-05-28,SNDL,545362,0.85,
2021-06-01,SNDL,954982,0.97,
2021-06-02,SNDL,714631,1.00,
2021-06-04,SNDL,7500,1.29,
2021-06-07,SNDL,1148909,1.09,
2021-06-08,SNDL,1135278,1.16,
2021-06-10,SNDL,927291,1.14,
2021-06-11,SNDL,288132,1.03,
2021-06-15,SNDL,176231,1.06,
2021-06-16,SNDL,61712,1.00,
2021-06-17,SNDL,340853,0.99,
2021-06-18,SNDL,260287,0.96,
2021-06-21,SNDL,208814,0.92,
2021-06-22,SNDL,82767,0.91,
2021-06-23,SNDL,39766,0.89,
2021-06-25,SNDL,103948,1.00,
2021-06-28,SNDL,7540,0.97,
2021-06-29,SNDL,135207,0.98,
2021-06-30,SNDL,5000,0.95,
2021-07-01,SNDL,2618142,0.95,
2021-07-02,SNDL,399674,0.92,
2021-07-06,SNDL,769711,0.90,
2021-07-09,SNDL,411735,0.89,
2021-07-13,SNDL,290487,0.86,
2021-07-14,SNDL,54537,0.88,
2021-07-15,SNDL,1462768,0.84,
2021-07-16,SNDL,1839170,0.82,
2021-07-19,SNDL,133469,0.81,
2021-07-20,SNDL,3661132,0.81,
2021-07-21,SNDL,544824,0.84,
2021-07-22,SNDL,1424139,0.87,
2021-07-23,SNDL,1914669,0.83,
2021-07-26,SNDL,860016,0.80,
2021-07-27,SNDL,1386649,0.82,
2021-07-28,SNDL,977947,0.79,
2021-07-29,SNDL,1076201,0.85,
2021-07-30,SNDL,2039363,0.82,
2021-08-02,SNDL,373405,0.82,
2021-08-03,SNDL,392638,0.81,
2021-08-04,SNDL,178602,0.82,
2021-08-05,SNDL,88199,0.78,
2021-08-06,SNDL,849355,0.82,
2021-08-09,SNDL,409195,0.80,
2021-08-10,SNDL,97898,0.83,
2021-08-11,SNDL,1399,0.82,
2021-08-12,SNDL,27027,0.81,
2021-08-13,SNDL,544155,0.83,
2021-08-16,SNDL,468804,0.75,
2021-08-17,SNDL,1780723,0.73,
2021-08-18,SNDL,1085370,0.71,
2021-08-19,SNDL,56469,0.72,
2021-08-24,SNDL,73324,0.72,
2021-08-26,SNDL,12551,0.78,
2021-08-27,SNDL,31014,0.74,
2021-08-30,SNDL,441618,0.76,
2021-08-31,SNDL,163512,0.75,
2021-09-01,SNDL,79401,0.78,
2021-09-02,SNDL,494254,0.77,
2021-09-03,SNDL,615598,0.80,
2021-09-07,SNDL,584503,0.78,
2021-09-08,SNDL,1148586,0.75,
2021-09-09,SNDL,3584,0.73,
2021-09-10,SNDL,221906,0.73,
2021-09-13,SNDL,67993,0.72,
2021-09-14,SNDL,61353,0.74,
2021-09-15,SNDL,1100619,0.71,
2021-09-16,SNDL,96664,0.73,
2021-09-17,SNDL,188902,0.72,
2021-09-20,SNDL,40245,0.73,
2021-09-21,SNDL,1359077,0.68,
2021-09-22,SNDL,7623742,0.69,
2021-09-23,SNDL,1478854,0.70,
2021-09-24,SNDL,644316,0.70,
2021-09-28,SNDL,2613264,0.73,
2021-09-29,SNDL,532081,0.69,
2021-09-30,SNDL,276443,0.68,
2021-10-01,SNDL,42384,0.68,
2021-10-04,SNDL,94881,0.67,
2021-10-05,SNDL,65594,0.63,
2021-10-06,SNDL,2758886,0.64,
2021-10-07,SNDL,710230,0.63,
2021-10-08,SNDL,988026,0.65,
2021-10-12,SNDL,1039929,0.68,
2021-10-13,SNDL,951025,0.66,
2021-10-14,SNDL,798153,0.66,
2021-10-15,SNDL,1137319,0.66,
2021-10-18,SNDL,1540738,0.66,
2021-10-19,SNDL,1563812,0.65,
2021-10-20,SNDL,915336,0.69,
2021-10-21,SNDL,557269,0.68,
2021-10-22,SNDL,32987,0.70,
2021-10-25,SNDL,864353,0.66,
2021-10-26,SNDL,3783304,0.67,
2021-10-27,SNDL,702820,0.66,
2021-10-28,SNDL,120153,0.65,
2021-10-29,SNDL,768401,0.66,
2021-11-01,SNDL,1371609,0.65,
2021-11-02,SNDL,216252,0.66,
2021-11-03,SNDL,1824737,0.65,
2021-11-04,SNDL,1842793,0.66,
2021-11-05,SNDL,1088179,0.65,
2021-11-08,SNDL,3628516,0.64,
2021-11-09,SNDL,11589246,0.70,
2021-11-10,SNDL,570692,0.72,
2021-11-12,SNDL,2496111,0.72,
2021-11-15,SNDL,3805168,0.92,
2021-11-16,SNDL,3839624,0.83,
2021-11-17,SNDL,668542,0.84,
2021-11-18,SNDL,4113206,0.79,
2021-11-19,SNDL,1869100,0.75,
2021-11-22,SNDL,14018,0.73,
2021-11-23,SNDL,93400,0.69,
2021-11-24,SNDL,1195953,0.67,
2021-11-26,SNDL,4421,0.68,
2021-11-29,SNDL,1093014,0.65,
2021-11-30,SNDL,1420773,0.64,
2021-12-01,SNDL,381726,0.62,
2021-12-02,SNDL,707836,0.57,
2021-12-03,SNDL,299785,0.59,
2021-12-06,SNDL,891955,0.56,
2021-12-07,SNDL,3867943,0.57,
2021-12-08,SNDL,1650405,0.60,
2021-12-09,SNDL,3226824,0.62,
2021-12-10,SNDL,1771018,0.60,
2021-12-13,SNDL,1901851,0.59,
2021-12-14,SNDL,1927209,0.57,
2021-12-15,SNDL,1098162,0.56,
2021-12-16,SNDL,777659,0.56,
2021-12-17,SNDL,1272907,0.59,
2021-12-20,SNDL,5244445,0.60,
2021-12-21,SNDL,5204502,0.59,
2021-12-22,SNDL,3468390,0.63,
2021-12-23,SNDL,4133728,0.66,
2021-12-27,SNDL,4562681,0.67,
2021-12-28,SNDL,3893285,0.64,
2021-12-29,SNDL,439656,0.61,
2021-12-30,SNDL,79413,0.59,
2021-12-31,SNDL,11621,0.59,
2022-01-03,SNDL,671936,0.58,
2022-01-04,SNDL,499176,0.62,
2022-01-05,SNDL,664682,0.64,
2022-01-06,SNDL,594553,0.61,
