date,symbol,quantity,price,cusip
2020-12-01,SPY,179672,362.06,
2020-12-02,SPY,87598,366.02,
2020-12-03,SPY,1400,366.79,
2020-12-04,SPY,21709,366.69,
2020-12-07,SPY,105589,369.85,
2020-12-08,SPY,725217,369.09,
2020-12-09,SPY,1302700,370.17,
2020-12-10,SPY,2349,366.85,
2020-12-11,SPY,134752,366.73,
2020-12-14,SPY,154775,366.30,
2020-12-15,SPY,1480777,364.66,
2020-12-16,SPY,767912,369.59,
2020-12-17,SPY,5596810,370.17,
2020-12-18,SPY,12305675,372.24,
2020-12-21,SPY,9380682,369.18,
2020-12-22,SPY,585189,367.86,
2020-12-23,SPY,81212,367.24,
2020-12-24,SPY,14348,367.57,
2020-12-28,SPY,9568,369.00,
2020-12-29,SPY,434,372.17,
2020-12-30,SPY,540865,371.46,
2020-12-31,SPY,6488,371.99,
2021-01-04,SPY,92018,373.88,
2021-01-05,SPY,52889,368.79,
2021-01-06,SPY,1892,371.33,
2021-01-07,SPY,221390,373.55,
2021-01-08,SPY,6403,379.10,
2021-01-11,SPY,260673,381.26,
2021-01-12,SPY,542,378.69,
2021-01-13,SPY,78981,378.77,
2021-01-14,SPY,68916,379.79,
2021-01-15,SPY,22634,378.46,
2021-01-20,SPY,299679,378.65,
2021-01-21,SPY,142354,383.89,
2021-01-22,SPY,299,384.24,
2021-01-25,SPY,11522,382.88,
2021-01-26,SPY,70795,384.39,
2021-01-27,SPY,44479,383.79,
2021-01-28,SPY,363,374.41,
2021-01-29,SPY,231874,377.63,
2021-02-01,SPY,874208,370.07,
2021-02-02,SPY,162255,376.23,
2021-02-03,SPY,764968,381.55,
2021-02-04,SPY,502015,381.85,
2021-02-05,SPY,779556,386.19,
2021-02-08,SPY,54614,387.71,
2021-02-09,SPY,88186,390.51,
2021-02-10,SPY,18041,390.25,
2021-02-11,SPY,2779,390.08,
2021-02-12,SPY,839,390.71,
2021-02-16,SPY,268,392.64,
2021-02-17,SPY,308799,392.30,
2021-02-18,SPY,78482,392.39,
2021-02-19,SPY,6860,390.72,
2021-02-22,SPY,531635,390.03,
2021-02-23,SPY,506812,387.03,
2021-02-24,SPY,233301,387.50,
2021-02-25,SPY,6844,391.77,
2021-02-26,SPY,20065,382.33,
2021-03-01,SPY,28943,380.36,
2021-03-02,SPY,267644,389.58,
2021-03-03,SPY,75447,386.54,
2021-03-04,SPY,273509,381.42,
2021-03-05,SPY,797,376.70,
2021-03-08,SPY,1865836,383.63,
2021-03-09,SPY,90802,381.72,
2021-03-10,SPY,129147,387.17,
2021-03-11,SPY,644700,389.58,
2021-03-12,SPY,907502,393.53,
2021-03-15,SPY,2236917,394.06,
2021-03-16,SPY,115676,396.41,
2021-03-17,SPY,2060722,395.91,
2021-03-18,SPY,3525915,397.26,
2021-03-19,SPY,1209428,391.48,
2021-03-22,SPY,307100,389.48,
2021-03-23,SPY,1273197,392.59,
2021-03-24,SPY,1409005,389.50,
2021-03-26,SPY,9100,389.70,
2021-03-29,SPY,165240,395.98,
2021-03-30,SPY,2348139,395.78,
2021-03-31,SPY,1146,394.73,
2021-04-05,SPY,29169,400.61,
2021-04-06,SPY,18701,406.36,
2021-04-07,SPY,241709,406.12,
2021-04-08,SPY,198129,406.59,
2021-04-09,SPY,34891,408.52,
2021-04-12,SPY,124964,411.49,
2021-04-13,SPY,6718,411.64,
2021-04-14,SPY,23324,412.86,
2021-04-15,SPY,950,411.45,
2021-04-16,SPY,10755,415.87,
2021-04-19,SPY,3517,417.26,
2021-04-20,SPY,128859,415.21,
2021-04-21,SPY,2700,412.17,
2021-04-22,SPY,5399,416.07,
2021-04-23,SPY,43626,412.27,
2021-04-26,SPY,10,416.74,
2021-04-27,SPY,12847,417.61,
2021-04-28,SPY,12938,417.52,
2021-04-29,SPY,130500,417.40,
2021-04-30,SPY,526422,420.06,
2021-05-03,SPY,37303,417.30,
2021-05-04,SPY,763,418.20,
2021-05-05,SPY,83166,415.62,
2021-05-06,SPY,2422,415.75,
2021-05-07,SPY,491,419.07,
2021-05-10,SPY,263931,422.12,
2021-05-11,SPY,2029,417.94,
2021-05-12,SPY,527,414.21,
2021-05-13,SPY,57108,405.41,
2021-05-14,SPY,1026674,410.28,
2021-05-17,SPY,33687,416.58,
2021-05-18,SPY,3249,415.52,
2021-05-19,SPY,89935,411.94,
