date,quantity
2010-07-08,372616
2010-07-09,34559
2010-07-12,99526
2010-07-13,227217
2010-07-14,120960
2010-07-15,182257
2010-07-16,146241
2010-07-19,375235
2010-07-20,25015
2010-07-21,42779
2010-07-22,71646
2010-07-23,77911
2010-07-26,10175
2010-07-27,37801
2010-07-28,69488
2010-07-29,12317
2010-07-30,11532
2010-08-02,37718
2010-08-03,67910
2010-08-04,54748
2010-08-05,51259
2010-08-06,96071
2010-08-09,179113
2010-08-10,158832
2010-08-11,100224
2010-08-12,109741
2010-08-13,3838
2010-08-16,23837
2010-08-17,3734
2010-08-18,14397
2010-08-19,34896
2010-08-20,16691
2010-08-23,14198
2010-08-24,37708
2010-08-25,31276
2010-08-26,62312
2010-08-27,39508
2010-08-30,54046
2010-08-31,17932
2010-09-01,16754
2010-09-02,26260
2010-09-03,1019
2010-09-07,850
2010-09-08,12351
2010-09-09,17771
2010-09-10,23887
2010-09-13,21958
2010-09-14,13015
2010-09-17,1096
2010-09-20,18658
2010-09-21,125220
2010-09-22,1425
2010-09-23,2072
2010-09-24,6646
2010-09-27,12490
2010-09-28,637
2010-09-29,10573
2010-09-30,5750
2010-10-01,13737
2010-10-04,222139
2010-10-05,254945
2010-10-06,168566
2010-10-07,211094
2010-10-08,223889
2010-10-12,218521
2010-10-13,51484
2010-10-14,112271
2010-10-15,104820
2010-10-18,27258
2010-10-19,24734
2010-10-20,256482
2010-10-21,41076
2010-10-22,56285
2010-10-25,31036
2010-10-26,146252
2010-10-27,6520
2010-10-28,5604
2010-10-29,46420
2010-11-01,48297
2010-11-02,11456
2010-11-03,22034
2010-11-04,42283
2010-11-05,62926
2010-11-08,55940
2010-11-09,70746
2010-11-10,81393
2010-11-12,72532
2010-11-15,28934
2010-11-16,62464
2010-11-17,9085
2010-11-18,626
2010-11-19,12559
2010-11-22,2157
2010-11-23,19255
2010-11-24,11108
2010-11-26,2230
2010-11-29,7413
2010-11-30,14245
2010-12-01,6120
2010-12-02,71061
2010-12-03,519791
2010-12-06,94755
2010-12-07,9400
2010-12-08,12643
2010-12-09,13891
2010-12-10,2408
2010-12-13,5592
2010-12-14,15899
2010-12-15,15885
2010-12-16,17112
2010-12-17,2295
2010-12-20,10957
2010-12-21,16690
2010-12-22,3124
2010-12-23,11274
2010-12-27,8345
2010-12-28,988
2010-12-29,12085
2010-12-30,450382
2010-12-31,443073
2011-01-03,128931
2011-01-04,128199
2011-01-05,129905
2011-01-06,135580
2011-01-07,120233
2011-01-10,29815
2011-01-11,64163
2011-01-12,2627
2011-01-13,308
2011-01-18,6603
2011-01-19,1411
2011-01-20,1669
2011-01-21,796
2011-01-24,58398
2011-01-25,87379
2011-01-26,32450
2011-01-27,69189
2011-01-31,218
2011-02-01,273
2011-02-03,493
2011-02-04,7475
2011-02-07,1812
2011-02-08,2886
2011-02-09,2209
2011-02-10,142
2011-02-11,10000
2011-02-14,97537
2011-02-15,178591
2011-02-16,99904
2011-02-17,102253
2011-02-18,83172
2011-02-22,81864
2011-02-23,82738
2011-02-24,176182
2011-02-25,40372
2011-02-28,118395
2011-03-01,63563
2011-03-02,72339
2011-03-03,44929
2011-03-04,79748
2011-03-07,28682
2011-03-08,4386
2011-03-09,46629
2011-03-10,30544
2011-03-11,12598
2011-03-14,45369
2011-03-15,29794
2011-03-16,3619
2011-03-17,10140
2011-03-18,10002
2011-03-21,60694
2011-03-22,8674
2011-03-23,20224
2011-03-24,2253
2011-03-25,1707
2011-03-28,1726
2011-03-29,10975
2011-03-30,30456
2011-03-31,32256
2011-04-01,32862
2011-04-04,27429
2011-04-05,3413
2011-04-06,2352
2011-04-07,16387
2011-04-08,3198
2011-04-11,6047
2011-04-12,1537
2011-04-13,12631
2011-04-14,125
2011-04-15,22857
2011-04-18,22788
2011-04-19,175
2011-04-20,1915
2011-04-25,5505
2011-04-26,24455
2011-04-27,127
2011-04-28,75707
2011-04-29,132764
2011-05-02,10711
2011-05-03,46698
2011-05-04,27111
2011-05-05,38751
2011-05-10,2109
2011-05-11,2629
2011-05-12,26280
2011-05-13,210
2011-05-16,200
2011-05-17,3021
2011-05-19,2189
2011-05-20,201874
2011-05-23,434
2011-05-25,189586
2011-05-26,170920
2011-05-27,87511
2011-05-31,1806
2011-06-01,17049
2011-06-02,1188
2011-06-03,6490
2011-06-06,2616
2011-06-07,6936
2011-06-08,276
2011-06-09,30984
2011-06-10,27295
2011-06-13,11460
2011-06-14,280
2011-06-16,6873
2011-06-17,10900
2011-06-20,1787
2011-06-21,3423
2011-06-22,301
2011-06-23,1169
2011-06-24,11339
2011-06-27,584
2011-06-28,12842
2011-06-29,40924
2011-06-30,49876
2011-07-01,3923
2011-07-05,2673
2011-07-06,3125
2011-07-07,859
2011-07-08,3110
2011-07-11,12213
2011-07-12,13324
2011-07-13,300
2011-07-14,19833
2011-07-15,34
2011-07-18,8630
2011-07-19,4692
2011-07-20,28981
2011-07-21,2757
2011-07-22,21491
2011-07-25,44206
2011-07-26,15260
2011-07-27,1953
2011-07-28,5818
2011-07-29,1218
2011-08-01,1391
2011-08-02,79680
2011-08-03,1113
2011-08-04,8052
2011-08-05,1317
2011-08-08,13178
2011-08-09,71694
2011-08-10,21900
2011-08-11,137760
2011-08-12,13990
2011-08-15,58738
2011-08-16,59293
2011-08-17,9069
2011-08-18,13282
2011-08-19,2204
2011-08-22,10450
2011-08-23,102592
2011-08-24,40763
2011-08-25,2520
2011-08-26,18902
2011-08-29,55803
2011-08-30,2582
2011-08-31,6574
2011-09-01,7336
2011-09-02,6316
2011-09-06,32820
2011-09-07,4382
2011-09-08,2440
2011-09-09,2443
2011-09-12,2135
2011-09-13,6002
2011-09-14,5558
2011-09-15,18550
2011-09-16,1419
2011-09-19,18892
2011-09-20,22321
2011-09-21,70076
2011-09-22,81424
2011-09-23,123060
2011-09-26,36628
2011-09-27,48068
2011-09-28,20052
2011-09-29,1065
2011-09-30,33480
2011-10-03,8314
2011-10-04,292
2011-10-05,65169
2011-10-06,45225
2011-10-07,5080
2011-10-11,6978
2011-10-12,15937
2011-10-13,69640
2011-10-14,83119
2011-10-17,73732
2011-10-18,48392
2011-10-19,15797
2011-10-20,13289
2011-10-21,54595
2011-10-24,19273
2011-10-25,6886
2011-10-26,56916
2011-10-27,138423
2011-10-28,82351
2011-10-31,51862
2011-11-01,24329
2011-11-02,35372
2011-11-03,50651
2011-11-04,11349
2011-11-07,14877
2011-11-08,44020
2011-11-09,38187
2011-11-10,14247
2011-11-14,9175
2011-11-15,16224
2011-11-16,62996
2011-11-17,10503
2011-11-18,13409
2011-11-21,86180
2011-11-22,31305
2011-11-23,22641
2011-11-25,28788
2011-11-28,9473
2011-11-29,545
2011-11-30,976
2011-12-01,110
2011-12-02,3894
2011-12-05,772
2011-12-06,6175
2011-12-07,11763
2011-12-08,23377
2011-12-09,22957
2011-12-12,1815
2011-12-13,21176
2011-12-14,44063
2011-12-15,35456
2011-12-16,122032
2011-12-19,43342
2011-12-20,36136
2011-12-21,148459
2011-12-22,36878
2011-12-23,965
2011-12-27,8196
2011-12-28,19044
2011-12-29,15349
2011-12-30,21112
2012-01-03,5475
2012-01-04,6647
2012-01-05,60
2012-01-06,1573
2012-01-09,28878
2012-01-10,33404
2012-01-11,80326
2012-01-12,41800
2012-01-13,11054
2012-01-17,60726
2012-01-18,82480
2012-01-19,127401
2012-01-20,61637
2012-01-23,61257
2012-01-24,7969
2012-01-25,30979
2012-01-26,66059
2012-01-27,21736
2012-01-30,28900
2012-01-31,217508
2012-02-01,62758
2012-02-02,16504
2012-02-03,51165
2012-02-06,34819
2012-02-07,47136
2012-02-08,24338
2012-02-09,10371
2012-02-10,19899
2012-02-13,12382
2012-02-14,39216
2012-02-15,120579
2012-02-16,39319
2012-02-17,81771
2012-02-21,305808
2012-02-22,155203
2012-02-23,99627
2012-02-24,64972
2012-02-27,30571
2012-02-28,30455
2012-02-29,154
2012-03-01,4949
2012-03-02,10616
2012-03-05,32295
2012-03-06,14682
2012-03-07,32481
2012-03-08,43068
2012-03-09,64001
2012-03-12,77313
2012-03-13,136
2012-03-14,85051
2012-03-15,216778
2012-03-16,157964
2012-03-19,245353
2012-03-20,168157
2012-03-21,296032
2012-03-22,314586
2012-03-23,339702
2012-03-26,386475
2012-03-27,375183
2012-03-28,321229
2012-03-29,480510
2012-03-30,244617
2012-04-02,8009
2012-04-03,56196
2012-04-04,4077
2012-04-05,9162
2012-04-09,2842
2012-04-10,48335
2012-04-11,14556
2012-04-12,1416
2012-04-13,180
2012-04-16,8097
2012-04-17,12281
2012-04-18,21374
2012-04-19,18198
2012-04-20,4194
2012-04-23,23722
2012-04-24,42897
2012-04-25,11378
2012-04-26,1971
2012-04-27,762
2012-04-30,2588
2012-05-01,2926
2012-05-02,8928
2012-05-03,3542
2012-05-04,11789
2012-05-07,9092
2012-05-08,5851
2012-05-09,3710
2012-05-10,5495
2012-05-11,30
2012-05-14,433
2012-05-15,18975
2012-05-16,6820
2012-05-18,36
2012-05-21,3084
2012-05-22,8024
2012-05-23,40
2012-05-24,26925
2012-05-25,6308
2012-05-29,6605
2012-05-30,1944
2012-05-31,56684
2012-06-01,32039
2012-06-04,3554
2012-06-05,5187
2012-06-06,13597
2012-06-07,16031
2012-06-08,11468
2012-06-11,55545
2012-06-12,39024
2012-06-13,20560
2012-06-14,36431
2012-06-15,21977
2012-06-18,16407
2012-06-19,19218
2012-06-20,54611
2012-06-21,34172
2012-06-22,12118
2012-06-25,48222
2012-06-26,138056
2012-06-27,309167
2012-06-28,48551
2012-06-29,45252
2012-07-02,37652
2012-07-03,11163
2012-07-05,6725
2012-07-06,1018
2012-07-09,3612
2012-07-10,11803
2012-07-11,17441
2012-07-12,6575
2012-07-13,6805
2012-07-16,64944
2012-07-17,40165
2012-07-18,31902
2012-07-19,31395
2012-07-20,104144
2012-07-23,60205
2012-07-24,1685
2012-07-25,58789
2012-07-26,7628
2012-07-27,60923
2012-07-30,22480
2012-07-31,94551
2012-08-01,126122
2012-08-02,433184
2012-08-03,507157
2012-08-06,593583
2012-08-07,715531
2012-08-08,772463
2012-08-09,303318
2012-08-10,208306
2012-08-13,77477
2012-08-14,84034
2012-08-15,75504
2012-08-16,79432
2012-08-17,16727
2012-08-20,9598
2012-08-21,59091
2012-08-22,50060
2012-08-23,8849
2012-08-24,4428
2012-08-27,2603
2012-08-28,13645
2012-08-29,1002
2012-08-30,21502
2012-08-31,4571
2012-09-05,57934
2012-09-06,3165
2012-09-07,4547
2012-09-10,15690
2012-09-11,10388
2012-09-12,34849
2012-09-13,58510
2012-09-14,82810
2012-09-17,18609
2012-09-18,56554
2012-09-19,130154
2012-09-20,254596
2012-09-21,200979
2012-09-24,174059
2012-09-25,1645
2012-09-26,426802
2012-09-27,95340
2012-09-28,409589
2012-10-01,112617
2012-10-02,144395
2012-10-03,270061
2012-10-04,113289
2012-10-05,134203
2012-10-09,119928
2012-10-10,183742
2012-10-11,135
2012-10-12,96610
2012-10-15,21588
2012-10-17,205073
2012-10-18,293757
2012-10-19,179637
2012-10-22,74394
2012-10-23,134787
2012-10-24,245834
2012-10-25,39028
2012-10-26,44628
