date,symbol,quantity,price,cusip
2020-12-01,XRT,21784,60.08,78464A714
2020-12-03,XRT,170439,60.86,78464A714
2020-12-04,XRT,16755,61.47,78464A714
2020-12-07,XRT,172,62.21,78464A714
2020-12-08,XRT,31808,61.9,78464A714
2020-12-09,XRT,70114,62.32,78464A714
2020-12-10,XRT,72964,62.0,78464A714
2020-12-11,XRT,20336,61.94,78464A714
2020-12-14,XRT,4672,61.26,78464A714
2020-12-15,XRT,1360,60.62,78464A714
2020-12-16,XRT,652388,62.22,78464A714
2020-12-17,XRT,748404,62.4,78464A714
2020-12-18,XRT,651014,63.57,78464A714
2020-12-21,XRT,274542,63.35,78464A714
2020-12-22,XRT,43888,63.35,78464A714
2020-12-24,XRT,37,64.77,78464A714
2020-12-28,XRT,6827,64.76,78464A714
2020-12-29,XRT,11118,65.09,78464A714
2020-12-30,XRT,26586,64.27,78464A714
2020-12-31,XRT,4787,64.91,78464A714
2021-01-04,XRT,13189,64.32,78464A714
2021-01-05,XRT,431,63.54,78464A714
2021-01-06,XRT,38051,64.96,78464A714
2021-01-07,XRT,1309,67.63,78464A714
2021-01-08,XRT,11000,68.11,78464A714
2021-01-11,XRT,5227,68.16,78464A714
2021-01-13,XRT,877,71.81,78464A714
2021-01-15,XRT,10187,73.72,78464A714
2021-01-19,XRT,9134,71.98,78464A714
2021-01-20,XRT,1144,72.33,78464A714
2021-01-21,XRT,17703,72.59,78464A714
2021-01-22,XRT,23125,73.17,78464A714
2021-01-25,XRT,112536,74.87,78464A714
2021-01-26,XRT,127661,76.18,78464A714
2021-01-27,XRT,80112,81.43,78464A714
2021-01-28,XRT,385651,91.23,78464A714
2021-01-29,XRT,2218348,82.97,78464A714
2021-02-01,XRT,1135221,88.01,78464A714
2021-02-02,XRT,1555661,82.95,78464A714
2021-02-03,XRT,485989,76.14,78464A714
2021-02-04,XRT,79564,77.42,78464A714
2021-02-05,XRT,9352,77.16,78464A714
2021-02-08,XRT,216633,78.86,78464A714
2021-02-09,XRT,108238,80.07,78464A714
2021-02-10,XRT,44834,79.64,78464A714
2021-02-11,XRT,1712,79.58,78464A714
2021-02-12,XRT,44278,80.01,78464A714
2021-02-16,XRT,120072,80.01,78464A714
2021-02-17,XRT,2191,79.67,78464A714
2021-02-18,XRT,463,79.05,78464A714
2021-02-19,XRT,12774,77.99,78464A714
2021-02-23,XRT,29834,79.22,78464A714
2021-02-24,XRT,116334,78.0,78464A714
2021-02-25,XRT,22765,82.13,78464A714
2021-02-26,XRT,36065,79.61,78464A714
2021-03-01,XRT,1167,79.26,78464A714
2021-03-02,XRT,413252,83.31,78464A714
2021-03-03,XRT,427133,81.88,78464A714
2021-03-04,XRT,348,81.58,78464A714
2021-03-08,XRT,514,81.68,78464A714
2021-03-09,XRT,58639,86.66,78464A714
2021-03-10,XRT,7352,90.14,78464A714
2021-03-11,XRT,58588,91.9,78464A714
2021-03-12,XRT,13380,92.81,78464A714
2021-03-15,XRT,4973,94.39,78464A714
2021-03-16,XRT,48822,93.43,78464A714
2021-03-17,XRT,800,91.55,78464A714
2021-03-18,XRT,364,92.32,78464A714
2021-03-19,XRT,6766,89.87,78464A714
2021-03-22,XRT,116811,90.96,78464A714
2021-03-23,XRT,72083,90.04,78464A714
2021-03-24,XRT,75219,87.21,78464A714
2021-03-25,XRT,100,84.19,78464A714
2021-03-26,XRT,6538,86.77,78464A714
2021-03-29,XRT,1261,88.75,78464A714
2021-03-30,XRT,67306,87.04,78464A714
2021-03-31,XRT,3440,88.79,78464A714
2021-04-05,XRT,62312,89.51,78464A714
2021-04-06,XRT,1298,90.47,78464A714
2021-04-07,XRT,389990,90.8,78464A714
2021-04-08,XRT,17790,90.06,78464A714
2021-04-09,XRT,20588,90.79,78464A714
2021-04-13,XRT,1827,92.67,78464A714
2021-04-14,XRT,7382,91.97,78464A714
2021-04-15,XRT,15134,92.2,78464A714
2021-04-16,XRT,2366,92.5,78464A714
2021-04-20,XRT,46170,91.61,78464A714
2021-04-21,XRT,231580,89.55,78464A714
2021-04-22,XRT,12023,91.11,78464A714
2021-04-23,XRT,3358,91.08,78464A714
2021-04-26,XRT,3981,93.28,78464A714
2021-04-27,XRT,191,92.6,78464A714
2021-04-28,XRT,263642,93.8,78464A714
2021-04-29,XRT,802,94.19,78464A714
2021-04-30,XRT,1764,94.06,78464A714
2021-05-03,XRT,42861,92.82,78464A714
2021-05-04,XRT,31056,94.78,78464A714
2021-05-05,XRT,404,93.9,78464A714
2021-05-06,XRT,79,93.92,78464A714
2021-05-07,XRT,7913,94.16,78464A714
2021-05-10,XRT,401,95.19,78464A714
2021-05-11,XRT,22419,93.6,78464A714
2021-05-12,XRT,6590,92.74,78464A714
2021-05-13,XRT,5489,88.15,78464A714
2021-05-14,XRT,39089,89.56,78464A714
2021-05-17,XRT,101817,93.42,78464A714
2021-05-18,XRT,26767,94.49,78464A714
2021-05-19,XRT,37569,93.52,78464A714
2021-05-20,XRT,70037,91.33,78464A714
2021-05-21,XRT,1259470,90.94,78464A714
2021-05-24,XRT,611250,91.03,78464A714
2021-05-25,XRT,1029246,91.4,78464A714
2021-05-26,XRT,739484,91.03,78464A714
2021-05-27,XRT,49824,93.66,78464A714
2021-05-28,XRT,714,94.55,78464A714
2021-06-01,XRT,4815,93.36,78464A714
2021-06-02,XRT,1253,94.88,78464A714
2021-06-03,XRT,3627,95.83,78464A714
2021-06-04,XRT,1774,94.21,78464A714
2021-06-07,XRT,7143,93.92,78464A714
2021-06-08,XRT,1234,94.97,78464A714
2021-06-09,XRT,177500,96.63,78464A714
2021-06-10,XRT,235688,95.89,78464A714
2021-06-11,XRT,221558,94.86,78464A714
2021-06-14,XRT,372716,96.5,78464A714
2021-06-15,XRT,440498,95.83,78464A714
2021-06-16,XRT,586661,94.37,78464A714
2021-06-17,XRT,715578,94.58,78464A714
2021-06-18,XRT,576535,93.5,78464A714
2021-06-21,XRT,1040184,91.8,78464A714
2021-06-22,XRT,590275,93.6,78464A714
2021-06-23,XRT,476173,95.38,78464A714
2021-06-24,XRT,294053,96.3,78464A714
2021-06-25,XRT,23727,97.07,78464A714
2021-06-28,XRT,118881,97.54,78464A714
2021-06-29,XRT,133,96.9,78464A714
2021-06-30,XRT,19003,96.52,78464A714
2021-07-01,XRT,6294,97.23,78464A714
2021-07-02,XRT,130,98.18,78464A714
2021-07-06,XRT,49507,97.66,78464A714
2021-07-07,XRT,6849,95.99,78464A714
2021-07-09,XRT,182222,94.29,78464A714
2021-07-12,XRT,554781,97.86,78464A714
2021-07-13,XRT,254151,98.07,78464A714
2021-07-14,XRT,57902,96.47,78464A714
2021-07-15,XRT,29,95.25,78464A714
2021-07-16,XRT,189,93.75,78464A714
2021-07-19,XRT,3378,92.35,78464A714
2021-07-20,XRT,57050,91.46,78464A714
2021-07-21,XRT,577509,94.59,78464A714
2021-07-22,XRT,191959,96.33,78464A714
2021-07-23,XRT,99480,95.27,78464A714
2021-07-26,XRT,17181,96.11,78464A714
2021-07-27,XRT,9308,96.49,78464A714
2021-07-28,XRT,14836,95.21,78464A714
2021-07-29,XRT,1640,95.27,78464A714
2021-07-30,XRT,34128,96.08,78464A714
2021-08-02,XRT,126573,95.27,78464A714
2021-08-03,XRT,984,95.25,78464A714
2021-08-04,XRT,1122,96.17,78464A714
2021-08-05,XRT,4454,93.52,78464A714
2021-08-06,XRT,327211,94.65,78464A714
2021-08-09,XRT,337384,94.99,78464A714
2021-08-10,XRT,254892,94.91,78464A714
2021-08-11,XRT,23864,97.14,78464A714
2021-08-12,XRT,4766,97.52,78464A714
2021-08-13,XRT,1846,96.75,78464A714
2021-08-16,XRT,1197,95.66,78464A714
2021-08-17,XRT,30732,95.71,78464A714
2021-08-18,XRT,219690,92.97,78464A714
2021-08-19,XRT,861979,92.56,78464A714
