roll_number,event,roll_date,from_expiration,to_expiration,strike_adj,raw_listed_strike,new_leg_OI_adj,standing_OI_at_50_adj,dte_leg_closed,dte_leg_opened,gme_price_splitadj,trading_days_to_nearest_jump,nearest_jump_move_pct,within_5d_of_20pct_move,note,from_leg_occ,to_leg_occ,thetadata_key_to_leg,standing_OI_delta_on_roll_date
0,OPEN,2021-01-27,,2021-01-29,50.0,200,84732,132104,,2,86.88,0,1.349,yes,position opens from zero (largest call open of the squeeze week),,GME210129C00200000,symbol=GME&expiration=20210129&right=C&strike=200,
1,ROLL,2021-02-01,2021-01-29,2021-02-19,50.0,200,11952,35592,-3.0,18,56.25,0,-0.308,yes,within 0 trading days of a -31% price move,GME210129C00200000,GME210219C00200000,symbol=GME&expiration=20210219&right=C&strike=200,-35416
2,ROLL,2021-02-03,2021-02-19,2021-02-05,50.0,200,22540,53756,16.0,2,23.1,-1,-0.6,yes,within 1 trading days of a -60% price move,GME210219C00200000,GME210205C00200000,symbol=GME&expiration=20210205&right=C&strike=200,19276
3,ROLL,2021-02-09,2021-02-05,2021-02-12,50.0,200,19244,53464,-4.0,3,12.58,-3,-0.421,yes,within 3 trading days of a -42% price move,GME210205C00200000,GME210212C00200000,symbol=GME&expiration=20210212&right=C&strike=200,-17864
4,ROLL,2021-02-17,2021-02-12,2021-02-19,50.0,200,17788,43752,-5.0,2,11.49,5,1.04,yes,within 5 trading days of a +104% price move,GME210212C00200000,GME210219C00200000,symbol=GME&expiration=20210219&right=C&strike=200,-87736
5,ROLL,2021-02-23,2021-02-19,2021-04-16,50.0,200,9892,36180,-4.0,52,11.24,1,1.04,yes,within 1 trading days of a +104% price move,GME210219C00200000,GME210416C00200000,symbol=GME&expiration=20210416&right=C&strike=200,-15720
6,ROLL,2021-02-26,2021-04-16,2021-02-26,50.0,200,20128,65316,49.0,0,25.44,-2,1.04,yes,within 2 trading days of a +104% price move,GME210416C00200000,GME210226C00200000,symbol=GME&expiration=20210226&right=C&strike=200,21332
7,ROLL,2021-03-01,2021-02-26,2021-03-05,50.0,200,22268,80960,-3.0,4,30.1,-3,1.04,yes,within 3 trading days of a +104% price move,GME210226C00200000,GME210305C00200000,symbol=GME&expiration=20210305&right=C&strike=200,15644
8,ROLL,2021-03-09,2021-03-05,2021-03-12,50.0,200,28600,75356,-4.0,3,61.73,0,0.269,yes,within 0 trading days of a +27% price move,GME210305C00200000,GME210312C00200000,symbol=GME&expiration=20210312&right=C&strike=200,-26692
9,ROLL,2021-03-15,2021-03-12,2021-04-16,50.0,200,13236,38184,-3.0,32,55.04,-4,0.269,yes,within 4 trading days of a +27% price move,GME210312C00200000,GME210416C00200000,symbol=GME&expiration=20210416&right=C&strike=200,-17756
10,ROLL,2021-03-17,2021-04-16,2021-03-19,50.0,200,14732,42232,30.0,2,52.45,5,-0.338,yes,within 5 trading days of a -34% price move,GME210416C00200000,GME210319C00200000,symbol=GME&expiration=20210319&right=C&strike=200,3932
11,ROLL,2021-03-22,2021-03-19,2021-04-16,50.0,200,12896,35028,-3.0,25,48.62,2,-0.338,yes,within 2 trading days of a -34% price move,GME210319C00200000,GME210416C00200000,symbol=GME&expiration=20210416&right=C&strike=200,-8140
12,ROLL,2021-03-24,2021-04-16,2021-03-26,50.0,200,13456,39284,23.0,2,30.09,0,-0.338,yes,within 0 trading days of a -34% price move,GME210416C00200000,GME210326C00200000,symbol=GME&expiration=20210326&right=C&strike=200,3856
13,ROLL,2021-03-30,2021-03-26,2021-04-16,50.0,200,14836,40740,-4.0,17,48.62,-3,0.527,yes,within 3 trading days of a +53% price move,GME210326C00200000,GME210416C00200000,symbol=GME&expiration=20210416&right=C&strike=200,-16996
14,ROLL,2021-03-31,2021-04-16,2021-04-01,50.0,200,15792,46652,16.0,1,47.46,-4,0.527,yes,within 4 trading days of a +53% price move,GME210416C00200000,GME210401C00200000,symbol=GME&expiration=20210401&right=C&strike=200,5912
15,ROLL,2021-04-05,2021-04-01,2021-04-16,50.0,200,14868,46020,-4.0,11,46.74,-6,0.527,no,,GME210401C00200000,GME210416C00200000,symbol=GME&expiration=20210416&right=C&strike=200,-352
16,ROLL,2021-04-06,2021-04-16,2021-04-09,50.0,200,17908,48432,10.0,3,46.13,-7,0.527,no,,GME210416C00200000,GME210409C00200000,symbol=GME&expiration=20210409&right=C&strike=200,2412
17,ROLL,2021-04-12,2021-04-09,2021-04-16,50.0,200,25748,67892,-3.0,4,35.27,-11,0.527,no,,GME210409C00200000,GME210416C00200000,symbol=GME&expiration=20210416&right=C&strike=200,4456
18,ROLL,2021-04-20,2021-04-16,2021-04-23,50.0,200,24356,73268,-4.0,3,39.63,-17,0.527,no,,GME210416C00200000,GME210423C00200000,symbol=GME&expiration=20210423&right=C&strike=200,-30088
19,ROLL,2021-04-27,2021-04-23,2021-04-30,50.0,200,30408,77684,-4.0,3,44.44,-22,0.527,no,,GME210423C00200000,GME210430C00200000,symbol=GME&expiration=20210430&right=C&strike=200,-16236
20,ROLL,2021-05-03,2021-04-30,2021-05-07,50.0,200,24856,84168,-3.0,4,40.55,-26,0.527,no,,GME210430C00200000,GME210507C00200000,symbol=GME&expiration=20210507&right=C&strike=200,1576
21,ROLL,2021-05-11,2021-05-07,2021-05-14,50.0,200,22376,62784,-4.0,3,36.73,21,-0.272,no,,GME210507C00200000,GME210514C00200000,symbol=GME&expiration=20210514&right=C&strike=200,-22472
22,ROLL,2021-05-12,2021-05-14,2021-05-21,50.0,200,19816,61872,2.0,9,36.2,20,-0.272,no,,GME210514C00200000,GME210521C00200000,symbol=GME&expiration=20210521&right=C&strike=200,-912
23,ROLL,2021-05-13,2021-05-21,2021-05-14,50.0,200,22360,67664,8.0,1,41.13,19,-0.272,no,,GME210521C00200000,GME210514C00200000,symbol=GME&expiration=20210514&right=C&strike=200,5792
24,ROLL,2021-05-14,2021-05-14,2021-05-21,50.0,200,25920,75348,0.0,7,39.98,18,-0.272,no,,GME210514C00200000,GME210521C00200000,symbol=GME&expiration=20210521&right=C&strike=200,7684
25,ROLL,2021-05-25,2021-05-21,2021-05-28,50.0,200,25196,57948,-4.0,3,52.36,11,-0.272,no,,GME210521C00200000,GME210528C00200000,symbol=GME&expiration=20210528&right=C&strike=200,-21776
26,ROLL,2021-06-01,2021-05-28,2021-07-16,50.0,200,8752,33712,-4.0,45,62.26,7,-0.272,no,,GME210528C00200000,GME210716C00200000,symbol=GME&expiration=20210716&right=C&strike=200,-12388
27,ROLL,2021-07-20,2021-07-16,2021-07-23,50.0,200,8916,30980,-4.0,3,47.8,25,0.275,no,,GME210716C00200000,GME210723C00200000,symbol=GME&expiration=20210723&right=C&strike=200,-14184
