test,date,pair,tolerance,a_trades,b_trades,matches,match_pct
CONTROL_UNRELATED,2021-01-27,GME↔AAPL,1ms,500000,500000,29280,5.856
CONTROL_UNRELATED,2021-01-27,GME↔AAPL,10ms,500000,500000,201341,40.2682
CONTROL_UNRELATED,2021-01-27,GME↔AAPL,100ms,500000,500000,493756,98.7512
CONTROL_UNRELATED,2021-01-27,GME↔AAPL,1s,500000,500000,500000,100.0
CONTROL_UNRELATED,2021-01-27,GME↔AAPL,5s,500000,500000,500000,100.0
CONTROL_UNRELATED,2021-01-27,GME↔MSFT,1ms,500000,500000,27057,5.4114
CONTROL_UNRELATED,2021-01-27,GME↔MSFT,10ms,500000,500000,168806,33.7612
CONTROL_UNRELATED,2021-01-27,GME↔MSFT,100ms,500000,500000,480898,96.1796
CONTROL_UNRELATED,2021-01-27,GME↔MSFT,1s,500000,500000,500000,100.0
CONTROL_UNRELATED,2021-01-27,GME↔MSFT,5s,500000,500000,500000,100.0
CONTROL_UNRELATED,2021-01-27,GME↔JNJ,1ms,500000,144246,4233,0.8466
CONTROL_UNRELATED,2021-01-27,GME↔JNJ,10ms,500000,144246,33709,6.7418
CONTROL_UNRELATED,2021-01-27,GME↔JNJ,100ms,500000,144246,228590,45.718
CONTROL_UNRELATED,2021-01-27,GME↔JNJ,1s,500000,144246,496823,99.3646
CONTROL_UNRELATED,2021-01-27,GME↔JNJ,5s,500000,144246,500000,100.0
CONTROL_UNRELATED,2021-01-27,GME↔WMT,1ms,500000,119258,3520,0.704
CONTROL_UNRELATED,2021-01-27,GME↔WMT,10ms,500000,119258,24049,4.8098
CONTROL_UNRELATED,2021-01-27,GME↔WMT,100ms,500000,119258,170005,34.001
CONTROL_UNRELATED,2021-01-27,GME↔WMT,1s,500000,119258,484407,96.8814
CONTROL_UNRELATED,2021-01-27,GME↔WMT,5s,500000,119258,500000,100.0
CONTROL_NORMAL_DAY,2021-03-15,GME↔BB,1ms,500000,73080,5425,1.085
CONTROL_NORMAL_DAY,2021-03-15,GME↔BB,10ms,500000,73080,27483,5.4966
CONTROL_NORMAL_DAY,2021-03-15,GME↔BB,100ms,500000,73080,146944,29.3888
CONTROL_NORMAL_DAY,2021-03-15,GME↔BB,1s,500000,73080,458087,91.6174
CONTROL_NORMAL_DAY,2021-03-15,GME↔BB,5s,500000,73080,499931,99.9862
CONTROL_NORMAL_DAY,2021-03-15,GME↔BBBY,1ms,500000,37123,5945,1.189
CONTROL_NORMAL_DAY,2021-03-15,GME↔BBBY,10ms,500000,37123,19907,3.9814
CONTROL_NORMAL_DAY,2021-03-15,GME↔BBBY,100ms,500000,37123,72790,14.558
CONTROL_NORMAL_DAY,2021-03-15,GME↔BBBY,1s,500000,37123,307909,61.5818
CONTROL_NORMAL_DAY,2021-03-15,GME↔BBBY,5s,500000,37123,486736,97.3472
CONTROL_NORMAL_DAY,2021-03-15,GME↔EXPR,1ms,500000,66913,6416,1.2832
CONTROL_NORMAL_DAY,2021-03-15,GME↔EXPR,10ms,500000,66913,28378,5.6756
CONTROL_NORMAL_DAY,2021-03-15,GME↔EXPR,100ms,500000,66913,122305,24.461
CONTROL_NORMAL_DAY,2021-03-15,GME↔EXPR,1s,500000,66913,402866,80.5732
CONTROL_NORMAL_DAY,2021-03-15,GME↔EXPR,5s,500000,66913,499285,99.857
