pair,tolerance,a_trades,b_trades,matches,match_pct,date
GME↔BBBY,1ms,2438367,624708,86817,3.5605,2021-01-27
GME↔BBBY,10ms,2438367,624708,504050,20.6716,2021-01-27
GME↔BBBY,50ms,2438367,624708,1445931,59.2992,2021-01-27
GME↔BBBY,100ms,2438367,624708,1930050,79.1534,2021-01-27
GME↔BBBY,500ms,2438367,624708,2410230,98.8461,2021-01-27
GME↔BBBY,1s,2438367,624708,2423566,99.393,2021-01-27
GME↔BBBY,5s,2438367,624708,2424001,99.4108,2021-01-27
GME↔BBBY,10s,2438367,624708,2424232,99.4203,2021-01-27
GME↔BBBY,30s,2438367,624708,2425303,99.4642,2021-01-27
GME↔EXPR,1ms,2438367,892321,128311,5.2622,2021-01-27
GME↔EXPR,10ms,2438367,892321,726841,29.8085,2021-01-27
GME↔EXPR,50ms,2438367,892321,1502224,61.6078,2021-01-27
GME↔EXPR,100ms,2438367,892321,1717872,70.4517,2021-01-27
GME↔EXPR,500ms,2438367,892321,1821813,74.7145,2021-01-27
GME↔EXPR,1s,2438367,892321,1823208,74.7717,2021-01-27
GME↔EXPR,5s,2438367,892321,1834462,75.2332,2021-01-27
GME↔EXPR,10s,2438367,892321,1848634,75.8144,2021-01-27
GME↔EXPR,30s,2438367,892321,1935516,79.3776,2021-01-27
GME↔SHLD,1ms,2438367,11,1,0.0,2021-01-27
GME↔SHLD,10ms,2438367,11,11,0.0005,2021-01-27
GME↔SHLD,50ms,2438367,11,62,0.0025,2021-01-27
GME↔SHLD,100ms,2438367,11,131,0.0054,2021-01-27
GME↔SHLD,500ms,2438367,11,778,0.0319,2021-01-27
GME↔SHLD,1s,2438367,11,1346,0.0552,2021-01-27
GME↔SHLD,5s,2438367,11,6466,0.2652,2021-01-27
GME↔SHLD,10s,2438367,11,12132,0.4975,2021-01-27
GME↔SHLD,30s,2438367,11,34314,1.4073,2021-01-27
AMC↔BBBY,1ms,4926307,624708,121298,2.4623,2021-01-27
AMC↔BBBY,10ms,4926307,624708,843349,17.1193,2021-01-27
AMC↔BBBY,50ms,4926307,624708,2639926,53.5883,2021-01-27
AMC↔BBBY,100ms,4926307,624708,3686513,74.8332,2021-01-27
AMC↔BBBY,500ms,4926307,624708,4852486,98.5015,2021-01-27
AMC↔BBBY,1s,4926307,624708,4884637,99.1541,2021-01-27
AMC↔BBBY,5s,4926307,624708,4885585,99.1734,2021-01-27
AMC↔BBBY,10s,4926307,624708,4886241,99.1867,2021-01-27
AMC↔BBBY,30s,4926307,624708,4890196,99.267,2021-01-27
AMC↔EXPR,1ms,4926307,892321,247138,5.0167,2021-01-27
AMC↔EXPR,10ms,4926307,892321,1455362,29.5427,2021-01-27
AMC↔EXPR,50ms,4926307,892321,3161274,64.1713,2021-01-27
AMC↔EXPR,100ms,4926307,892321,3677420,74.6486,2021-01-27
AMC↔EXPR,500ms,4926307,892321,3950316,80.1882,2021-01-27
AMC↔EXPR,1s,4926307,892321,3954929,80.2818,2021-01-27
AMC↔EXPR,5s,4926307,892321,3984922,80.8907,2021-01-27
AMC↔EXPR,10s,4926307,892321,4017302,81.5479,2021-01-27
AMC↔EXPR,30s,4926307,892321,4127250,83.7798,2021-01-27
KOSS↔BBBY,1ms,165410,624708,4556,2.7544,2021-01-27
KOSS↔BBBY,10ms,165410,624708,29962,18.1138,2021-01-27
KOSS↔BBBY,50ms,165410,624708,90328,54.6085,2021-01-27
KOSS↔BBBY,100ms,165410,624708,124070,75.0076,2021-01-27
KOSS↔BBBY,500ms,165410,624708,162211,98.066,2021-01-27
KOSS↔BBBY,1s,165410,624708,163618,98.9166,2021-01-27
KOSS↔BBBY,5s,165410,624708,163693,98.962,2021-01-27
KOSS↔BBBY,10s,165410,624708,163754,98.9989,2021-01-27
KOSS↔BBBY,30s,165410,624708,164097,99.2062,2021-01-27
KOSS↔EXPR,1ms,165410,892321,7305,4.4163,2021-01-27
KOSS↔EXPR,10ms,165410,892321,43486,26.2898,2021-01-27
KOSS↔EXPR,50ms,165410,892321,95898,57.9759,2021-01-27
KOSS↔EXPR,100ms,165410,892321,113345,68.5237,2021-01-27
