pair,tolerance,a_trades,b_trades,matches,match_pct
GME↔BLIAQ,1ms,500000,3647,0,0.0
GME↔BLIAQ,10ms,500000,3647,0,0.0
GME↔BLIAQ,50ms,500000,3647,0,0.0
GME↔BLIAQ,100ms,500000,3647,0,0.0
GME↔BLIAQ,500ms,500000,3647,0,0.0
GME↔BLIAQ,1s,500000,3647,0,0.0
GME↔BLIAQ,5s,500000,3647,0,0.0
GME↔BLIAQ,10s,500000,3647,0,0.0
GME↔BLIAQ,30s,500000,3647,0,0.0
KOSS↔BLIAQ,1ms,244304,3647,41,0.0168
KOSS↔BLIAQ,10ms,244304,3647,587,0.2403
KOSS↔BLIAQ,50ms,244304,3647,2522,1.0323
KOSS↔BLIAQ,100ms,244304,3647,4409,1.8047
KOSS↔BLIAQ,500ms,244304,3647,20799,8.5136
KOSS↔BLIAQ,1s,244304,3647,37951,15.5343
KOSS↔BLIAQ,5s,244304,3647,113259,46.3599
KOSS↔BLIAQ,10s,244304,3647,145083,59.3863
KOSS↔BLIAQ,30s,244304,3647,163422,66.8929
AMC↔BLIAQ,1ms,500000,3647,0,0.0
AMC↔BLIAQ,10ms,500000,3647,0,0.0
AMC↔BLIAQ,50ms,500000,3647,0,0.0
AMC↔BLIAQ,100ms,500000,3647,0,0.0
AMC↔BLIAQ,500ms,500000,3647,0,0.0
AMC↔BLIAQ,1s,500000,3647,0,0.0
AMC↔BLIAQ,5s,500000,3647,0,0.0
AMC↔BLIAQ,10s,500000,3647,0,0.0
AMC↔BLIAQ,30s,500000,3647,0,0.0
BLIAQ↔GME [BLIAQ-primary],1ms,3647,500000,0,0.0
BLIAQ↔GME [BLIAQ-primary],10ms,3647,500000,0,0.0
BLIAQ↔GME [BLIAQ-primary],50ms,3647,500000,0,0.0
BLIAQ↔GME [BLIAQ-primary],100ms,3647,500000,0,0.0
BLIAQ↔GME [BLIAQ-primary],500ms,3647,500000,0,0.0
BLIAQ↔GME [BLIAQ-primary],1s,3647,500000,0,0.0
BLIAQ↔GME [BLIAQ-primary],5s,3647,500000,0,0.0
BLIAQ↔GME [BLIAQ-primary],10s,3647,500000,0,0.0
BLIAQ↔GME [BLIAQ-primary],30s,3647,500000,0,0.0
