pair,tolerance,a_trades,b_trades,matches,match_pct,date
GME↔BLIAQ,1ms,2438367,0,0,0.0,2021-01-27
GME↔BLIAQ,10ms,2438367,0,0,0.0,2021-01-27
GME↔BLIAQ,50ms,2438367,0,0,0.0,2021-01-27
GME↔BLIAQ,100ms,2438367,0,0,0.0,2021-01-27
GME↔BLIAQ,500ms,2438367,0,0,0.0,2021-01-27
GME↔BLIAQ,1s,2438367,0,0,0.0,2021-01-27
GME↔BLIAQ,5s,2438367,0,0,0.0,2021-01-27
GME↔BLIAQ,10s,2438367,0,0,0.0,2021-01-27
GME↔BLIAQ,30s,2438367,0,0,0.0,2021-01-27
AMC↔BLIAQ,1ms,4926307,0,0,0.0,2021-01-27
AMC↔BLIAQ,10ms,4926307,0,0,0.0,2021-01-27
AMC↔BLIAQ,50ms,4926307,0,0,0.0,2021-01-27
AMC↔BLIAQ,100ms,4926307,0,0,0.0,2021-01-27
AMC↔BLIAQ,500ms,4926307,0,0,0.0,2021-01-27
AMC↔BLIAQ,1s,4926307,0,0,0.0,2021-01-27
AMC↔BLIAQ,5s,4926307,0,0,0.0,2021-01-27
AMC↔BLIAQ,10s,4926307,0,0,0.0,2021-01-27
AMC↔BLIAQ,30s,4926307,0,0,0.0,2021-01-27
KOSS↔BLIAQ,1ms,165410,0,0,0.0,2021-01-27
KOSS↔BLIAQ,10ms,165410,0,0,0.0,2021-01-27
KOSS↔BLIAQ,50ms,165410,0,0,0.0,2021-01-27
KOSS↔BLIAQ,100ms,165410,0,0,0.0,2021-01-27
KOSS↔BLIAQ,500ms,165410,0,0,0.0,2021-01-27
KOSS↔BLIAQ,1s,165410,0,0,0.0,2021-01-27
KOSS↔BLIAQ,5s,165410,0,0,0.0,2021-01-27
KOSS↔BLIAQ,10s,165410,0,0,0.0,2021-01-27
KOSS↔BLIAQ,30s,165410,0,0,0.0,2021-01-27
GME↔KOSS,1ms,2438367,165410,23722,0.9729,2021-01-27
GME↔KOSS,10ms,2438367,165410,168529,6.9116,2021-01-27
GME↔KOSS,50ms,2438367,165410,547784,22.4652,2021-01-27
GME↔KOSS,100ms,2438367,165410,797801,32.7187,2021-01-27
GME↔KOSS,500ms,2438367,165410,1299327,53.2868,2021-01-27
GME↔KOSS,1s,2438367,165410,1373729,56.3381,2021-01-27
GME↔KOSS,5s,2438367,165410,1415178,58.0379,2021-01-27
GME↔KOSS,10s,2438367,165410,1447947,59.3818,2021-01-27
GME↔KOSS,30s,2438367,165410,1586427,65.061,2021-01-27
GME↔AMC,1ms,2438367,4926307,591151,24.2437,2021-01-27
GME↔AMC,10ms,2438367,4926307,1951389,80.0285,2021-01-27
GME↔AMC,50ms,2438367,4926307,2177752,89.3119,2021-01-27
GME↔AMC,100ms,2438367,4926307,2179653,89.3899,2021-01-27
GME↔AMC,500ms,2438367,4926307,2180972,89.444,2021-01-27
GME↔AMC,1s,2438367,4926307,2182320,89.4992,2021-01-27
GME↔AMC,5s,2438367,4926307,2192729,89.9261,2021-01-27
GME↔AMC,10s,2438367,4926307,2205440,90.4474,2021-01-27
GME↔AMC,30s,2438367,4926307,2247780,92.1838,2021-01-27
KOSS↔AMC,1ms,165410,4926307,38290,23.1485,2021-01-27
KOSS↔AMC,10ms,165410,4926307,134183,81.1215,2021-01-27
KOSS↔AMC,50ms,165410,4926307,154477,93.3904,2021-01-27
KOSS↔AMC,100ms,165410,4926307,154792,93.5808,2021-01-27
KOSS↔AMC,500ms,165410,4926307,154812,93.5929,2021-01-27
KOSS↔AMC,1s,165410,4926307,154985,93.6975,2021-01-27
KOSS↔AMC,5s,165410,4926307,155915,94.2597,2021-01-27
KOSS↔AMC,10s,165410,4926307,156552,94.6448,2021-01-27
KOSS↔AMC,30s,165410,4926307,157897,95.458,2021-01-27
BLIAQ↔GME,1ms,0,2438367,0,0.0,2021-01-27
BLIAQ↔GME,10ms,0,2438367,0,0.0,2021-01-27
BLIAQ↔GME,50ms,0,2438367,0,0.0,2021-01-27
BLIAQ↔GME,100ms,0,2438367,0,0.0,2021-01-27
BLIAQ↔GME,500ms,0,2438367,0,0.0,2021-01-27
BLIAQ↔GME,1s,0,2438367,0,0.0,2021-01-27
BLIAQ↔GME,5s,0,2438367,0,0.0,2021-01-27
BLIAQ↔GME,10s,0,2438367,0,0.0,2021-01-27
BLIAQ↔GME,30s,0,2438367,0,0.0,2021-01-27
